,Sparse subset,Observed subset,All in basis analysis
Alkalinity,0.5454545454545454,0.6478454680534919,0.583224115334207
Brown,0.7121212121212122,0.7142857142857143,0.587248322147651
Deep,0.2631578947368421,0.5517241379310345,0.5298013245033113
Saline,0.6608695652173913,0.7048192771084337,0.6833333333333333
DK2,0.6262626262626263,0.7055837563451777,0.5737704918032787
All,0.5602836879432624,0.6444159178433889,0.5202839756592292
n,423,779,791
