wb,ov_typ,distr_id,na_kun_stm,length,Basis
232,RW2,DK1,Naturlig,18.525684330790046,3.0
233,RW1,DK1,Naturlig,3.505206016147952,1.0
235,RW1,DK1,Naturlig,17.479519025298924,2.0
236,RW1,DK1,Stærkt modificeret,0.4257065167584484,
238,RW2,DK1,Naturlig,13.442696708699307,4.0
242,RW2,DK1,Naturlig,18.899680970793366,3.0
243,RW3,DK1,Naturlig,32.71670902909784,4.0
245,RW1,DK2,Naturlig,5.810033284926766,4.0
246,RW2,DK1,Naturlig,23.84916024366495,3.0
249,RW2,DK1,Naturlig,15.631695636675767,3.0
250,RW2,DK1,Naturlig,13.93980411587136,3.0
251,RW1,DK1,Naturlig,0.09756533540747411,3.0
257,RW2,DK1,Naturlig,22.008697582014964,2.0
261,RW1,DK1,Naturlig,0.35990240798219353,1.0
264,RW1,DK1,Stærkt modificeret,1.3121045411758592,2.0
267,RW1,DK1,Naturlig,0.13129274064424967,
273,RW1,DK1,Naturlig,1.5891486797378027,3.0
274,RW1,DK1,Naturlig,1.9351167112043746,2.0
275,RW1,DK1,Naturlig,0.29599915319502185,1.0
276,RW2,DK2,Naturlig,13.384726820508668,3.0
282,RW1,DK2,Naturlig,0.45961103133725506,
283,RW1,DK1,Naturlig,0.06947718058770729,3.0
286,RW1,DK1,Stærkt modificeret,2.034075085405672,
290,RW1,DK1,Naturlig,19.70565496430572,3.0
291,RW1,DK1,Naturlig,0.0949410077431115,3.0
292,RW1,DK1,Naturlig,0.44120840582937954,2.0
294,RW1,DK1,Naturlig,18.31047271940751,4.0
298,RW1,DK1,Naturlig,1.0316630075968996,2.0
299,RW1,DK1,Naturlig,1.23769493847761,2.0
300,RW1,DK1,Naturlig,1.3066216195420177,
306,RW1,DK1,Naturlig,18.111198046720485,3.0
310,RW2,DK1,Naturlig,22.16367526632058,3.0
311,RW1,DK1,Naturlig,1.2996388463757038,
315,RW1,DK1,Naturlig,2.684645280287401,2.0
