,n,Alkalinity,Brown,Saline,Deep,DK2
1988,77.0,97.40259740259741,3.896103896103896,9.090909090909092,35.064935064935064,28.571428571428573
1989,106.0,92.45283018867924,3.7735849056603774,14.150943396226415,33.9622641509434,25.471698113207548
1990,113.0,95.57522123893806,2.6548672566371683,10.619469026548673,33.6283185840708,25.663716814159294
1991,103.0,94.1747572815534,4.854368932038835,8.737864077669903,32.03883495145631,27.184466019417474
1992,95.0,92.63157894736842,4.2105263157894735,6.315789473684211,32.63157894736842,26.31578947368421
1993,105.0,93.33333333333333,1.9047619047619047,10.476190476190476,30.476190476190474,22.857142857142858
1994,113.0,91.15044247787611,3.5398230088495577,9.734513274336283,34.51327433628319,30.088495575221238
1995,113.0,92.92035398230088,4.424778761061947,8.849557522123893,30.088495575221238,25.663716814159294
1996,100.0,95.0,4.0,5.0,30.0,29.0
1997,123.0,92.6829268292683,2.4390243902439024,12.195121951219512,27.642276422764226,30.89430894308943
1998,126.0,93.65079365079364,6.349206349206349,12.698412698412698,32.53968253968254,31.746031746031747
1999,137.0,93.43065693430657,5.109489051094891,7.299270072992701,29.197080291970803,36.496350364963504
2000,127.0,92.1259842519685,13.385826771653543,11.811023622047244,25.984251968503937,33.07086614173228
2001,129.0,91.47286821705427,7.751937984496124,11.627906976744185,28.68217054263566,33.333333333333336
2002,127.0,92.1259842519685,9.448818897637794,7.086614173228346,29.921259842519685,33.07086614173228
2003,120.0,94.16666666666667,10.833333333333334,9.166666666666666,28.333333333333332,35.833333333333336
2004,134.0,90.29850746268657,11.940298507462687,14.17910447761194,26.119402985074625,30.597014925373134
2005,142.0,85.21126760563381,16.197183098591548,14.084507042253522,30.985915492957748,28.87323943661972
2006,126.0,88.88888888888889,11.904761904761905,8.73015873015873,26.984126984126984,30.158730158730158
2007,129.0,92.24806201550388,14.728682170542635,23.25581395348837,21.705426356589147,28.68217054263566
2008,127.0,88.18897637795276,18.89763779527559,7.874015748031496,27.559055118110237,31.496062992125985
2009,133.0,90.22556390977444,12.781954887218046,12.781954887218046,23.30827067669173,27.81954887218045
2010,102.0,96.07843137254902,14.705882352941176,12.745098039215685,21.568627450980394,27.45098039215686
2011,134.0,89.55223880597015,21.64179104477612,18.65671641791045,21.64179104477612,24.62686567164179
2012,133.0,86.46616541353383,18.796992481203006,12.030075187969924,32.330827067669176,23.30827067669173
2013,139.0,92.0863309352518,23.02158273381295,22.302158273381295,19.424460431654676,22.302158273381295
2014,141.0,90.78014184397163,17.02127659574468,18.43971631205674,19.148936170212767,24.113475177304963
2015,128.0,90.625,21.875,17.1875,24.21875,25.78125
2016,159.0,93.08176100628931,18.867924528301888,15.09433962264151,23.89937106918239,27.044025157232703
2017,166.0,87.34939759036145,28.91566265060241,20.481927710843372,17.46987951807229,26.50602409638554
2018,161.0,88.19875776397515,34.161490683229815,17.391304347826086,21.73913043478261,24.22360248447205
2019,152.0,86.1842105263158,28.289473684210527,24.342105263157894,18.42105263157895,23.68421052631579
2020,152.0,82.89473684210526,33.55263157894737,19.07894736842105,17.763157894736842,25.0
2021,112.0,88.39285714285714,22.321428571428573,15.178571428571429,24.107142857142858,28.571428571428573
2022,114.0,92.98245614035088,15.789473684210526,11.403508771929825,24.56140350877193,25.43859649122807
2023,217.0,82.48847926267281,29.493087557603687,19.35483870967742,23.04147465437788,26.72811059907834
Obs of n,779.0,86.39281129653402,30.55198973042362,21.309370988446727,18.613607188703465,25.28883183568678
Obs of all,986.0,68.25557809330628,24.137931034482758,16.835699797160242,14.705882352941176,19.97971602434077
All VP3,986.0,77.38336713995943,30.223123732251523,18.255578093306287,15.314401622718053,24.746450304259636
