,coastal,lakes,streams,total
1990,22002.71194759675,-19334.062884845942,-43597.0187624503,-40928.3696996995
1991,49801.18225703761,-5819.305364270692,-29766.85272611935,14215.024166647567
1992,-14845.937731007582,-16579.207342637226,-19853.198030648353,-51278.34310429316
1993,-4011.4521754016882,13785.838920437494,-2188.742392856682,7585.644352179124
1994,12889.368360869856,10652.461200168907,-11029.142415187582,12512.687145851183
1995,29665.540748362593,-2924.103982073453,3971.708593145278,30713.145359434417
1996,-2771.565358855849,16810.969991141592,13400.45639687963,27439.861029165375
1997,9749.172295342467,32452.44594629465,19547.7761916576,61749.394433294714
1998,18734.88291085185,24338.436912384608,22528.85353839325,65602.17336162971
1999,4972.887179532772,12006.572351976827,37160.323589183754,54139.783120693355
2000,16509.07361224908,-218.47040178520035,44723.44582261377,61014.04903307765
2001,10186.797430494998,5652.137745274696,47829.43042644446,63668.36560221415
2002,22892.527818429822,13378.62053297112,26178.908284116216,62450.05663551716
2003,33748.863298313,17952.02658618753,22905.681317543964,74606.57120204449
2004,763.0516354897577,-541.7735018939147,30946.519174438265,31167.797308034107
2005,3665.4768676697117,36313.24892241649,8417.744899574847,48396.47068966105
2006,-11489.665774596264,16374.683246480614,10109.71225744546,14994.72972932981
2007,34652.15020393744,36875.5810398199,21099.90822017671,92627.63946393406
2008,-19104.113038439547,13093.69286238546,11490.0061110218,5479.585934967712
2009,21153.428079196918,28360.875338568814,-9631.840806430695,39882.46261133504
2010,54779.1316661528,27211.934102119412,28496.61367280623,110487.67944107844
2011,8864.010722540748,-8093.746362504955,-719.909587535745,50.354772500048284
2012,21678.72452340116,-32082.35806896904,31018.592896390564,20614.959350822686
2013,-8738.010236340626,10989.933990700429,30334.881826007666,32586.80558036747
2014,-19286.29424611785,10759.763395314338,35030.72667754583,26504.195826742314
2015,-29055.648989862297,-4089.4176736212958,16951.013260284923,-16194.053403198672
2016,18195.717938384172,11750.404835837251,31379.202863114348,61325.32563733577
2017,-3998.637687702692,15504.302971352136,26880.441885828415,38386.10716947786
2018,13422.156419365505,-708.7890485364012,39451.20862884873,52164.575999677836
2019,22650.026792946304,5714.270357735116,25879.819960899957,54244.11711158138
2020,-66884.93661342948,-5369.530766171248,25716.10519682858,-46538.36218277215
