,coastal,lakes,streams,all j
1989,92.95943438894774,94.2833664923086,84.41049087668641,86.35381349719015
1990,87.91032113958651,96.13798137322465,81.86453583615112,83.75284508310237
1991,94.23689841086444,97.18838626944957,81.18353079093158,84.21634464606052
1992,96.08449954440981,98.05227285451282,81.20039287881717,84.56003324672005
1993,90.31794205587259,92.50371599825678,78.60476608734369,81.29358398165014
1994,96.50197802019477,97.3503216142838,78.43492352455311,82.40444162993954
1995,94.77720191246061,97.1085881072171,77.11730395388891,81.10325873247
1996,92.33057520266502,95.36794318108974,75.0126241657278,78.97434895121503
1997,89.01996369922404,96.44430876516545,76.92215785416535,80.06349702862771
1998,88.86546284689162,93.99880448155312,76.33692821822203,79.40997545397626
1999,87.30887913795156,94.39105043891492,71.62493950704831,75.51819775850993
2000,92.22941572507267,83.67785294641405,60.8558555539523,67.04226877131401
2001,88.13488924525564,94.3718732314048,56.57091333361543,63.841034818710014
2002,84.93575614134399,95.43496892024505,52.54179704673531,60.291988204460736
2003,92.00764026496216,92.06241778827508,51.07367098315615,59.93565354143669
2004,90.36090926733088,94.46561164809079,56.53067991700417,64.14090637239192
2005,85.88447768690718,91.16826475152905,49.1646495846452,57.48330419590147
2006,93.27154566806638,97.18364167650122,46.536313140489625,56.92560790212635
2007,91.25968625190579,91.62081586701137,49.512394487657645,58.571976184325436
2008,86.5882582292926,94.53856009382545,44.043875211720945,53.81093796011259
2009,84.66256132713005,86.07073613299013,44.176984908052475,53.03734138508694
2010,88.01505922471686,74.0472299204299,45.3832884031593,53.62416746926797
2011,89.75821342248919,76.93603187699048,45.38075852551781,54.08016522948971
2012,65.4133617408244,72.04324732440843,41.1895715521133,46.8989721949489
2013,79.81495153948839,82.43637258849556,42.002091317117085,50.369597800685206
2014,77.638344701828,73.13749055633919,36.9568694402226,45.443068012164254
2015,73.9358403742662,91.29811906075255,36.82112659324829,46.07669447630453
2016,90.69882274988143,73.48655017346027,37.81076039519657,48.04239004439687
2017,79.2632757394697,72.42136886995108,37.99373625881366,46.44216214963292
2018,83.61141593690063,72.88106742675508,37.32646471069859,46.586115549278674
2019,78.47845868293683,77.61688673066158,30.583822116795456,40.88749775389062
2020,84.86123655150125,71.65172442513231,24.554103436851488,36.67339200615504
