,n,Small,Medium,Large,SoftBottom,Natural,DK2
1988,17.0,70.58823529411765,17.647058823529413,0.0,11.764705882352942,100.0,0.0
1989,11.0,72.72727272727273,9.090909090909092,0.0,18.181818181818183,90.9090909090909,0.0
1990,4.0,100.0,0.0,0.0,0.0,100.0,0.0
1991,10.0,80.0,10.0,0.0,10.0,80.0,0.0
1992,14.0,85.71428571428571,14.285714285714286,0.0,0.0,92.85714285714286,14.285714285714286
1993,15.0,46.666666666666664,46.666666666666664,0.0,6.666666666666667,93.33333333333333,6.666666666666667
1994,13.0,61.53846153846154,15.384615384615385,0.0,23.076923076923077,76.92307692307692,7.6923076923076925
1995,11.0,90.9090909090909,0.0,0.0,9.090909090909092,81.81818181818181,0.0
1996,20.0,85.0,15.0,0.0,0.0,75.0,5.0
1997,26.0,80.76923076923077,11.538461538461538,3.8461538461538463,3.8461538461538463,92.3076923076923,0.0
1998,16.0,75.0,12.5,6.25,6.25,81.25,12.5
1999,9.0,77.77777777777777,22.22222222222222,0.0,0.0,88.88888888888889,22.22222222222222
2000,41.0,80.48780487804878,14.634146341463415,2.4390243902439024,2.4390243902439024,75.60975609756098,2.4390243902439024
2001,135.0,73.33333333333333,24.444444444444443,0.7407407407407407,1.4814814814814814,91.11111111111111,2.962962962962963
2002,153.0,66.66666666666667,29.41176470588235,1.3071895424836601,2.6143790849673203,86.9281045751634,0.6535947712418301
2003,114.0,47.36842105263158,44.73684210526316,4.385964912280702,3.508771929824561,73.6842105263158,3.508771929824561
2004,34.0,61.76470588235294,23.529411764705884,0.0,14.705882352941176,82.3529411764706,23.529411764705884
2005,30.0,73.33333333333333,16.666666666666668,0.0,10.0,86.66666666666667,36.666666666666664
2006,77.0,89.6103896103896,7.792207792207792,0.0,2.5974025974025974,94.8051948051948,3.896103896103896
2007,228.0,76.3157894736842,20.614035087719298,0.8771929824561403,2.192982456140351,91.66666666666667,0.43859649122807015
2008,84.0,55.95238095238095,36.904761904761905,0.0,7.142857142857143,82.14285714285714,5.9523809523809526
2009,124.0,71.7741935483871,24.193548387096776,0.0,4.032258064516129,93.54838709677419,5.645161290322581
2010,260.0,90.0,5.769230769230769,0.0,4.230769230769231,93.07692307692308,11.923076923076923
2011,232.0,81.03448275862068,14.224137931034482,0.43103448275862066,4.310344827586207,89.22413793103448,8.620689655172415
2012,231.0,74.45887445887446,18.614718614718615,1.2987012987012987,5.627705627705628,88.74458874458874,11.255411255411255
2013,262.0,62.213740458015266,30.53435114503817,1.5267175572519085,5.7251908396946565,90.45801526717557,12.213740458015268
2014,555.0,75.67567567567568,17.117117117117118,1.2612612612612613,5.945945945945946,86.30630630630631,7.5675675675675675
2015,186.0,74.73118279569893,19.892473118279568,0.0,5.376344086021505,93.01075268817205,6.451612903225806
2016,229.0,69.86899563318778,27.94759825327511,1.7467248908296944,0.4366812227074236,96.06986899563319,3.930131004366812
2017,582.0,83.33333333333333,12.371134020618557,1.3745704467353952,2.9209621993127146,88.14432989690722,10.137457044673539
2018,544.0,77.75735294117646,16.544117647058822,0.9191176470588235,4.779411764705882,89.70588235294117,6.4338235294117645
2019,253.0,60.869565217391305,34.78260869565217,1.1857707509881423,3.1620553359683794,92.09486166007905,11.857707509881424
2020,395.0,77.21518987341773,17.468354430379748,1.0126582278481013,4.30379746835443,93.92405063291139,6.329113924050633
2021,290.0,78.62068965517241,18.96551724137931,1.7241379310344827,0.6896551724137931,91.03448275862068,11.379310344827585
2022,220.0,82.27272727272727,15.909090909090908,1.8181818181818181,0.0,91.36363636363636,13.181818181818182
2023,28.0,75.0,25.0,0.0,0.0,82.14285714285714,14.285714285714286
Obs of n,2578.0,76.45461598138091,18.076027928626843,1.0473235065942592,4.422032583397983,89.5655546935609,7.796741660201707
Obs of all,6703.0,29.40474414441295,6.952110995076831,0.4028047143070267,1.7007310159630016,34.44726241981203,2.9986573176189766
All in VP3,6703.0,65.56765627331046,28.270923467104282,2.2676413546173357,3.893778904967925,91.1532149783679,16.54483067283306
