,n,Obs,No dummies,No,K,B,Ø,Fj,Vf,Vu,F,D,L,Se,Sa,T,DK2
2015,55,0.672727273,0.75,0.740740741,0.740740741,0.740740741,0.75,0.75,0.759259259,0.75,0.75,0.740740741,0.759259259,0.75,0.731481481,0.740740741,0.740740741
2016,73,0.863013699,0.907407407,0.907407407,0.907407407,0.907407407,0.907407407,0.907407407,0.907407407,0.907407407,0.907407407,0.907407407,0.907407407,0.907407407,0.907407407,0.907407407,0.907407407
2017,67,0.731343284,0.787037037,0.796296296,0.787037037,0.796296296,0.787037037,0.787037037,0.787037037,0.787037037,0.787037037,0.796296296,0.787037037,0.796296296,0.796296296,0.796296296,0.787037037
2018,65,0.846153846,0.851851852,0.851851852,0.851851852,0.851851852,0.861111111,0.861111111,0.842592593,0.851851852,0.861111111,0.851851852,0.851851852,0.851851852,0.861111111,0.851851852,0.861111111
2019,69,0.797101449,0.787037037,0.787037037,0.777777778,0.796296296,0.787037037,0.777777778,0.796296296,0.787037037,0.796296296,0.768518519,0.805555556,0.796296296,0.787037037,0.787037037,0.796296296
2020,67,0.820895522,0.842592593,0.842592593,0.842592593,0.842592593,0.842592593,0.851851852,0.833333333,0.842592593,0.842592593,0.851851852,0.833333333,0.842592593,0.833333333,0.842592593,0.842592593
2021,66,0.863636364,0.888888889,0.898148148,0.888888889,0.898148148,0.898148148,0.898148148,0.898148148,0.888888889,0.898148148,0.898148148,0.898148148,0.888888889,0.898148148,0.898148148,0.898148148
2022,47,0.872340426,0.87962963,0.87037037,0.87037037,0.861111111,0.87037037,0.87037037,0.87037037,0.861111111,0.851851852,0.87962963,0.861111111,0.87037037,0.87037037,0.87037037,0.861111111
2023,62,0.870967742,0.861111111,0.861111111,0.861111111,0.87962963,0.861111111,0.87037037,0.87037037,0.87037037,0.861111111,0.87037037,0.861111111,0.87962963,0.861111111,0.861111111,0.861111111
Total,6137.120153,0.847018573,0.879846856,0.877701749,0.87775153,0.881675175,0.87905036,0.879765396,0.879231382,0.878923645,0.877475472,0.88051211,0.879403353,0.877389486,0.876896202,0.877701749,0.878362478
,,,,,,,,,,,,,,,,,
