,lakes,income,age,households,total
1990,1333.5855303566177,1333.5855303566177,1333.5855303566177,1333.5855303566177,1333.5855303566177
1991,1343.801992394848,1337.9239563061967,1333.8518400927978,1347.1108369673932,1361.9538837000816
1992,1361.9945761183942,1339.2662940782002,1333.8518400927978,1360.2487851449243,1395.0806188429135
1993,1342.5720473289812,1338.5869852341507,1333.8518400927978,1370.79403393882,1384.6607096911034
1994,1330.3263162016133,1388.2877420080881,1334.5249059756854,1380.0758906397182,1433.2052979757789
1995,1330.5931518390917,1406.0743635523297,1334.5249059756854,1391.3605347723694,1463.4668060423896
1996,1310.3806434489388,1417.6037950472305,1333.8518400927978,1402.2856209385277,1464.0106621585162
1997,1270.1145139287125,1435.729877173193,1334.5249059756854,1413.0252636452099,1448.4346148572017
1998,1242.006626578903,1464.1285728232012,1334.5249059756854,1423.0298816388633,1454.5620346641972
1999,1232.1125898320363,1471.546074040451,1334.5249059756854,1433.7109577681574,1461.251851027885
2000,1236.1046614945828,1496.0570686319588,1334.5249059756854,1440.6330839152627,1497.576160950931
2001,1231.9747651192151,1517.084169454042,1334.5249059756854,1447.408592879877,1520.6902039850322
2002,1214.1244564325007,1519.514731547787,1334.5249059756854,1454.8568520601068,1509.0791692905918
2003,1195.73167986022,1511.7726010156384,1334.7728971796328,1461.3950826915154,1485.7172634305985
2004,1196.1330907987976,1538.861336037424,1334.7728971796328,1469.5876686357874,1521.1648048303707
2005,1150.0135209565317,1566.7706474479603,1336.1939825290044,1481.2359740004788,1502.7259173069456
2006,1135.436655297926,1606.7649186002034,1336.1939825290044,1492.8497230434687,1532.6322855289618
2007,1081.195757425107,1652.8222152597398,1337.3186782008797,1502.019432265765,1511.526749880794
2008,1067.469362507187,1614.054474582205,1338.4742513165324,1511.871661365864,1468.2312033055916
2009,1030.4654259602016,1574.4996428046431,1338.4742513165324,1523.4926796019988,1392.883538830831
2010,1006.2057653484605,1616.9771766629503,1338.4742513165324,1530.8855099449177,1401.8340529743523
2011,1014.0941872487285,1590.48782719754,1343.0212874592787,1539.1201376879674,1400.3926561094736
2012,1050.9312678521921,1592.3692914686667,1354.6895051797053,1545.405848146117,1470.1060046820237
2013,1043.367824141126,1611.570675425753,1356.2098319723884,1555.5458212087376,1486.5259537071313
2014,1029.2786613329877,1634.8101861280422,1358.8170381212133,1564.4155268569973,1497.514998904554
2015,1031.4227376793388,1688.418641818104,1366.555688686694,1574.0155230393204,1567.1001884845418
2016,1020.1500502627399,1711.508200872493,1372.698794368176,1585.0110511106714,1588.202868719833
2017,997.9127289996213,1735.722202154879,1389.4278077879558,1594.5611075414672,1603.5620961554202
2018,992.4036978762991,1753.6326232913764,1395.6773773603202,1606.1269446146473,1630.2941795085742
2019,993.9562197696665,1771.2648245284129,1404.6491590316216,1617.6927816878278,1671.35010926237
2020,1000.2360323345538,1795.544485018574,1416.2268270100399,1629.258618761008,1727.6336941286415
"g (million DKK, 2023 prices)",-333.3494980220639,461.95895466195634,82.64129665342216,295.6730884043902,394.0481637720238
g (%),-24.996484322450772,34.64036945110095,6.196925114456126,22.17128798070593,29.548023340254026
g yearly (%),-0.954202313602238,0.9963882449485197,0.20061753048111086,0.6697457458321168,0.8666722549196919
