,high,good,moderate,poor,bad,not good,known
1989,8.530519233621192,6.747865945802948,14.871675722861287,27.837969147145653,42.01196995056893,84.72161482057587,16.40670323394082
1990,11.470980607269619,5.104619437573469,9.780195967657894,29.00423731378611,44.639966673712905,83.4243999551569,21.006351396576626
1991,7.4649472624124895,7.571265106562358,14.694653526056195,34.24382997071303,36.02530413425593,84.96378763102516,18.698949320187875
1992,6.7126235305379875,3.608637576500577,11.266144530629933,41.31279277886317,37.099801583468334,89.67873889296145,18.871019009091313
1993,7.060734845231729,17.572076241907222,8.079968321852633,27.657721735559537,39.62949885544889,75.36718891286107,19.77199636826173
1994,7.338596702114547,6.849404274801315,13.712245511418269,24.33821234059452,47.76154117107136,85.81199902308413,18.67548775917956
1995,6.36975825680382,7.852546614423756,19.688263776127126,30.53796975973639,35.55146159290891,85.77769512877244,20.330121727543375
1996,12.688395588799594,6.718473718092665,20.506649622822835,22.825174082030323,37.26130698825456,80.59313069310772,16.823198326743167
1997,8.029687321914052,6.462562612150167,24.411092858788418,15.871791459849288,45.22486574729809,85.50775006593578,20.2387063290564
1998,8.80232296925539,12.38749241818025,24.45723820682793,22.5913235684128,31.761622837323635,78.81018461256436,22.180016347656185
1999,7.129022011940443,9.250405792709458,34.825739023529124,20.542436047994173,28.252397123826803,83.6205721953501,23.306710483126107
2000,10.967819874907455,9.650586911988471,37.17859619002444,14.23482426255652,27.96817276052312,79.38159321310408,22.585530814048248
2001,4.636956049574247,13.208928611099886,28.04600823641254,21.98164304962066,32.126464053292686,82.1541153393259,23.73656159563118
2002,6.335855848969536,15.673088716561233,12.553937991948509,28.996117690224825,36.4409997522959,77.99105543446923,20.74170829120291
2003,7.591179053892029,5.322804853758095,28.53964215052332,18.174255235277887,40.372118706548655,87.08601609234987,22.003255307143085
2004,8.630894340625407,15.13597609569243,22.214978195751318,28.06764954463015,25.950501823300705,76.23312956368217,21.709583232990205
2005,15.382981864844702,11.794393621681897,27.352925246788505,27.312564819236215,18.157134447448694,72.82262451347341,20.176939300899615
2006,5.447313974559617,8.997674983620191,25.89864030306942,27.484171082618644,32.17219965613213,85.5550110418202,19.497130331165526
2007,14.418159957963704,19.03601284045535,13.581896563048677,24.98463163651105,27.979299002021225,66.54582720158096,20.88844976793926
2008,11.446846674313555,21.427178813684193,23.406118167486664,13.83149127486641,29.888365069649176,67.12597451200226,16.613237427124723
2009,13.571340297221735,18.507123066488905,28.250494352764544,17.254195539118335,22.41684674440649,67.92153663628937,20.134569914589452
2010,7.011416767303447,23.19440341834404,36.25993364657801,9.92284826025115,23.611397907523347,69.79417981435252,18.159466030863456
2011,14.2113238616172,12.23264890163821,29.198244074510544,15.845892216935708,28.511890945298354,73.55602723674461,17.854311389799665
2012,17.347378995268706,17.62182732059853,26.267832623892318,22.53078593076036,16.2321751294801,65.03079368413277,19.909376144023376
2013,12.72416399448695,15.443382002369999,18.095640360151485,18.038180337992145,35.69863330499943,71.83245400314307,22.197434984682733
2014,9.933935673810277,14.930942939415818,29.953944982123456,15.328938159976753,29.852238244673703,75.13512138677392,19.416547992444055
2015,19.288319052357267,18.59194758218382,32.506993746023646,14.098577862988334,15.514161756446923,62.11973336545889,21.63817886899854
2016,9.965411491339925,23.293408113676097,25.4091636623977,28.24334913649038,13.088667596095894,66.74118039498397,21.78756700614277
2017,13.89820087288655,23.722758896438595,19.740808866766805,20.740593668623028,21.89763769528504,62.37904023067487,18.387347840197283
2018,10.431617354904043,13.854108074705394,28.67706196278816,14.465954027461219,32.57125858014117,75.71427457039056,21.57765031084884
2019,10.107556320935581,21.46979214967126,26.93934031567762,9.351197834637635,32.132113379077914,68.42265152939316,21.001023761291762
2020,26.40472010126017,17.81621582315151,19.068773932403364,14.192440961724092,22.517849181460853,55.77906407558831,16.88604742541305
Basis,11.60390434141888,18.52566239079989,26.19832677780139,22.22099965962536,21.451106830354462,69.87043326778122,89.4135709357846
