wb,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
59,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2
60,2,2,2,2,3,3,3,4,3,3,3,4,3,3,4,4,4,3,3,4,3,3,3,3,3,4,3,3,4,3,3,3
63,3,3,3,3,4,3,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4
65,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,3,2,2
66,2,2,2,2,3,2,2,2,3,2,2,2,2,2,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3
68,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,2,2,2,3,2,2,2,2,2,2,3,2,2,2,2,3,3
69,2,2,2,2,2,2,2,2,3,3,3,3,3,3,4,4,3,4,3,3,4,4,3,4,3,3,4,3,3,3,3,3
72,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,3,3,4,3,3,4,3,3,3
81,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
86,2,2,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
87,2,3,2,3,3,3,3,3,3,3,3,2,3,3,2,2,3,2,3,3,3,3,4,3,2,3,3,2,3,2,3,3
89,2,2,2,1,1,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
93,1,1,1,2,2,1,1,2,2,2,2,2,2,2,2,2,2,3,2,2,2,1,2,2,2,2,2,1,1,2,1,1
96,1,1,1,1,2,2,1,1,1,1,1,2,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
99,2,2,2,3,3,3,3,3,3,3,3,2,2,3,4,4,3,3,3,3,3,4,3,3,3,4,3,4,3,3,3,4
100,1,1,1,1,1,2,2,2,2,1,2,1,1,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2
102,2,3,2,2,3,2,2,3,3,3,3,3,3,3,3,4,3,3,2,2,3,3,3,3,2,2,3,2,2,3,2,2
103,1,1,1,1,1,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
105,2,2,2,3,3,3,2,3,2,3,3,2,3,2,2,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,2,3
107,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
109,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2
110,2,2,2,2,2,3,2,3,3,4,3,4,3,3,4,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4
113,2,2,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2,2,3,2,2,2
115,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,2
117,2,2,2,2,2,2,3,3,3,2,3,1,2,2,3,2,2,3,3,3,3,3,2,3,3,3,3,4,3,3,3,3
118,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,1,1,0,1
120,2,1,2,1,2,1,2,1,1,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
121,2,1,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,3,2,3,2,4,3,3,3,3,3,3,4,3,3,3
122,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,2,3,3,2,3,3,2
123,1,2,1,1,1,0,1,1,1,1,1,1,1,2,1,1,2,2,1,2,2,2,2,2,1,1,2,1,1,2,2,1
126,1,2,1,1,1,1,1,1,1,1,1,2,3,2,2,2,2,2,2,2,2,1,2,2,1,2,2,2,2,2,2,2
128,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,1,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2
133,2,2,2,2,2,2,2,2,2,3,2,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,2,3,3,3
135,2,2,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
136,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,4,3
137,2,2,2,1,2,1,2,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
138,2,2,2,3,2,3,3,3,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
139,2,1,1,1,2,3,2,1,2,3,2,3,2,2,3,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,2,2
140,1,2,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,2,2,2,2,3,3,3,3,2,3,3
141,2,1,1,2,3,2,3,3,2,2,2,3,3,2,3,3,3,3,2,3,2,1,3,2,3,3,1,3,3,3,2,0
145,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
