wb,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,
85,,,208.0,340.0,214.0,159.0,170.0,127.0,142.0,186.0,152.0,149.0,140.0,136.0,85.0,110.0,134.0,96.0,70.0,82.0,106.0,135.0,77.0,,,,,,74.0,,,,,,82.0,,155.0
89,,,,,,13.0,,,,,,17.0,,,,,,9.0,,,9.0,,,6.0,,,,,,11.0,,,,,,4.0,
90,,17.0,17.0,26.0,,,,38.0,22.0,13.0,26.0,10.0,22.0,32.0,17.0,14.0,,,17.0,,,,,,,7.0,,,8.0,,,,,,,,13.0
91,,,,,,,,,,,,,,,,,23.0,,,,65.0,,,,,80.0,,,,,,,,,,,19.0
92,,,23.0,,,,,78.0,47.0,,,,47.0,,23.0,22.0,,,17.0,,,8.0,,,11.0,,,8.0,,,8.0,,,,,,5.0
93,,19.0,,27.0,,46.0,,,,,,,,,,,,,,12.0,,,,,,24.0,,27.0,,,29.0,,,14.0,,,10.0
96,,,,,,,,,,,,18.0,,,,,,,,,12.0,,,,,,,,,,,,,7.0,,,
98,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,,,,,,9.0,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,,181.0,,,,,,110.0,,
101,,375.0,446.0,464.0,435.0,401.0,367.0,228.0,197.0,260.0,235.0,,153.0,,,119.0,,,,,,,31.0,,,,237.0,,111.0,,,,166.0,,,,
102,,,,351.0,,,,,,,241.0,,,,106.0,,,,,,,,11.0,,,,235.0,,99.0,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,,31.0,,,,,95.0,,,12.0,,,79.0,,,17.0,,
106,,,76.0,101.0,69.0,122.0,109.0,37.0,50.0,38.0,44.0,19.0,38.0,34.0,40.0,35.0,53.0,51.0,58.0,30.0,36.0,23.0,76.0,22.0,47.0,40.0,29.0,25.0,47.0,,28.0,,95.0,,44.0,,41.0
107,,,,,,,,,,,,,,,,18.0,,,,,,,,,,,,,,,3.0,,,,,,12.0
109,,,,,,,,,,,,,,,,,,,,,,,,,,386.0,,,,,,117.0,,,,,
110,,,,,,,,,,,,,,,,,,,,,199.0,,,,,,58.0,,,,,,104.0,,,,
111,54.0,42.0,37.0,52.0,37.0,57.0,44.0,45.0,32.0,62.0,38.0,26.0,20.0,17.0,15.0,18.0,16.0,,,13.0,,,25.0,,,9.0,,,,,,25.0,,,23.0,,
113,,,227.0,,,,97.0,,,,,,,,,,,,42.0,,,152.0,,,,,80.0,,,,,,66.0,,,30.0,
114,,37.0,,58.0,49.0,,,,,,27.0,,,,,,,27.0,,,33.0,,,40.0,,,,47.0,,54.0,,,,,,28.0,
115,,217.0,,217.0,197.0,171.0,102.0,128.0,127.0,146.0,130.0,88.0,,,,,81.0,,,105.0,,,,,,129.0,,,,105.0,,,,,,136.0,
117,,,,,,,,,,,,,,,,,,,,,,,,,,17.0,,,,19.0,,,,,,23.0,
119,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
121,,294.0,161.0,280.0,,,,,,,,,,121.0,,,,,35.0,,,146.0,,,,,,194.0,,,,,,307.0,,,
123,,,89.0,,181.0,,,,,,,45.0,67.0,48.0,65.0,66.0,32.0,,,34.0,,,59.0,,,,,,28.0,,,108.0,,,42.0,,
124,,,,,,,,,,,,,,,,,,,,,,,,,,,14.0,,,,,,,,,,5.0
125,141.0,,,,166.0,,,,,70.0,95.0,,,,,,,,,,,,,,,,13.0,,,,,,64.0,,,22.0,
