,coastal,lakes,streams,all j
1989,99.31327336295233,96.13007816503904,84.74339940495949,87.67192790700678
1990,97.30362411258405,96.93706985387743,83.83081579544816,86.72049501047276
1991,95.1768966759108,97.7823149050251,83.18607079761375,85.96455456111512
1992,96.85941463931626,98.2290500247317,81.62682059836864,85.01970864877795
1993,96.34166469642706,98.3746121420585,80.05899687303133,83.72588060003724
1994,96.08449954440981,98.19906738703395,78.0885494585647,82.13194163058273
1995,96.08449954440981,97.67250209929678,76.97652717007881,81.22344160257335
1996,96.08449954440981,97.62597865126021,76.79374365857981,81.07693286913872
1997,90.7659662824382,96.03447202605342,75.70312089215257,79.33412184799295
1998,90.40852966331668,95.51240892132968,74.59100834240095,78.37371619419774
1999,88.91969223211979,95.09608239452952,70.65147014913127,75.0401157224733
2000,88.47548275885201,96.441697229247,66.52844490736575,71.83935880875428
2001,90.43893861572681,96.14842396070382,56.84155326512967,64.51451962224333
2002,90.43893861572681,96.40191540087787,55.34992416533969,63.363549027414805
2003,87.47784626116062,96.92957448551574,52.098847962172826,60.42116107645258
2004,91.06565557687918,96.88713620578298,50.3342502176851,59.5589152529344
2005,90.36198303955473,97.019716152866,50.14600881058199,59.318085116114055
2006,93.70289993628423,96.9195039353184,48.464487462536596,58.48084205400955
2007,92.33859638043683,97.2958038020673,45.88561770215358,56.28750663461716
2008,91.11947181226259,96.49516729696539,45.51231776254617,55.760670889516355
2009,89.92284966246403,89.6678475122303,45.28072475573563,54.923315532834636
2010,85.7022636743519,83.7719489881246,43.82100596239308,52.74804509061459
2011,82.1485166152754,79.0108702495581,43.02028860014451,51.26646190907448
2012,81.31427012055393,77.93600101846239,41.70496751709409,50.03828305215412
2013,78.78346537540197,78.12361162308027,39.88883794717054,48.25912928221979
2014,78.66537514615094,75.97857294360408,38.58057461575271,47.065532214430704
2015,80.70735359918608,76.21142202327967,37.75184501145149,46.73049196873538
2016,82.06805580512668,73.15606335857942,37.50423000241779,46.51961187402508
2017,84.73143267979674,73.29696141435889,36.3871975562217,46.04284158436771
2018,84.3587124766175,72.0351801297107,35.25751754498443,45.01429448480592
2019,81.51249827756362,74.28419847707578,33.83244972516972,43.640873022227375
2020,82.99801027067691,78.6423597972898,32.1112562797868,42.81611566528702
