wb,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
84,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,
85,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,,,,,,1.0,,,,,,1.0,,0.0
89,,,,,3.0,,,,,,3.0,,,,,,4.0,,,4.0,,,4.0,,,,,,4.0,,,,,,4.0,
90,2.0,2.0,2.0,,,,1.0,2.0,2.0,2.0,3.0,2.0,1.0,2.0,2.0,,,2.0,,,,,,,3.0,,,3.0,,,,,,,,2.0
91,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,1.0,,,,,,,,,,,3.0
92,,2.0,,,,,0.0,1.0,,,,1.0,,2.0,2.0,,,2.0,,,3.0,,,3.0,,,3.0,,,3.0,,,,,,4.0
93,2.0,,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,,,2.0,,1.0,,,1.0,,,2.0,,,3.0
96,,,,,,,,,,,3.0,,,,,,,,,3.0,,,,,,,,,,,,,4.0,,,
98,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,4.0,,,
99,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,
101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,,,,,,,2.0,,,,0.0,,0.0,,,,0.0,,,,
102,,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,4.0,,,,0.0,,0.0,,,,,,,,
105,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,3.0,,,1.0,,,3.0,,
106,,1.0,0.0,1.0,0.0,0.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,2.0,2.0,2.0,1.0,2.0,2.0,3.0,1.0,3.0,2.0,2.0,2.0,2.0,2.0,,2.0,,0.0,,2.0,,2.0
107,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,4.0,,,,,,3.0
109,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,
110,,,,,,,,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,0.0,,,,
111,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,,2.0,,,3.0,,,,,,2.0,,,2.0,,
113,,0.0,,,,0.0,,,,,,,,,,,,2.0,,,0.0,,,,,1.0,,,,,,1.0,,,2.0,
114,2.0,,1.0,2.0,,,,,,2.0,,,,,,,2.0,,,2.0,,,2.0,,,,2.0,,2.0,,,,,,2.0,
115,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,,,,1.0,,,0.0,,,,,,0.0,,,,0.0,,,,,,0.0,
