wb,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
329,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,1.0,,,,,,0.0,,,,
330,,,,,,,,,,0.0,,,,,,,1.0,,,0.0,,,1.0,,,,,,2.0,,,2.0,,,2.0,
331,,,,,,,,,,,,2.0,,,,2.0,,,2.0,,,3.0,,,,3.0,,3.0,,,,,,2.0,,
332,,,,,,,,,,,,,,,,,,4.0,,,,4.0,,,,,,4.0,,,,,,4.0,,
333,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,1.0,,,,
335,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,1.0
336,,,,,,,,,,,,,,1.0,,,,,2.0,,,,,2.0,,,2.0,,4.0,,,,2.0,,,2.0
337,4.0,,,,,,,,,2.0,,,,4.0,,,,,,,,,,,,4.0,,,,4.0,,,,,,
338,,,0.0,,,,,,,,,,,,,,0.0,,,0.0,,,,,,2.0,,,2.0,,,0.0,,,,
339,,,,,,,,,,,,3.0,,,,4.0,,,4.0,,,2.0,,,,2.0,,,3.0,,,4.0,,,,
340,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,,,,,,3.0,
341,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
342,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0,,,
343,,,0.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,
347,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,,,,0.0,,,,,
348,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,1.0,,,,,,0.0,,,,
350,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,3.0,,2.0,,,,3.0,,,
351,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,,,,,,1.0,,,
353,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,2.0,,,
354,,,,,,1.0,,0.0,,,,,2.0,,,,,,,,,,2.0,,,,,0.0,,,0.0,,,,,
355,,,,,,,,,,,,,,3.0,,,,,3.0,,,,,,,3.0,,,3.0,,,,,,,3.0
357,,,,,2.0,,,,,,,,1.0,,,,,,,,,2.0,,,,,,2.0,,,4.0,,,,,2.0
358,,,,,,,,,,,2.0,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,
359,,,,,,,,,,,3.0,,,,,,,,,,,,,,,4.0,,,,,,,,,,
361,,,,,4.0,4.0,,,,,,3.0,,,,,2.0,4.0,3.0,,,,,4.0,,,,,,4.0,,,2.0,,,
363,,,,,3.0,4.0,,,,,,2.0,,,,,,,3.0,,,3.0,,,,,,3.0,,,,,,2.0,,
364,,,,,,,,,,,,,,,,,,,,,2.0,,,,3.0,,,3.0,,,3.0,,,,,2.0
365,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,,,3.0,,,,
366,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
368,,,,,,,,,,,,,,2.0,,,,,,,,,,2.0,,,,2.0,,1.0,,,,,,1.0
370,,,,,,,,,,2.0,,,3.0,,,,3.0,,,,,,,,,,1.0,,1.0,,,,,,2.0,
372,,,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0,,,3.0,,,0.0,,,1.0,
373,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,,,,,,0.0,,,
374,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,0.0
375,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,3.0
376,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,4.0,,,
377,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
378,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0
379,1.0,1.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,1.0,,,1.0,,,,,,0.0,,,,,2.0
380,,,,,,,,,,,,,,,0.0,,,,0.0,,,0.0,,,1.0,,,,,,0.0,,,,,
381,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,2.0,
382,,,,,,,,,,,,,,,,,,,,3.0,,,,,,4.0,,,,,4.0,,,,,
383,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
384,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,3.0,,,,,,3.0,
386,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,
387,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,
389,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,3.0
390,,,,,,,,,,,,2.0,,,,3.0,,,0.0,,,3.0,,2.0,,,0.0,,,0.0,,,3.0,,,0.0
391,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,
392,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393,,,,,,,,,,,2.0,,,,,,,,,,,,3.0,,,,2.0,,2.0,,,,,,2.0,
394,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,
395,,,,,,,,2.0,,,,,,2.0,,,,,,,,3.0,,,,,,,,,,,,0.0,,
396,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
397,,,0.0,,,,,,,,,0.0,0.0,,0.0,0.0,,,,,,,,1.0,,,,,,1.0,,,,2.0,,1.0
398,,,,,3.0,,,,,,,,,,,,,,1.0,,,2.0,,1.0,4.0,3.0,4.0,4.0,,3.0,,3.0,,0.0,,1.0
399,,,,,4.0,,,,,,,,4.0,,,,,,,,,,,,3.0,,,,2.0,,,,,,0.0,
400,,,,,,,,,,,,,2.0,,,2.0,1.0,,,0.0,,,2.0,,,,2.0,,2.0,,,,,,2.0,
401,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,3.0,,,
402,,,,,,,,,,,1.0,2.0,3.0,2.0,3.0,3.0,,,2.0,,,0.0,,0.0,0.0,0.0,0.0,1.0,,0.0,,2.0,,1.0,,0.0
403,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,
404,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,1.0
405,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,2.0,,,2.0
406,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,0.0
407,,,,,,,,,,,,,,,,,,,2.0,,,3.0,,,3.0,,,,,,1.0,,,,,
408,,,,,,,,,,,3.0,,,,,,,2.0,,,,,,2.0,,,,2.0,,2.0,,,,2.0,,
409,,,,,,,,,,,,,,,,,,3.0,,,,4.0,,,,,,2.0,,,2.0,,,3.0,,
411,,,,,,0.0,0.0,,,,,,,,,,,0.0,,,0.0,,,,1.0,,,,,,2.0,,,,,
412,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,
413,1.0,,,,2.0,1.0,,,,,,1.0,,,,1.0,,,,,,,,0.0,,,,,1.0,,0.0,,,,,
414,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,4.0,,,4.0,,,,,,
416,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,
417,,,,,,,,,,,,,,,,,0.0,,,1.0,,,,1.0,,,,,,0.0,,,,,,2.0
418,,,,,,,,,,,,,,,,,1.0,,,,,,,0.0,,,,,1.0,,,,,,2.0,
419,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,2.0,,,,,,1.0,,,,,,2.0
420,,,,,,4.0,,,,,,,4.0,,,,,,3.0,,,3.0,,,,,4.0,,,,,,3.0,,,
421,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
422,,,,,,,,,,,3.0,2.0,2.0,1.0,0.0,2.0,,,,,,,,,0.0,,,,,,0.0,,,,,
423,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,,,,0.0,,,1.0,,,,,,1.0,,,,,,0.0,,
424,,,,4.0,,,,,,,,,4.0,,,,,4.0,,,3.0,,,4.0,,,3.0,,,4.0,,,4.0,,,3.0
425,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,4.0,,4.0,,,4.0,,3.0
426,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
427,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
428,,0.0,0.0,,,0.0,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,
429,,,,2.0,,,,4.0,3.0,,,,,,,,,,,,3.0,,,,,,,,,4.0,,,4.0,,,4.0
430,3.0,,,,,,2.0,,,,,,,,,,,3.0,,,3.0,,,,,,3.0,,,3.0,,,4.0,,,
431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432,,,,2.0,,,,,,,,,4.0,,,,,3.0,,,,,,,,,,3.0,,,3.0,,,,,2.0
433,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,
434,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,4.0
435,2.0,,,,,,2.0,3.0,4.0,2.0,,,,,,,,3.0,,,3.0,,,,,,3.0,,,4.0,,,4.0,,,
436,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,1.0,,,2.0,,,0.0
437,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
438,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,
439,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,
440,4.0,,,,,4.0,,,,,,,,,4.0,,,,3.0,,,4.0,,,,,,4.0,,,2.0,,,4.0,,
441,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,2.0
443,,,,4.0,,,,,,,,,4.0,,,,,4.0,,,,,,4.0,,,,,4.0,,,,,,,
444,,,,3.0,,,,,,,,,3.0,,,,,3.0,,,3.0,,,4.0,,,,,,3.0,,,4.0,,,4.0
445,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,
446,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,,,2.0,,,2.0,,,3.0,
447,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,3.0,,,,,,3.0,
448,,,,,,,4.0,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,4.0,,,,,
450,,,,,,1.0,,,,,,,,0.0,,,,,,,,,2.0,,,,,,2.0,,,,,,2.0,
451,,,,,1.0,,,,,,,,,,,,,,,,,2.0,,,4.0,,,4.0,,,,,,,3.0,
452,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,4.0,,,,,,,
453,,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,3.0,,,3.0,,,2.0,,,4.0,,
455,,,,,1.0,,,,,,,2.0,,,,,,1.0,,,2.0,,,4.0,,,3.0,,,,2.0,,,4.0,,
456,,4.0,,4.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,,,,
457,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,
458,,2.0,0.0,1.0,1.0,1.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,1.0,1.0,2.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,,1.0,,3.0,,3.0,,3.0
461,,,,,,1.0,,,,,,2.0,,,,,1.0,,,1.0,,,2.0,,,,,,0.0,,,,,,1.0,
462,,,,,,,3.0,,,,,,,3.0,,,,,,4.0,,,,,,,,,,3.0,,,,,,
463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,
466,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,4.0
467,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,1.0,,,,,,0.0
469,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,2.0,,,,,
470,2.0,2.0,1.0,2.0,2.0,3.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,2.0,,2.0,,,2.0,,,,4.0,,3.0,,3.0,,3.0,,4.0
471,,1.0,1.0,,1.0,,1.0,,,0.0,,2.0,,,1.0,,,,1.0,,,1.0,,,,,0.0,,,,,,0.0,,,
472,,,,,,,,,,,,,,3.0,2.0,2.0,,,,,,,,,,2.0,,,,,,3.0,,,,
473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,,2.0,,2.0,,3.0,,3.0,
474,,,,,,3.0,,,,,,3.0,,,,,,,,2.0,,,,,,1.0,,,,,,2.0,,,,
475,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,,
477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
478,,,,,1.0,,,,,,,2.0,,,,,,1.0,,,,,3.0,,,,,4.0,,,3.0,,,4.0,,
479,,,,,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,2.0,,3.0,,,,,2.0
480,,,,,,,,3.0,,,,2.0,2.0,,,1.0,,1.0,,,1.0,,,2.0,,,2.0,,,3.0,,,2.0,,,4.0
482,,,4.0,,,,,,,4.0,,,,,,,3.0,,,3.0,,,3.0,,,,,,2.0,,,,,,4.0,
483,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,3.0
484,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,3.0,,,,
485,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,
486,,,,,,,,,,2.0,,,,,,,1.0,,,1.0,,,,,1.0,,,,,,2.0,,,,,
487,,,,,,,,,,2.0,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,
488,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0,
489,,,,,,,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,0.0
490,0.0,,0.0,,,,,0.0,0.0,0.0,0.0,2.0,3.0,2.0,0.0,1.0,2.0,1.0,1.0,,,,,,,0.0,,,,,,0.0,,,,
491,,,,,,,2.0,,2.0,,,,,2.0,,,1.0,,,0.0,,,1.0,,,2.0,,,1.0,,,,4.0,,,
495,,,,,1.0,,,,,,2.0,2.0,2.0,,,,,1.0,,,,,,,4.0,,,4.0,,,,,,,,3.0
496,,,,,,0.0,,,,,,,1.0,,,,0.0,,,0.0,,,,,,1.0,,,,,,2.0,,,,
497,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,3.0,,,,
498,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,3.0,,,,
499,,1.0,,1.0,,,,,,1.0,,2.0,,,,,,,,,,2.0,,,,,2.0,,,,,,2.0,,,2.0
500,,3.0,,3.0,,3.0,,3.0,,4.0,,,4.0,,,4.0,,4.0,,,,4.0,,,3.0,,,,4.0,,,3.0,,,,
501,,,,,,,,,,2.0,2.0,,,,2.0,,2.0,,,1.0,,,2.0,,,,,,1.0,,,,,,1.0,
502,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,4.0,,,,
503,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,2.0,
504,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,3.0,3.0,2.0,,2.0,,2.0,,3.0,,3.0,
506,,2.0,3.0,2.0,,3.0,,3.0,,3.0,,3.0,,,2.0,,1.0,,,,,,2.0,,,,2.0,,2.0,,,,,,2.0,
507,,,,,,,,,,3.0,,,,,,,,3.0,,,4.0,,,,,,,4.0,,,,,,4.0,,
508,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,,,0.0,,,,,,0.0,,,,
509,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
510,,,,,,1.0,,,,,,2.0,,,,,2.0,,,1.0,,,2.0,,,1.0,,,2.0,,,,,,2.0,
511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
512,,,,,2.0,,,,,,,2.0,,,,,,,2.0,,,,,2.0,,,,,,2.0,,,,,,2.0
513,,,,,1.0,,,,,,,2.0,,,,,,,1.0,,,,,4.0,,,,,,3.0,,,,,,3.0
515,,,0.0,,,,,0.0,,,,,,0.0,,,,,0.0,,,1.0,,,0.0,,,,,,0.0,,,,,
516,0.0,,1.0,,,,,1.0,,,,,,1.0,,,,,1.0,,,2.0,,,3.0,,,3.0,,,2.0,,,3.0,,2.0
517,,3.0,,,,,,,,,3.0,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,
518,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,2.0,,,,,,1.0,,,,,,1.0
519,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,,,,,,3.0,,,,
520,,,,,,,,0.0,,,,,,,,3.0,,,,,,,4.0,,4.0,4.0,,4.0,,,,,,3.0,,
521,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,1.0,,,2.0
522,,2.0,2.0,,2.0,,2.0,,4.0,,,,,,,,2.0,1.0,0.0,2.0,4.0,2.0,2.0,,,,,,2.0,,,,,,0.0,
523,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,2.0,,,,,,1.0
524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,1.0
526,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,1.0,,,,0.0,,,,,,2.0,,,2.0
527,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,
528,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,,,3.0,
529,,,,,,,,,,,1.0,,,,1.0,,,,,,,,2.0,,,,,3.0,,3.0,,,,,,
531,,,,,,,,,,,3.0,,,,,,3.0,,,3.0,,,,,,2.0,,,,1.0,1.0,,,2.0,,
532,1.0,,1.0,,1.0,,0.0,2.0,1.0,0.0,1.0,2.0,2.0,2.0,1.0,0.0,1.0,0.0,1.0,1.0,,,2.0,,,2.0,,,2.0,,,1.0,,,2.0,
533,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
534,,,,,,,,,,,,,,0.0,,,,,,,,,,,3.0,,,,,,2.0,,,,,
535,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,
536,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
538,,1.0,,,,,,1.0,,1.0,,,,1.0,,,,,1.0,,,2.0,,,1.0,,,2.0,,,2.0,,,2.0,,
539,,1.0,,,,,,0.0,,,,,,1.0,,,,,1.0,,,2.0,,,,,,2.0,,,2.0,,,2.0,,
540,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,,,,,,,,,,,,3.0,,,,,,3.0,,,3.0,,,,,,,,3.0,,,4.0,,,,
542,,,,,,,,4.0,,,,,,,,,,3.0,,,3.0,,,,3.0,,,,,3.0,,,,,,3.0
543,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0,,,,
544,,,,,,1.0,,,,,,,2.0,,,,,1.0,,,3.0,,,,,,2.0,,,1.0,,,1.0,,,2.0
545,,1.0,,0.0,,0.0,,,,,,,,,,,,0.0,,,1.0,,,,,,,1.0,,,,,1.0,,,1.0
546,1.0,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,2.0,,2.0,,,,3.0,,2.0,,
547,0.0,,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,,,,,,,0.0,,,,,,0.0,,,1.0,
548,,,,,,0.0,,,,,,,,2.0,,,,,,2.0,,,,,,,,1.0,,,,,,2.0,,
549,,,,,,,0.0,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,1.0,,,,,
550,,,,,,,,,,,,,,,,,,,,,,1.0,,,2.0,,,,,,1.0,,,,,
552,2.0,3.0,4.0,4.0,2.0,3.0,3.0,4.0,2.0,,,,,,,,1.0,0.0,1.0,1.0,1.0,2.0,3.0,,,,3.0,,,3.0,,,2.0,,,
553,,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,1.0,1.0,1.0,2.0,,,,,1.0,,,1.0,,,,,,1.0,,,,,,2.0
555,2.0,,,,,,,,,3.0,,,,,,,3.0,,,4.0,,,,,,,4.0,,,,,,4.0,,,
556,2.0,,,,,,,4.0,,,,,,,3.0,,,,3.0,,,4.0,,,,,,4.0,,,,,,4.0,,
558,,,,,,2.0,,3.0,,,,,4.0,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,1.0,
559,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,
561,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,
564,,,,,,,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,,1.0,,,,,,0.0,,
567,,,,,,0.0,,1.0,2.0,2.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,2.0,,,,2.0,,2.0,,,,,,2.0,
568,,,,,,,,,1.0,,,,,,0.0,,,2.0,2.0,,,,,3.0,,,3.0,,,3.0,,,4.0,,,
569,,,,,,,,,4.0,,,,,,3.0,,,2.0,,,2.0,,,,,,0.0,,,,,,0.0,,,
570,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,2.0,,,,,,3.0,,,2.0
574,,,,1.0,,,,,,2.0,,,2.0,2.0,2.0,2.0,1.0,2.0,,,,,,2.0,,,,2.0,,,,,,3.0,,
576,,,,,,,2.0,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,0.0,,,,,
577,,,,1.0,,,,,,,2.0,,,,,,3.0,,,,,,,,,,,,4.0,,,,,,,4.0
578,,,,,,0.0,,,,,0.0,,,1.0,1.0,0.0,,,,,,,1.0,,,,1.0,,1.0,,,0.0,,,,1.0
579,,,,2.0,,,,,,2.0,,,,,,,2.0,,,,,,,2.0,,,,2.0,,,,,,2.0,,
580,,,,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,,,,,0.0,,,,,,0.0
582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,,,,,0.0,,,,,,0.0,,,1.0,,,0.0,,,
583,,,,,,,,,,,,,,,,,,,,,4.0,,,,,1.0,,,,,,2.0,,,,
586,,0.0,,,,,,,1.0,,1.0,2.0,1.0,2.0,0.0,1.0,,,0.0,,,4.0,,,,3.0,,,,,,0.0,,,0.0,
587,,,,1.0,,,,,2.0,,,,,,,2.0,,,1.0,,,2.0,,,4.0,,,3.0,,,2.0,,,2.0,,2.0
588,,,,,,,,2.0,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,2.0,,,
589,,,,,,,2.0,,2.0,2.0,,2.0,,,,,2.0,,,1.0,,,,,,1.0,,,1.0,,,2.0,,,,
590,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
591,,,,,,,1.0,,,,,,,2.0,,,,,3.0,,,4.0,,,3.0,,,2.0,,,3.0,,,,,
592,,,,,,,,,,,,,,,,0.0,0.0,,,,0.0,,,,,,2.0,,,,,,2.0,,,
593,,0.0,,1.0,,0.0,,1.0,2.0,1.0,0.0,1.0,2.0,2.0,,2.0,,,0.0,,,,,,,,0.0,,,,,,3.0,,,2.0
595,,,2.0,,,2.0,,,3.0,,3.0,3.0,,3.0,,,,3.0,,,1.0,,,0.0,,,,,,2.0,,,,,,
596,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,4.0
597,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,3.0,3.0,3.0,,,3.0,,,4.0,,,3.0,,,3.0,,,,,,3.0,,3.0,,,,2.0,
598,,1.0,,2.0,,,,,2.0,,,,,,,,,,,,,4.0,,,,2.0,,,,,,,,,,
599,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,
601,,,,,,,,4.0,,,,,,,,4.0,3.0,,,2.0,,,2.0,,,2.0,,,3.0,,,4.0,,,2.0,
602,,,0.0,,,,,1.0,,1.0,,1.0,,,1.0,2.0,,,,,,,,2.0,,,,,,2.0,,,,,,2.0
604,,,,,,,,,,,,,4.0,,,,,4.0,,,1.0,,,,,0.0,,,,,,0.0,,,,
605,,2.0,,,,,,,1.0,,,,,,,,,,,,,,3.0,,,,,,3.0,,,,,,,4.0
606,,,0.0,,,1.0,,2.0,,1.0,,1.0,,2.0,,,1.0,,,,,,,2.0,,,,,,2.0,,,,,,2.0
607,,,,,,,,,,,,,,,,,,,,3.0,,,,,,4.0,,,4.0,,,3.0,,,,
608,,,4.0,,,,3.0,,3.0,,,,,,,,,,,,,,,,,0.0,,,3.0,,3.0,,,,,
609,,,4.0,,,,2.0,,4.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
610,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
612,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,3.0,,,,,
613,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,4.0,,,,,,
615,0.0,0.0,0.0,0.0,,0.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,2.0,1.0,,1.0,,,1.0,,,1.0,,,2.0,,,1.0,,,,,,1.0,
616,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,
617,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,3.0,,,,
618,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,0.0,,,,
619,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
620,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,3.0,,,,,
621,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,3.0,,,,,
622,,,,3.0,,3.0,,,,2.0,,,,,,,,4.0,,,,,,,,3.0,,,,2.0,,2.0,,,2.0,
623,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,2.0,,,
626,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,0.0,
627,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,
628,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
629,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,
630,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,
631,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
632,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,,4.0,,4.0,,4.0
