,Alkalinity,Brown,Saline,Deep,DK2,n
1987,1.0,0.017543859649122806,0.08771929824561403,0.38596491228070173,0.3508771929824561,57.0
1988,0.974025974025974,0.03896103896103896,0.09090909090909091,0.35064935064935066,0.2857142857142857,77.0
1989,0.9245283018867925,0.03773584905660377,0.14150943396226415,0.33962264150943394,0.25471698113207547,106.0
1990,0.9557522123893806,0.02654867256637168,0.10619469026548672,0.336283185840708,0.25663716814159293,113.0
1991,0.941747572815534,0.04854368932038835,0.08737864077669903,0.32038834951456313,0.27184466019417475,103.0
1992,0.9263157894736842,0.042105263157894736,0.06315789473684211,0.3263157894736842,0.2631578947368421,95.0
1993,0.9333333333333333,0.01904761904761905,0.10476190476190476,0.3047619047619048,0.22857142857142856,105.0
1994,0.911504424778761,0.035398230088495575,0.09734513274336283,0.34513274336283184,0.3008849557522124,113.0
1995,0.9292035398230089,0.04424778761061947,0.08849557522123894,0.3008849557522124,0.25663716814159293,113.0
1996,0.95,0.04,0.05,0.3,0.29,100.0
1997,0.926829268292683,0.024390243902439025,0.12195121951219512,0.2764227642276423,0.3089430894308943,123.0
1998,0.9365079365079365,0.06349206349206349,0.12698412698412698,0.3253968253968254,0.31746031746031744,126.0
1999,0.9343065693430657,0.051094890510948905,0.072992700729927,0.291970802919708,0.36496350364963503,137.0
2000,0.9212598425196851,0.13385826771653545,0.11811023622047244,0.25984251968503935,0.33070866141732286,127.0
2001,0.9147286821705426,0.07751937984496124,0.11627906976744186,0.2868217054263566,0.3333333333333333,129.0
2002,0.9212598425196851,0.09448818897637795,0.07086614173228346,0.2992125984251969,0.33070866141732286,127.0
2003,0.9416666666666667,0.10833333333333334,0.09166666666666666,0.2833333333333333,0.35833333333333334,120.0
2004,0.9029850746268657,0.11940298507462686,0.1417910447761194,0.26119402985074625,0.30597014925373134,134.0
2005,0.852112676056338,0.1619718309859155,0.14084507042253522,0.30985915492957744,0.2887323943661972,142.0
2006,0.8888888888888888,0.11904761904761904,0.0873015873015873,0.2698412698412698,0.30158730158730157,126.0
2007,0.9224806201550387,0.14728682170542637,0.23255813953488372,0.21705426356589147,0.2868217054263566,129.0
2008,0.8818897637795275,0.1889763779527559,0.07874015748031496,0.2755905511811024,0.31496062992125984,127.0
2009,0.9022556390977443,0.12781954887218044,0.12781954887218044,0.23308270676691728,0.2781954887218045,133.0
2010,0.9607843137254902,0.14705882352941177,0.12745098039215685,0.21568627450980393,0.27450980392156865,102.0
2011,0.8955223880597015,0.21641791044776118,0.1865671641791045,0.21641791044776118,0.2462686567164179,134.0
2012,0.8646616541353384,0.18796992481203006,0.12030075187969924,0.3233082706766917,0.23308270676691728,133.0
2013,0.920863309352518,0.2302158273381295,0.22302158273381295,0.19424460431654678,0.22302158273381295,139.0
2014,0.9078014184397163,0.1702127659574468,0.18439716312056736,0.19148936170212766,0.24113475177304963,141.0
2015,0.90625,0.21875,0.171875,0.2421875,0.2578125,128.0
2016,0.9308176100628931,0.18867924528301888,0.1509433962264151,0.2389937106918239,0.27044025157232704,159.0
2017,0.8734939759036144,0.2891566265060241,0.20481927710843373,0.1746987951807229,0.26506024096385544,166.0
2018,0.8819875776397516,0.3416149068322981,0.17391304347826086,0.21739130434782608,0.2422360248447205,161.0
2019,0.8618421052631579,0.28289473684210525,0.24342105263157895,0.18421052631578946,0.23684210526315788,152.0
2020,0.8289473684210527,0.3355263157894737,0.19078947368421054,0.17763157894736842,0.25,152.0
2021,0.8839285714285714,0.22321428571428573,0.15178571428571427,0.24107142857142858,0.2857142857142857,112.0
2022,0.9298245614035088,0.15789473684210525,0.11403508771929824,0.24561403508771928,0.2543859649122807,114.0
2023,0.8248847926267281,0.29493087557603687,0.1935483870967742,0.2304147465437788,0.2672811059907834,217.0
All obs,0.8639281129653402,0.3055198973042362,0.21309370988446727,0.18613607188703465,0.25288831835686776,779.0
All in VP3,0.7738336713995944,0.3022312373225152,0.18255578093306288,0.15314401622718052,0.24746450304259635,986.0
