,streams,income,age,households,total
1990,1830.6223172969098,1830.6223172969098,1830.6223172969098,1830.6223172969098,1830.6223172969098
1991,1867.5902316149009,1836.7448771340446,1831.0757662297278,1849.6709735756758,1893.6655667402013
1992,1888.0276595477283,1838.744223129948,1831.0757662297278,1867.9226188891723,1935.0096796669006
1993,1889.1075025539135,1837.8165878430373,1831.0757662297278,1882.5135467518046,1949.8697169751208
1994,1898.3302045532505,1906.1945903680732,1831.8439426366185,1895.5223927948919,2046.3525014170589
1995,1894.9432226400552,1930.3052185714785,1831.8439426366185,1911.181144183969,2085.0263265935073
1996,1885.3210901780742,1945.7633033838076,1831.0757662297278,1926.0876420706818,2106.0850833065238
1997,1864.9023989783993,1970.2808061279006,1831.8439426366185,1940.8816811179122,2126.1174404820968
1998,1844.9658218959767,2008.3321851947906,1831.8439426366185,1954.9393073447563,2159.1218443829994
1999,1805.789007838288,2017.7060100108567,1831.8439426366185,1969.542614247165,2138.660362337328
2000,1754.9447611282067,2050.325937394998,1831.8439426366185,1979.2197546119626,2122.510336703333
2001,1695.2125530329224,2078.5926128341075,1831.8439426366185,1988.7776954978317,2088.127202631908
2002,1672.729366303064,2082.205447529336,1831.8439426366185,1999.1120910714342,2074.2813986969936
2003,1653.297298706617,2071.4294607149923,1832.205877686695,2008.3505181081587,2048.337269692447
2004,1624.4085097692662,2108.141489215732,1832.205877686695,2019.7364869458138,2059.0347799989254
2005,1619.5834361644484,2145.381259992463,1834.6806082068924,2035.7747107384816,2108.3415137272987
2006,1608.8118592279952,2199.5978864882077,1835.1479029604134,2051.6994566211483,2162.695220451866
2007,1584.9217982444295,2262.073760586271,1836.5034360025638,2064.2800935911564,2205.585399283519
2008,1576.5654037412537,2209.221553795109,1837.7251913756088,2077.7600846569667,2156.2916636641303
2009,1583.1479761083315,2155.032690149902,1837.7251913756088,2093.3813042873007,2128.4212634625846
2010,1559.9541265121472,2210.911327575013,1837.7251913756088,2103.3715946245097,2161.8650321885298
2011,1556.1343013758626,2174.8744483567557,1844.9067311596716,2114.540426286669,2140.3353257137564
2012,1528.8827445141933,2176.54643533039,1862.3845987701477,2122.8623140543077,2127.873927693681
2013,1500.7337534240241,2201.771703350457,1865.5581682009952,2136.430782749263,2129.8599748422844
2014,1468.666229478667,2232.3214104959034,1869.7066798676206,2148.388635005763,2130.6521010592714
2015,1456.4752156440593,2303.0296866545514,1880.9053195923498,2161.5210573094373,2209.146469835527
2016,1431.5715367770993,2334.6046875229667,1889.1593025928423,2176.3595168932,2222.467578715812
2017,1413.0553239478288,2367.5653877398713,1916.8815735292033,2189.1239583309657,2267.8372422249467
2018,1383.045461724935,2391.323196827165,1925.2937161267294,2204.700680288123,2267.308076791169
2019,1366.2290527572761,2414.711952845249,1935.9119372505656,2220.27740224528,2288.7924129510584
2020,1350.317175119529,2447.1705180761087,1951.3430832600222,2235.854124202437,2323.558125796862
"g (million DKK, 2023 prices)",-480.30514217738073,616.5482007791989,120.7207659631124,405.23180690552726,492.93580849995215
g (%),-26.237260282426664,33.67970525398115,6.594520607689751,22.136286828617443,26.927225995355464
g yearly (%),-1.0092606477324182,0.9722845817824464,0.213099812237445,0.6687842419351,0.7979793938542912
