,n,No dummies,Alkalinity,Brown,Saline,Deep,DK2,"Saline, Alkalinity","Saline, Brown","Saline, Deep","Saline, DK2","Saline, Brown, Alkalinity","Saline, Brown, Deep","Saline, Brown, DK2","Saline, Brown, Alkalinity, Deep","Saline, Brown, Alkalinity, DK2"
2008,127.0,0.2755905511811024,0.30708661417322836,0.28346456692913385,0.2677165354330709,0.2677165354330709,0.2677165354330709,0.2992125984251969,0.25984251968503935,0.29133858267716534,0.2677165354330709,0.31496062992125984,0.2755905511811024,0.30708661417322836,0.2992125984251969,0.29133858267716534
2009,133.0,0.2631578947368421,0.2932330827067669,0.2631578947368421,0.2932330827067669,0.2781954887218045,0.2857142857142857,0.3082706766917293,0.2781954887218045,0.2932330827067669,0.3007518796992481,0.2857142857142857,0.2932330827067669,0.2932330827067669,0.2781954887218045,0.3007518796992481
2010,102.0,0.4803921568627451,0.4215686274509804,0.43137254901960786,0.4411764705882353,0.4117647058823529,0.4215686274509804,0.43137254901960786,0.4803921568627451,0.4215686274509804,0.4803921568627451,0.47058823529411764,0.4117647058823529,0.4411764705882353,0.4117647058823529,0.4215686274509804
2011,134.0,0.4626865671641791,0.44776119402985076,0.4552238805970149,0.5,0.4552238805970149,0.4626865671641791,0.5,0.47761194029850745,0.4701492537313433,0.4701492537313433,0.47761194029850745,0.48507462686567165,0.4626865671641791,0.4626865671641791,0.4626865671641791
2012,133.0,0.22556390977443608,0.24060150375939848,0.2556390977443609,0.44360902255639095,0.23308270676691728,0.24812030075187969,0.40601503759398494,0.45112781954887216,0.24812030075187969,0.3233082706766917,0.42857142857142855,0.2706766917293233,0.38345864661654133,0.3383458646616541,0.42105263157894735
2013,139.0,0.5107913669064749,0.5179856115107914,0.5035971223021583,0.5179856115107914,0.5539568345323741,0.5035971223021583,0.5179856115107914,0.5323741007194245,0.539568345323741,0.5179856115107914,0.5179856115107914,0.5611510791366906,0.5323741007194245,0.539568345323741,0.5179856115107914
2014,141.0,0.5035460992907801,0.5106382978723404,0.5106382978723404,0.5177304964539007,0.49645390070921985,0.5531914893617021,0.5602836879432624,0.5106382978723404,0.48936170212765956,0.5319148936170213,0.5815602836879432,0.5035460992907801,0.5177304964539007,0.49645390070921985,0.5106382978723404
2015,128.0,0.3203125,0.3203125,0.3203125,0.328125,0.3203125,0.3203125,0.328125,0.328125,0.328125,0.328125,0.3203125,0.3203125,0.328125,0.3203125,0.3203125
2016,159.0,0.7421383647798742,0.7295597484276729,0.7421383647798742,0.7044025157232704,0.7232704402515723,0.7232704402515723,0.7169811320754716,0.7232704402515723,0.7232704402515723,0.710691823899371,0.7232704402515723,0.7169811320754716,0.7358490566037735,0.7232704402515723,0.7232704402515723
2017,166.0,0.7409638554216867,0.7228915662650602,0.7469879518072289,0.7289156626506024,0.7228915662650602,0.7168674698795181,0.7349397590361446,0.7349397590361446,0.7228915662650602,0.7289156626506024,0.7228915662650602,0.7168674698795181,0.7289156626506024,0.7289156626506024,0.7409638554216867
2018,161.0,0.7018633540372671,0.7080745341614907,0.7204968944099379,0.7080745341614907,0.7142857142857143,0.7018633540372671,0.7018633540372671,0.7142857142857143,0.7018633540372671,0.6894409937888198,0.7080745341614907,0.7080745341614907,0.7080745341614907,0.6956521739130435,0.7018633540372671
2019,152.0,0.2565789473684211,0.28289473684210525,0.28289473684210525,0.2631578947368421,0.27631578947368424,0.3157894736842105,0.2631578947368421,0.28289473684210525,0.27631578947368424,0.3026315789473684,0.27631578947368424,0.2894736842105263,0.29605263157894735,0.3026315789473684,0.3223684210526316
2020,152.0,0.34210526315789475,0.34210526315789475,0.3684210526315789,0.34868421052631576,0.34868421052631576,0.35526315789473684,0.34868421052631576,0.3618421052631579,0.34210526315789475,0.34868421052631576,0.34210526315789475,0.3684210526315789,0.3618421052631579,0.3684210526315789,0.35526315789473684
Total,4095.0,0.39755799755799753,0.3997557997557998,0.39853479853479856,0.41147741147741146,0.3934065934065934,0.3992673992673993,0.4117216117216117,0.4141636141636142,0.40122100122100124,0.4026862026862027,0.41514041514041516,0.4043956043956044,0.40854700854700854,0.41196581196581195,0.4073260073260073
