,n,No dummies,Alkalinity,Brown,Saline,Deep,DK2,"Saline, Alkalinity","Saline, Brown","Saline, Deep","Saline, DK2","Saline, Brown, Alkalinity","Saline, Brown, Deep","Saline, Brown, DK2","Saline, Brown, Alkalinity, Deep","Saline, Brown, Alkalinity, DK2"
1989,106.0,0.5,0.5377358490566038,0.4716981132075472,0.5471698113207547,0.49056603773584906,0.4811320754716981,0.5377358490566038,0.5566037735849056,0.5471698113207547,0.5283018867924528,0.5283018867924528,0.5377358490566038,0.5943396226415094,0.5849056603773585,0.5471698113207547
1990,113.0,0.3893805309734513,0.34513274336283184,0.37168141592920356,0.39823008849557523,0.336283185840708,0.336283185840708,0.39823008849557523,0.37168141592920356,0.40707964601769914,0.3893805309734513,0.36283185840707965,0.3805309734513274,0.37168141592920356,0.39823008849557523,0.35398230088495575
1991,103.0,0.3106796116504854,0.32038834951456313,0.30097087378640774,0.32038834951456313,0.2621359223300971,0.3300970873786408,0.2912621359223301,0.32038834951456313,0.2815533980582524,0.32038834951456313,0.23300970873786409,0.2912621359223301,0.30097087378640774,0.3300970873786408,0.2815533980582524
1992,95.0,0.3894736842105263,0.4105263157894737,0.4,0.43157894736842106,0.4421052631578947,0.3263157894736842,0.4,0.4,0.43157894736842106,0.3684210526315789,0.43157894736842106,0.4631578947368421,0.3894736842105263,0.49473684210526314,0.43157894736842106
1993,105.0,0.4666666666666667,0.41904761904761906,0.4380952380952381,0.47619047619047616,0.45714285714285713,0.41904761904761906,0.44761904761904764,0.41904761904761906,0.4380952380952381,0.4380952380952381,0.3047619047619048,0.42857142857142855,0.44761904761904764,0.38095238095238093,0.34285714285714286
1994,113.0,0.22123893805309736,0.23893805309734514,0.21238938053097345,0.22123893805309736,0.26548672566371684,0.24778761061946902,0.22123893805309736,0.22123893805309736,0.24778761061946902,0.22123893805309736,0.24778761061946902,0.24778761061946902,0.22123893805309736,0.25663716814159293,0.22123893805309736
1995,113.0,0.30973451327433627,0.30973451327433627,0.35398230088495575,0.2831858407079646,0.3274336283185841,0.3274336283185841,0.2831858407079646,0.2743362831858407,0.3185840707964602,0.3185840707964602,0.2920353982300885,0.3185840707964602,0.2831858407079646,0.30973451327433627,0.2831858407079646
1996,100.0,0.4,0.4,0.42,0.38,0.44,0.32,0.36,0.45,0.38,0.26,0.37,0.4,0.33,0.39,0.33
1997,123.0,0.34959349593495936,0.34959349593495936,0.34146341463414637,0.3902439024390244,0.2845528455284553,0.3252032520325203,0.4146341463414634,0.3983739837398374,0.34146341463414637,0.3333333333333333,0.43902439024390244,0.35772357723577236,0.3252032520325203,0.37398373983739835,0.36585365853658536
1998,126.0,0.373015873015873,0.3968253968253968,0.42063492063492064,0.38095238095238093,0.40476190476190477,0.3968253968253968,0.38095238095238093,0.38095238095238093,0.42063492063492064,0.42063492063492064,0.4126984126984127,0.3888888888888889,0.38095238095238093,0.38095238095238093,0.36507936507936506
1999,137.0,0.3795620437956204,0.3795620437956204,0.3722627737226277,0.38686131386861317,0.3722627737226277,0.40145985401459855,0.38686131386861317,0.35766423357664234,0.3284671532846715,0.40145985401459855,0.3722627737226277,0.3722627737226277,0.4233576642335766,0.3795620437956204,0.39416058394160586
2000,127.0,0.3464566929133858,0.3937007874015748,0.33858267716535434,0.33858267716535434,0.36220472440944884,0.3858267716535433,0.33858267716535434,0.3700787401574803,0.3700787401574803,0.3779527559055118,0.36220472440944884,0.3858267716535433,0.36220472440944884,0.3700787401574803,0.33858267716535434
2001,129.0,0.40310077519379844,0.37209302325581395,0.3178294573643411,0.4108527131782946,0.3488372093023256,0.35658914728682173,0.4108527131782946,0.3875968992248062,0.37209302325581395,0.3875968992248062,0.4186046511627907,0.31007751937984496,0.34108527131782945,0.3798449612403101,0.4108527131782946
2002,127.0,0.3228346456692913,0.30708661417322836,0.30708661417322836,0.30708661417322836,0.29133858267716534,0.33070866141732286,0.29133858267716534,0.3228346456692913,0.31496062992125984,0.30708661417322836,0.30708661417322836,0.31496062992125984,0.30708661417322836,0.31496062992125984,0.30708661417322836
2003,120.0,0.35833333333333334,0.36666666666666664,0.35,0.4,0.35,0.45,0.39166666666666666,0.39166666666666666,0.4083333333333333,0.35,0.425,0.35833333333333334,0.39166666666666666,0.4666666666666667,0.35833333333333334
2004,134.0,0.29850746268656714,0.2835820895522388,0.30597014925373134,0.29850746268656714,0.26865671641791045,0.30597014925373134,0.30597014925373134,0.30597014925373134,0.291044776119403,0.31343283582089554,0.31343283582089554,0.30597014925373134,0.29850746268656714,0.29850746268656714,0.3283582089552239
2005,142.0,0.30985915492957744,0.3380281690140845,0.3380281690140845,0.33098591549295775,0.3591549295774648,0.3380281690140845,0.3380281690140845,0.3380281690140845,0.352112676056338,0.34507042253521125,0.352112676056338,0.38028169014084506,0.38028169014084506,0.3732394366197183,0.3591549295774648
2006,126.0,0.2698412698412698,0.2857142857142857,0.29365079365079366,0.2857142857142857,0.24603174603174602,0.2619047619047619,0.3253968253968254,0.3333333333333333,0.25396825396825395,0.2698412698412698,0.3888888888888889,0.2619047619047619,0.29365079365079366,0.24603174603174602,0.36507936507936506
2007,129.0,0.26356589147286824,0.24806201550387597,0.24806201550387597,0.2868217054263566,0.23255813953488372,0.26356589147286824,0.2713178294573643,0.27906976744186046,0.2558139534883721,0.2558139534883721,0.2713178294573643,0.2713178294573643,0.2558139534883721,0.26356589147286824,0.2558139534883721
