,Alkalinity,Brown,Saline,Deep,DK2,n
1987,1.0,0.0,0.0,0.0,0.0,2.0
1988,0.5,0.5,0.5,0.0,0.0,2.0
1989,0.8,0.2,0.2,0.4,0.0,5.0
1990,1.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,3.0
1991,0.6666666666666666,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333,3.0
1992,1.0,0.2,0.0,0.2,0.2,5.0
1993,0.75,0.5,0.25,0.0,0.25,4.0
1994,0.625,0.25,0.125,0.25,0.0,8.0
1995,1.0,0.0,0.5,0.0,0.0,2.0
1996,1.0,0.5,0.0,0.0,0.5,2.0
1997,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,0.0,3.0
1998,0.7,0.3,0.6,0.4,0.0,10.0
1999,0.8333333333333334,0.5,0.0,0.16666666666666666,0.8333333333333334,6.0
2000,0.75,0.5,0.375,0.125,0.625,8.0
2001,0.9090909090909091,0.18181818181818182,0.5454545454545454,0.0,0.45454545454545453,11.0
2002,0.8571428571428571,0.42857142857142855,0.14285714285714285,0.0,0.14285714285714285,7.0
2003,0.8,0.8,0.2,0.0,0.6,5.0
2004,0.6875,0.375,0.1875,0.1875,0.375,16.0
2005,0.6190476190476191,0.38095238095238093,0.23809523809523808,0.3333333333333333,0.09523809523809523,21.0
2006,0.7333333333333333,0.4,0.2,0.2,0.5333333333333333,15.0
2007,0.8333333333333334,0.4583333333333333,0.5833333333333334,0.08333333333333333,0.08333333333333333,24.0
2008,0.8125,0.46875,0.09375,0.1875,0.34375,32.0
2009,0.7931034482758621,0.2413793103448276,0.3103448275862069,0.20689655172413793,0.3448275862068966,29.0
2010,0.9642857142857143,0.39285714285714285,0.21428571428571427,0.07142857142857142,0.39285714285714285,28.0
2011,0.9024390243902439,0.43902439024390244,0.3170731707317073,0.12195121951219512,0.21951219512195122,41.0
2012,0.6976744186046512,0.37209302325581395,0.18604651162790697,0.23255813953488372,0.09302325581395349,43.0
2013,0.9333333333333333,0.4888888888888889,0.35555555555555557,0.022222222222222223,0.17777777777777778,45.0
2014,0.9069767441860465,0.37209302325581395,0.2558139534883721,0.16279069767441862,0.23255813953488372,43.0
2015,0.8604651162790697,0.4883720930232558,0.16279069767441862,0.13953488372093023,0.37209302325581395,43.0
2016,0.9016393442622951,0.3442622950819672,0.18032786885245902,0.21311475409836064,0.26229508196721313,61.0
2017,0.8611111111111112,0.4861111111111111,0.3055555555555556,0.1111111111111111,0.25,72.0
2018,0.7948717948717948,0.6025641025641025,0.1794871794871795,0.08974358974358974,0.19230769230769232,78.0
2019,0.7536231884057971,0.4927536231884058,0.3188405797101449,0.10144927536231885,0.2318840579710145,69.0
2020,0.7464788732394366,0.5915492957746479,0.30985915492957744,0.11267605633802817,0.2112676056338028,71.0
2021,0.7777777777777778,0.4444444444444444,0.2222222222222222,0.08333333333333333,0.3888888888888889,36.0
2022,0.8333333333333334,0.4166666666666667,0.1388888888888889,0.1388888888888889,0.2222222222222222,36.0
2023,0.7575757575757576,0.46464646464646464,0.2727272727272727,0.15151515151515152,0.2222222222222222,99.0
All sparse,0.806146572104019,0.46808510638297873,0.2718676122931442,0.1347517730496454,0.23404255319148937,423.0
