wb,ov_typ,distr_id,til_oko_fy,Shape_Length,length
111,LWTYPE10,DK1,Moderat økologisk tilstand,5163.976980798536,5.163976980798536
113,LWTYPE9,DK1,Ringe økologisk tilstand,1579.830915570877,1.5798309155708772
114,LWTYPE9,DK1,Ringe økologisk tilstand,1979.5546142812561,1.9795546142812561
115,LWTYPE9,DK1,Dårlig økologisk tilstand,15226.84028686514,15.226840286865139
117,LWTYPE13,DK1,God økologisk tilstand,955.272408090313,0.955272408090313
119,LWTYPE9,DK1,Dårlig økologisk tilstand,3928.9667711699162,3.9289667711699163
121,LWTYPE11,DK1,Dårlig økologisk tilstand,1299.5748885830321,1.299574888583032
123,LWTYPE11,DK1,Moderat økologisk tilstand,4827.15385090001,4.82715385090001
124,LWTYPE13,DK1,God økologisk tilstand,5089.9359916259555,5.089935991625955
125,LWTYPE9,DK1,Ringe økologisk tilstand,1566.143049926501,1.566143049926501
126,LWTYPE13,DK1,God økologisk tilstand,2931.8189132013804,2.9318189132013805
128,LWTYPE11,DK1,God økologisk tilstand,1873.8649537403132,1.8738649537403131
129,LWTYPE11,DK1,Ringe økologisk tilstand,2258.503563345682,2.258503563345682
135,LWTYPE11,DK1,Dårlig økologisk tilstand,2284.8457808448957,2.2848457808448956
136,LWTYPE11,DK1,Ringe økologisk tilstand,5270.979036543596,5.270979036543595
137,LWTYPE10,DK1,Ringe økologisk tilstand,6685.023908472224,6.685023908472225
139,LWTYPE9,DK1,Moderat økologisk tilstand,3843.2937530538875,3.8432937530538873
140,LWTYPE9,DK1,God økologisk tilstand,1484.0696676070936,1.4840696676070937
141,LWTYPE9,DK1,Ringe økologisk tilstand,9338.880533388014,9.338880533388014
143,LWTYPE9,DK1,Dårlig økologisk tilstand,2257.69100085385,2.2576910008538498
144,LWTYPE9,DK1,Ringe økologisk tilstand,1750.3281637680257,1.7503281637680257
145,LWTYPE13,DK1,Ringe økologisk tilstand,624.1428540842135,0.6241428540842134
146,LWTYPE9,DK1,Ringe økologisk tilstand,8952.249533218548,8.952249533218549
147,LWTYPE11,DK1,Moderat økologisk tilstand,10558.563480147815,10.558563480147816
148,LWTYPE9,DK1,Ringe økologisk tilstand,2891.1833651662178,2.8911833651662175
149,LWTYPE9,DK1,God økologisk tilstand,5724.586637161115,5.7245866371611145
155,LWTYPE9,DK1,Ringe økologisk tilstand,2303.1077018102405,2.3031077018102404
156,LWTYPE11,DK1,Dårlig økologisk tilstand,1922.1110666719474,1.9221110666719474
157,LWTYPE9,DK1,Ringe økologisk tilstand,1821.4107546477028,1.8214107546477027
