t,v,coastal,income,age,households,all
1990,1,142.68177016768146,106.67585287120905,127.84810848781383,95.12583590504273,88.58179663680748
1990,2,39.84342972060693,36.23581480296323,45.0561493547794,35.392196836416005,25.170632098543535
1990,6,798.5463154544369,262.44656929193155,385.4048918461201,343.9567133109314,485.3000712612552
1990,16,3.614366481725252,1.6865124332031582,1.9738539732271594,1.8858788757292384,2.9505670544364078
1990,17,0.459702489283626,0.0,0.0,0.0,0.33753056946303783
1990,18,0.46003303926410666,0.0,0.0,0.0,0.21944411144298548
1990,24,19.68904307333423,15.214437769680588,10.560461223740274,13.264086420337462,8.045664124792077
1990,25,5.656554770139516,4.353705072704616,3.024385757908083,3.8985322272138974,2.3703232339999105
1990,28,15.096626759846922,12.007699121211449,8.589839321844082,10.407090299464729,5.773893493868593
1990,29,10.756155138844251,9.145347107990714,10.927803285349682,9.31473009669746,7.672939773815181
1990,34,13.502277491923389,3.3361855512991374,2.395076884854059,3.8771446693692275,6.875434116392578
1990,35,59.85064219705174,11.837317062505381,14.691189473668299,11.653351055135523,38.25242787514431
1990,36,1.2320207119495135,0.540055278506451,0.7166140010795613,0.4807021352374402,0.6228187768384145
1990,37,3.5976738136516273,1.7107131375430764,2.089786810301469,1.7526241799405629,2.4699252343790037
1990,38,12.673349301601517,7.949030903982814,9.46060830138609,8.386675670143923,9.439680936813488
1990,44,2.027662906383267,1.475230349802359,1.1367489036365646,1.884146139557139,0.9849425568283535
1990,45,16.894436715394782,12.366065630638557,8.785836113141638,12.031081964775435,7.353321663887835
1990,46,12.719247969410919,8.96959512912272,6.633058806652132,8.469976386926271,4.959736337052832
1990,47,6.338138811112617,5.350193575863826,4.100480801941273,5.429700604478964,2.472904644147246
1990,48,3.92998248084182,2.80200337424357,2.061226464996101,2.838776981174265,1.6615328588079559
1990,49,1.4653771179320558,1.1646346836897672,0.8338836827906037,1.1413729586819301,0.6325947214681452
1990,56,29.602406059239115,21.122370313179655,15.322123417064555,23.987254973710137,14.427202047934918
1990,57,0.05796041931598242,0.037596980604856695,0.0492644372673632,0.06419305462110962,0.0576375452835037
1990,59,1.6041146891283395,1.165712869237505,1.5322983879659382,1.5507449977729117,1.2350390977737367
1990,62,0.2878461351565679,0.14357991917541027,0.12605348682027018,0.19576499912591033,0.1149871309809993
1990,68,0.3712352723744492,0.0,0.0,0.0,0.1686609748587629
1990,72,1.3240648045780548,0.5289767869358492,0.3949406838126689,0.6672885909456083,0.6766523879018838
1990,74,4.401978889348192,4.032425397524844,5.091036433629178,4.155626792376591,2.8460231238855744
1990,80,2.8146915941297816,2.2128234695038125,2.844625628471765,2.329420742566216,1.792979344971621
1990,82,0.8270822462834674,0.5782836955755936,0.8650798678391489,0.8987078510398934,0.5743753211631762
1990,83,5.962664963650596,4.583509767647895,5.569606828453311,4.158670898847227,3.6639036560342513
1990,84,4.970866976300716,3.654974049985617,2.7041079687104195,3.0783754067429943,1.7272681896486377
1990,85,2.0022180544483588,1.693353873003907,1.9173119718303189,1.490058520805978,1.3742851566722922
1990,86,6.387407867959499,5.4223431040985695,6.316733781990801,5.09679196360528,4.424084391655595
1990,87,10.551198728877516,7.520895436273927,5.70027500293409,8.300119903988213,4.577558618410497
1990,89,0.6755120723192767,0.5061124029425527,0.661285389977207,0.5485080366477608,0.4288300738831498
1990,90,6.595809220491638,5.032603474574193,6.473931007118141,5.555598814946084,4.400029027415401
1990,92,2.5962429453434086,2.2107195350363846,2.5962429453434086,2.1695532071706616,1.8473901550683314
1990,93,58.23672858801176,16.409448641802015,20.167205703566626,16.590573574513115,38.98171163055604
1990,95,2.820004804078593,2.120612378916099,1.5192089643770428,2.745170883073675,1.6062580101981774
1990,96,9.44100846410596,6.601286782449482,4.909731795487077,7.131554451365456,4.163757843454403
1990,101,2.4599577394274768,1.791783114274724,2.3013438903041674,1.811044259879844,1.5072285410933812
1990,102,11.791027870111138,9.50051434523829,11.500651903924334,9.496732986156626,8.043185668663964
1990,103,3.575187169704129,2.778351421589437,3.294520887405799,3.0543708300454493,2.7952663265619466
1990,104,4.963559709907357,3.408663245290902,4.144414418224362,2.9001426777262176,2.8567376653764742
1990,105,10.859685318626964,7.679829262609474,9.392902700743914,7.569990795386079,7.155904072536468
1990,106,16.524229967911804,13.923502289128955,17.416499837218158,14.580396062838046,11.059036265207686
1990,107,2.1174799456915525,1.8244751120673717,2.3249787762812124,2.197232689672355,1.5703458658408158
1990,108,0.6680941298651898,0.4994373945561251,0.6479842427575153,0.5770145399793112,0.45853931609213205
1990,109,2.351290238899642,1.8553612134297697,2.5023102383002804,2.10118956572145,1.4639210110758594
1990,110,5.397909825906164,3.907252388735436,4.775321716900197,3.819114952056784,3.5322753431724694
1990,111,17.865912875706993,0.0,0.0,0.0,13.327377088000146
1990,113,5.776823796002607,5.422322625666345,3.5563206378730134,4.962388749977283,2.7754489890011955
1990,114,12.98891724766114,9.261936684004745,11.582878233058054,10.034874703776307,8.998160395580308
1990,119,1.399203683161584,0.0,0.0,0.0,0.8931456601440356
1990,120,19.833521969941202,0.0,0.0,0.0,13.442961491020297
1990,121,39.98770631054251,33.33851132527961,41.50299136077008,35.1036262855376,27.16851365378493
1990,122,20.049227110344813,14.335581446678326,18.58127484784836,12.496114040599887,10.40248056872392
1990,123,43.39817126980214,23.106261539896614,30.69359782503708,23.3752446246108,24.880647716737077
1990,124,36.894898972695565,23.07846890124633,29.667527789168837,23.097283436588587,22.344544536036096
1990,125,5.860740896029898,4.701951528762065,5.854442941357144,3.929667140247252,3.159477591102413
