,high,good,moderate,poor,bad,not good,known
1989,3.634489484947899,4.639618431128224,11.052346589869444,50.80721766701393,29.8663278270405,91.72589208392387,64.04085827606565
1990,3.554842078633589,5.312271526324415,12.893019163993133,52.223800750626516,26.016066480422356,91.132886395042,64.57963757743426
1991,1.0617384404376924,2.1989832389868758,18.230714046234507,54.123496957825004,24.385067316515926,96.73927832057542,64.67945502326958
1992,1.0322506283197623,4.853319535152413,11.21124119701547,40.51481505130959,42.388373588202754,94.11442983652782,66.5271222130884
1993,1.771798180886418,7.2016132961123835,18.26582140718219,44.2741574055926,28.486609710226436,91.02658852300121,67.17593841005213
1994,0.9839822709186441,3.516032944021913,11.0606439278404,24.982715021100603,59.45662583611844,95.49998478505945,69.79054982429047
1995,1.4033650664984192,5.795272573762011,15.358730209428337,42.73144253185575,34.71118961845549,92.80136235973957,67.25917664603531
1996,1.0160888222858857,9.535013339795261,16.085713358725563,54.360215488693925,19.002968990499376,89.44889783791886,67.58529589005207
1997,0.0,11.423553968367301,16.330862015265005,48.08619685152804,24.159387164839657,88.57644603163271,67.25917664603531
1998,0.0,7.405132689014294,18.750497336180096,66.8862745195361,6.95809545526951,92.59486731098572,60.56916244501301
1999,1.1161017554598012,8.90469429611837,9.19534503215678,34.313249234289664,46.470609681975404,89.97920394842184,61.529034757655225
2000,4.697065364022491,3.2159934757137507,16.068884232473906,56.00337132374195,20.014685604047926,92.08694116026378,60.6462773195052
2001,0.5705285706099275,12.086895758652155,11.170987473426017,45.66305289947895,30.50853529783297,87.34257567073793,62.65008231566429
2002,7.059196284318665,4.359184526497349,18.635096811274057,46.64674278040575,23.29977959750418,88.58161918918398,67.78421359387677
2003,3.9649016271652506,3.086370918021087,22.08209195133854,52.67315635238081,18.193479151094316,92.94872745481365,67.5564004365034
2004,10.070951328649661,2.977866908850598,14.317451906754432,41.33283331349338,31.30089654225194,86.95118176249974,61.606440807211754
2005,9.931331582100839,7.105256265114648,16.263283473939943,57.48121792100504,9.218910757839522,82.96341215278451,63.177070811479
2006,5.685171640013896,3.7897057614270953,20.35050371418212,58.442812922634694,11.731805961742186,90.525122598559,64.27395351337543
2007,6.698873013749271,3.2191595140180254,9.029673440765746,56.33022967823429,24.72206435323267,90.08196747223269,62.7879707256271
2008,3.0037730627962476,10.209988832283333,20.333568700092393,56.81750462204353,9.63516478278452,86.78623810492043,50.67641955017481
2009,8.900483550920184,15.560735998468092,22.28771245532407,52.83628822481721,0.4147797704704583,75.53878045061174,52.24963782452624
2010,10.845027953564854,7.555515857722272,12.293488693929039,67.14593564695663,2.1600318478272293,81.59945618871288,47.03611655177159
2011,3.1766155439560033,9.012748197616487,33.32194062418577,41.11132760566829,13.377368028573464,87.81063625842752,59.74902372730694
2012,20.948893724002613,18.8603748373801,18.06166205804169,39.16725103142493,2.961818349150695,60.19073143861731,61.675428081120295
2013,8.077482922494202,15.553376897037829,28.28788669894148,38.335689968652105,9.745563512874396,76.36914018046798,59.74902372730694
2014,13.17694731876144,18.24747764146176,15.535990906832085,42.33322998933212,10.7063541436126,68.5755750397768,59.88469245218392
2015,16.6298944817198,19.801259456936346,15.875431715582543,36.10817992392964,11.58523442183169,63.56884606134387,59.74902372730694
2016,8.917281924437408,4.765046111484758,19.915085183848355,53.88996215908791,12.512624621141558,86.31767196407783,67.97949315130329
2017,13.347128977720036,10.525448387287938,25.67347026259265,36.49073626619599,13.963216106203403,76.12742263499203,58.47704928819189
2018,9.254702690583608,6.713898768536562,14.902497432106859,51.35942520011977,17.769475908653206,84.03139854087985,59.764555186424815
2019,13.54967773525831,10.319664411782098,10.373316536721406,42.92532550679576,22.83201580944245,76.1306578529596,67.47604254334604
2020,13.53806553807252,6.5238366270861015,15.430564923072557,42.98890931320487,21.518623598563966,79.93809783484137,64.97554254324473
Basis,8.595956765617391,15.503952819008477,28.970697464688246,37.57333412770458,9.356058822981314,75.90009041537414,100.0
