g_del_cd,g_len,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
o10422_c,0.41257911179064,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,
t131,0.31406135513181,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rib_1.10.00836,1.7258664735724,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,3.0,
rib_1.10.00347,0.76015452999113,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
o4097,5.0427184309602,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,4.0
ode_1.13_298,0.047116460290104,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,3.0,
o5731,1.1165899726107,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
o3978,0.77183521808662,,2.0,,,,,,,2.0,,,2.0,,2.0,,,,,,,,,,,,,,
ode_1.13_679,0.44788185967796,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
nyk_2.6_3663,1.4043332672219,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,3.0,,,,
ode_1.12_4975,0.026108317559037,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o1923,0.78557094820025,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
t234,0.3273631365877,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
ode_1.14_301,0.27976051813845,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o7547,0.94196410011481,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,
aal1.2.0329,0.01383919529657,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rib_1.10.02384,0.20180002937258,,,,,,,,,,3.0,3.0,,,,,3.0,,,,4.0,,4.0,,,4.0,,,4.0
1.5.b-0420-040,0.15638797955747,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5255,0.53706887261586,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,
ros_2.4_05180,0.9546304540006,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5016_x,1.2636323432446,,,,,,,,,,,,,,,,,4.0,,,,,,,,4.0,,,
ode_1.13_657,0.35884419932709,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5944_b,0.065204457502697,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,3.0,
o8957,10.077232172246,,,,,,,,3.0,3.0,4.0,4.0,4.0,,4.0,,,,,,4.0,,,,,,4.0,,
1.5.c-0555-010,0.54017273216385,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0
o8784_b,25.427852409655,,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,4.0,4.0
1.5.c-0175-010,0.39371829899685,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
t312,0.42105765640001,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,4.0,
o5505,0.5596522778114,,,,,,,,,,,,,,,,4.0,,4.0,,,,,,,5.0,,,
o5033,0.69957497183246,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o7409,0.90800962242173,,,,,,,,,3.0,3.0,,,3.0,,,,,,,,,,,,,,3.0,
ode_1.12_3975,0.11839293107691,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o4865,0.93966978352866,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,4.0,
rib_1.10.00395,1.2209505965076,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,3.0,
o2385,0.60209500936485,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nyk_2.5_821,0.079200953596258,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7.c-0295-040,0.041627084437475,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rib_1.10.03380,0.94728065679386,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
ros_2.3_07750,0.36225312221937,,,,,,2.0,,,3.0,,,,,,,,2.0,,,,,,,,,,,
t122,0.41314573654237,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
t66_y,0.30827411006945,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aar_1.11.01632,1.4507271826184,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8713,11.96124590119,,,,,,,,,,,,,,,,,,,3.0,,4.0,,,,,,,
nyk_2.6_3565,0.49343282830772,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
o2354_y,1.0922954267303,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
ros_2.3_03900,0.100679671166,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ode_1.12_342,0.30719390656669,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
nyk_2.5_407,0.29679832878111,,4.0,4.0,,4.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,
ode_1.14_439,0.41013655354325,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10425_b,0.47824998356783,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t253,0.19699072910701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o4976,1.2326820985631,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8954,12.198163275789,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,3.0,
o5663,0.67775651946029,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,5.0,
nyk_2.5_1375a,0.44027736269315,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5874_y,1.0404128866021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rib_1.11.02920,0.16212922441838,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5059_a,0.97115415281287,,,,,,,4.0,,4.0,,4.0,,4.0,,3.0,,,,,,,,,,,,,
o8763_i,0.22090350552129,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
o6247,1.0776944331438,,,,,,,,3.0,2.0,3.0,4.0,3.0,,,,,,,,4.0,,,,,,,,
1.6.d-0270-010,0.69937626504822,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o3796,0.541107703938,,,,,,,,,,4.0,,,,,,,,,,,,,3.0,,,,,
o2007,1.3204412034357,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
o7929,1.1373797173792,,,,,,,,,,,,,,,,,,,3.0,,,,,,,4.0,,
o3709_x,1.2486338092929,,4.0,4.0,4.0,4.0,4.0,4.0,,3.0,3.0,3.0,,,4.0,,,,,4.0,,,,,,,,,
ros_3.1_03900,0.52273777485829,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rib_1.10.03699,2.2680239312078,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
o3448_x,1.6193615332841,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,
o9846,1.3983571235083,,,,,,2.0,,,3.0,,3.0,,3.0,,,,,,,,,3.0,,,,,,4.0
o6795,0.64325970744725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10427_?,0.40098882942286,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,
o9943,1.1262683798011,,,,,,,,,2.0,,,,2.0,,,,,,,,,,2.0,,,,,
ode_1.12_402,0.07897868685568,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8455,1.4021169547508,,,,,,,,3.0,,3.0,,3.0,,3.0,,,,,,,,,,,3.0,,,
rib_1.10.02525,0.16152461486464,,,,,,,,,,2.0,3.0,,2.0,,,,2.0,,,2.0,,,3.0,,,2.0,,
o7078,0.5648969061206,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
o5374_b,0.22291075580704,,,,,3.0,,,,3.0,,4.0,,,4.0,,,,,,,,,,,,,,
t354,0.48848196976067,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ode_1.15_576,0.17873751155737,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rib_1.10.01135,1.6685658116939,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
rib_1.11.02175,3.0198766931411,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8661-y,0.093857942309025,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8291_b,8.8742515584129,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
ode_1.12_47,0.33148078515442,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ode_1.12_227,0.53438319092584,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rib_1.8.01103,1.9383198466578,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,
rib_4.1.03023,1.3816276896781,,,,,,,,,,1.0,,2.0,,,,,2.0,2.0,,,3.0,,,2.0,,,,
o10515_d,0.46409390948606,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t457,0.48217159060786,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
o10515_b,0.29767202548647,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
o8903,8.1198279563363,,,,,,,,4.0,4.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,
o8751_c,8.1007239884599,3.0,3.0,3.0,3.0,,3.0,5.0,4.0,4.0,3.0,3.0,3.0,4.0,3.0,,,,,5.0,,,,,,5.0,,,
o4470,0.51617992503972,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,4.0,
rib_1.10.01126,0.7704623663039,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,
o7433,0.70729186845185,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
o8334,0.89083090602292,,,,,,,,,2.0,,3.0,,4.0,,,,,,,,,4.0,,,,,,4.0
1.5.c-0170-010,0.70985352935677,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8911,11.889960674892,,,,,,,,4.0,3.0,3.0,3.0,3.0,5.0,4.0,4.0,,,,5.0,,,4.0,,,4.0,,,
o6238,1.9556249246571,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,,5.0,5.0
rin_1.4_00046,1.6849666977439,,,,,,,,,,4.0,,,,,,,,,,,,,,4.0,,,,
o1540_a,21.350143847613,,,,,,,,,4.0,,3.0,,,,,,,,,,,,,,,,,4.0
t307,0.023667058954488,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
o1145,2.0592387618549,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6.b-0025-010,0.47974502394847,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10161,0.90253376790818,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,
a10003,1.0206969251729,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,4.0,,
o6835_x,4.0321036775568,,3.0,3.0,3.0,,,,,,,,,,4.0,,,,,,,,,,4.0,,,,
o1528,0.93009855289824,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,4.0,
o8208_x,9.2753747155751,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,5.0,5.0,4.0,4.0,4.0,4.0,,5.0,,,4.0,,,5.0,,,,,5.0,
1.5.g-0310-030,0.33173484999617,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rin_1.2_00456,0.89246466453133,3.0,3.0,3.0,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,,,,,4.0,,,
ode_1.12_316,0.62210637198509,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rib_1.11.02222,0.44316668933723,,,,,,,,,,3.0,,,,,,,,,,,,,,,,4.0,,
ode_1.12_797,0.73781486727626,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
t282,0.015639640565593,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ros_3.1_01380,0.11733841806102,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ode_1.12_344,0.20899146159191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rib_1.10.01207,1.8093537172977,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o2609,0.94184782263784,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5944_c,1.0099234839274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t463,0.060203441661629,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o9830_c,0.74608812107604,,,,,,3.0,3.0,,2.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,,,,,
o2622_x,1.2482280240725,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
o10427_u,0.66309382215429,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,5.0,
o8308_c,12.986341416814,,3.0,3.0,3.0,3.0,2.0,3.0,4.0,4.0,3.0,3.0,3.0,3.0,4.0,,,,,,,,3.0,,,,5.0,4.0,5.0
o6440,0.7586101430528,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t174,0.46920272112607,,,,,,,,,,,,,,,,,3.0,,,,,,,,3.0,,,
1.7.c-0090-020,1.2487671620196,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t373,0.20565285770647,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ros_3.1_04220,0.19294673664733,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ros_2.2_09580,0.08469406812825,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ode_1.12_897,0.62076695345607,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ros_2.4_01500,0.32150264192825,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8819_a,5.9222175142731,2.0,,2.0,,,3.0,,3.0,,,,,,,,4.0,,3.0,,,,,,,,,4.0,
nyk_2.6_3672,0.69888339237571,,,,,3.0,2.0,,,,,2.0,,,,,,,,,,,,,,,3.0,,
o8198,1.5327671914277,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,3.0
1.6.d-0365-020,0.36228143597781,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5.f-0665-010,0.40994623720272,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ode_1.13_257,0.22279904225616,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
ode_1.12_48,0.50857729772438,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o3469,0.5635714060191,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,,,3.0,
o10422_e,0.52878504177996,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,
o8750,8.9916131887343,3.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,,,,,,,5.0,,,4.0,
o6157,0.50153135068949,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o6384_e,0.44521621928145,,,,,,,,,,,4.0,,,,,,,,,,,,4.0,,,,,
o2436,0.77909005951733,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
o5183_a,1.298149070182,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5.e-1260-030,0.32785153355295,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rib_1.8.03414,0.9871713952217,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o9365,0.94562089227537,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rib_1.10.03507,3.4352915699837,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,3.0,
t458,0.33100080095693,,,,,,2.0,,,,3.0,,,,3.0,,,,,,,,,,,,3.0,,
o10355_x,7.9708712254542,5.0,4.0,4.0,5.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,
o5572_y,0.60425455640517,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
ros_3.1_05560,0.38293173459931,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ros_3.1_03700,0.29814115248038,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ros_2.2_07340,0.25816166633183,,,,,,,,,,,,,,4.0,,,,3.0,,,,,,,,,,
o1433_b,0.79224337005601,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,4.0
o7108_c,0.19610112263403,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o4646,0.79557379190826,,,3.0,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,
ros_3.1_03340,0.0389177951623,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5095,0.57335859020501,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
rib_1.10.01525,2.356796860479,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
o8386_l,0.4960046415314,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
1.5.b-0330-020,0.58295669154537,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,4.0
o4888,0.83871182565725,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
o3194,2.4448096863644,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,3.0
o2329,0.55958838244899,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8309,0.92369594046042,,,,,,,,4.0,2.0,4.0,,4.0,,,,,,,,,,,3.0,,,,,
nyk_2.6_3955,0.20295880310008,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5.f-0145-020,0.23703267141388,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
o7992,0.78181315551796,,,,,,,,,,,,,,,,,,,2.0,,,,,,,3.0,,
t449,0.07818909804527,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,
t432,0.33111776197404,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
o9230,0.57709696979445,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
t227,0.094158439132234,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10537_e_b,0.4793530085399,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
nyk_2.5_472,0.31223293062432,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8787a,10.089559221317,3.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,2.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,,5.0,
t163,0.46351588689242,4.0,,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,4.0,,,,,,,,,
1.9.b-0685-020,0.15690960158296,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,
o4794,0.39773307669026,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10486,6.6508218275873,4.0,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,
o713,0.94302658498191,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5337,0.7134395179974,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
o6572,0.76412247130612,,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,
nyk_2.6_3406,0.61801221559701,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
o5502,1.129859865645,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
rin_1.2_00241,1.1845382002742,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0
ros_2.3_00280,0.46101377939845,,,,,2.0,,,,2.0,,3.0,,,3.0,,,,,,,,,,,,,,
nyk_2.5_92,0.75125910732861,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
o7068,0.75712721126006,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
1.9.b-0210-020,0.40683161296958,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o2444,0.5225485703024,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rib_4.1.03024,0.095200359684565,,,,,,,,,,1.0,,2.0,,,,,2.0,2.0,,,3.0,,,3.0,,,,
o5371,16.998286717475,,,,,,,,4.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,
rib_1.10.02396,0.19887708727932,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
o4667,0.66586473059495,,,,,,,,,,,,,,,,2.0,,3.0,,,,,,,,2.0,,
o3071,0.62136001397653,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
o4021,0.61800028066259,,4.0,,,,,,,4.0,,,4.0,,,,,,,,,,,4.0,,,,,
ode_1.15_144,0.67406223086556,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
o10116,1.1461652039412,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,5.0,
o3379,0.5148746418991,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,
ros_2.4_11880,0.15209341853785,,1.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,2.0,1.0,1.0,,,,,2.0,,2.0,,,,,,,3.0,,
1.5.b-0410-010,0.58039848268927,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rib_1.10.02422,0.71200959998856,,,,,,,,,,,3.0,,2.0,,,,,,,,,,,,,3.0,,
t166_y,0.74187055445697,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ros_3.1_04860,0.57825141585328,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5297,0.74411719319173,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,
o8131,0.6241432551381,,,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,
t259,0.047973623594106,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8093,0.99539621773936,3.0,3.0,2.0,3.0,2.0,2.0,2.0,3.0,3.0,4.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,
o5751,0.86295747736754,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0
o2583,0.6501552546033,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o6087,0.82554071968993,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
o4579,0.56609601537221,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
1.5.d-0395-010,1.3654420353296,,,,,,,1.0,,,,2.0,,,,2.0,,,,,,,,,,,4.0,,
nyk_2.6_3880,0.078152163413137,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o1824,0.64360752177609,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5455_a,6.3230820193584,,,,,,,,,,,,,4.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,4.0,4.0,5.0
t317,0.1406134452541,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ode_1.12_965,0.15178971177097,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o6357-x,0.54221950381831,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o7875,0.65816639012193,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,
t85,0.42662217266403,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
t70,0.14042867957411,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t226,0.26298217007856,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o7009,0.62334537263601,,,,,,,3.0,,,,3.0,,,,3.0,,,,,,,,,,,4.0,,
o3861,0.52737655883705,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,2.0
o6197,0.75937784436218,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ros_2.4_12440,0.68488632443898,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o5110,1.0960852119934,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
o6384_c,1.0535719449738,,,,,4.0,,,,,,4.0,,,,,,,,,,,,4.0,,,,,
t112,0.16717600689113,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
o5366,12.880200667995,,,,,,,,3.0,4.0,3.0,4.0,4.0,,,,3.0,3.0,3.0,,,3.0,,,2.0,,,,4.0
o3809_y,1.2814341683839,,3.0,,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,,4.0,,,,,,,,,,,,4.0,,
rib_1.10.02524,0.87838967978585,,,,,,,,,,2.0,2.0,,3.0,,,,3.0,,,2.0,,,3.0,,,2.0,,
o3760,0.71624363068169,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
u101,1.3546939698125,,,,,3.0,,3.0,,3.0,3.0,3.0,2.0,3.0,2.0,2.0,,,,3.0,,,,,,,3.0,,
o3473,1.7032793563644,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,3.0,
nyk_2.6_3490,0.79105917999002,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,
1.5.c-0185-010,0.11549745417649,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.5.c-0625-005,0.40143580767576,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o7191,1.0572178940654,,3.0,,,,,,,3.0,,,,3.0,,,,,,,,,,3.0,,,,,4.0
1.5.f-0145-010,0.39992200153254,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o3527,1.7507113524232,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,3.0
ode_1.13_935,0.13381897327831,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.7.b-0580-010,0.097085149796516,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,
o8223_a,7.8766893987701,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10515_c,0.23082211615344,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10427_c,0.46411655861988,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,4.0,
o8847_d,8.5632113967196,4.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,5.0,,,,,,4.0,
o10129,0.75301567370134,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,4.0,
nyk_2.6_3972,0.24138196265005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o3640,1.8023819285185,,,,,,,,,,,3.0,,,,,,,,,,4.0,,,,,,3.0,
ode_1.13_427,0.53271107518667,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t185,0.23395694131688,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,
o3005,0.70675742898762,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
t454,0.35608829511364,,,,,,3.0,,,,2.0,,,,2.0,,,,,,,,,,,,3.0,,
rib_1.10.02609,0.80306212144092,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o10572,2.8478114739806,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
o7453,0.60713675868478,,,,,,2.0,,,,,,,,,,3.0,,,,,,,,,,,,
t336,0.22383961586933,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o8922,13.315437526752,,,,,,,,3.0,3.0,4.0,4.0,3.0,4.0,3.0,4.0,,,,2.0,,,,,,,,,
ode_1.12_123,0.13939193783185,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rin_1.2_00329,0.72929967791513,,3.0,,,,,,,2.0,,,,3.0,,,,,,,4.0,,,,,,,4.0,
o4619_b,0.61420268797424,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,
o8057,7.7167178522753,,,,,,,,,,,,,,,,2.0,,,,,,,,,,3.0,,
o9861,1.5169764511061,,,,,,,,,,,,,,,,,,,,,,,,,,,,
o7827,2.0562001511432,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
o4281,0.70653028538245,,3.0,,,3.0,,,,3.0,4.0,3.0,3.0,3.0,,,,,,,,,2.0,,,,,,3.0
aal1.2.2528,0.10363703922162,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.6.c-0420-010,0.8117725477987,,,,,,,,,,,,,,,,,,,,,,,,,,,,
t171,0.24365254620679,,,,,3.0,,,,3.0,,,3.0,,,3.0,,,,,,3.0,,,,,,2.0,
ros_3.1_01340,0.45542348762257,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rin_1.8_10002,0.41470054603627,,,,,,,,,,,,,,,,,,2.0,,,,,,,,3.0,,
