,high,good,moderate,poor,bad,not good
1989,0.0,3.983374594984293,17.251873058383627,54.50331467016147,24.261437676470607,96.01662540501572
1990,0.6867266370476611,2.0096492503683003,20.500059759956457,53.801472543261525,23.00209180936605,97.30362411258405
1991,0.6867266370476611,9.237936324186537,18.654647476788853,52.667705923777234,18.752983638199726,90.0753370387658
1992,0.6867266370476611,2.4538587236360803,19.570225150327435,53.74808136546138,23.541108123527447,96.85941463931626
1993,0.6867266370476611,2.971608666525278,21.577315246891366,49.31766462514108,25.446684824394627,96.34166469642706
1994,0.6867266370476611,3.22877381854254,24.92424718835725,47.16657304662781,23.993679309424753,96.08449954440981
1995,0.6867266370476611,3.22877381854254,23.540636907060602,50.04798697129204,22.495875666057163,96.08449954440981
1996,0.6867266370476611,6.52542177647917,20.24398894912397,55.089613443726286,17.454249193622918,92.78785158647317
1997,0.6867266370476611,8.166253399545502,22.566975189670977,53.686765343139555,14.893279430596303,91.14701996340685
1998,0.6867266370476611,8.523690018667006,23.77303699499315,59.473873543846224,7.542672805445965,90.78958334428533
1999,0.0,11.080307767880212,21.557500432560985,48.05704690029537,19.305144899263443,88.91969223211979
2000,1.0441632561691636,10.480353984978828,22.38077741216157,50.21433649166105,15.880368855029383,88.47548275885201
2001,1.0441632561691636,8.516898128104035,23.840737851341338,48.6217265904311,17.976474173954365,90.43893861572681
2002,0.35743661912150243,9.84184359813759,23.60175410098132,48.83178525746071,17.367180424298876,89.80071978274091
2003,3.6540845770581343,8.868069161781237,19.45269362095294,50.912221095304695,17.11293154490299,87.47784626116062
2004,3.9116069315716273,5.022737491549192,22.004797824854265,55.864785946842616,13.1960718051823,91.06565557687918
2005,3.6540845770581343,5.297205746339478,21.66652763074295,55.46477054570838,13.917411500151054,91.0487096766024
2006,3.6540845770581343,2.6430154866576476,25.12727240797047,56.39518795204178,12.180439576271976,93.70289993628423
2007,3.6540845770581343,4.969278458662012,25.920328762035794,57.64037673255559,7.815931469688472,91.37663696427985
2008,3.296647957936632,5.583880229800775,25.820541110480647,57.90103889435853,7.3978918074234254,91.11947181226259
2009,0.0,10.07715033753596,27.495409467209313,53.70340301058291,8.72403718467182,89.92284966246403
2010,2.684994879235495,11.612741446412594,36.33756952957356,45.873644139985046,3.491050004793311,85.7022636743519
2011,5.881371370067885,11.97011201465672,32.583019726997605,47.31163855034938,2.253858337928418,82.1485166152754
2012,5.881371370067885,12.804358509378199,33.03401959906988,43.50533474663864,4.774915774845401,81.31427012055393
2013,5.881371370067885,15.335163254530132,37.20483139230872,36.581878978773744,4.996755004319513,78.78346537540197
2014,4.621593427970187,16.713031425878857,35.884478608908736,37.78414153292271,4.996755004319513,78.66537514615094
2015,4.621593427970187,14.869150066651411,26.44735232436784,44.9386738114876,9.12323036952297,80.5092565053784
2016,4.844305259805721,13.087638935067604,24.35840523463635,47.40407530416126,10.305575266329072,82.06805580512668
2017,4.844305259805721,10.765664888472042,27.91454312430997,46.1699114610832,10.305575266329072,84.39002985172223
2018,4.844305259805721,13.159699718151783,21.438445894558022,49.43282185655557,11.124727270928917,81.9959950220425
2019,4.463251578837087,14.02425014359929,24.644573269962745,45.96470523354986,10.90321977405102,81.51249827756362
2020,4.206086426819826,12.795903302503268,20.40149638885266,51.682643284217114,10.913870597607133,82.99801027067691
Basis,8.595956765617391,15.503952819008477,28.970697464688246,37.57333412770458,9.356058822981314,75.90009041537414
