wb,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,
93,,,,,,4.0,4.0,,,,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,,5.0,,4.0,,,4.0,4.0,,,4.0,,,4.0,3.0,,,,
96,,,,,,,4.0,4.0,3.0,3.0,2.0,,,,,,,,,,,,4.0,,,,,,4.0,,,,,,,,
99,,,,,,6.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,4.0,4.0,6.0,7.0,7.0,6.0,,,6.0,,7.0,,,,7.0,,7.0,,,,7.0,,7.0,
100,,,,,,3.0,3.0,4.0,4.0,4.0,4.0,,4.0,,,4.0,,4.0,,,4.0,4.0,4.0,,4.0,,4.0,4.0,4.0,,4.0,,4.0,4.0,,,
102,4.0,5.0,4.0,5.0,,,6.0,4.0,,,5.0,5.0,5.0,5.0,6.0,5.0,6.0,7.0,6.0,5.0,,,5.0,,,6.0,,,,,,6.0,,,7.0,,
103,,,,,,,,,,,,,,,,,,,,,,4.0,,,4.0,,,,,,,4.0,,,,5.0,
105,,,,,,5.0,5.0,5.0,,5.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,7.0,5.0,6.0,5.0,5.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,5.0,6.0,6.0,,5.0,,7.0,5.0
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,
110,,,,,,,,,,,6.0,7.0,5.0,7.0,5.0,5.0,7.0,7.0,7.0,,,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
113,,,,,,,,,,,,5.0,,,,4.0,,,,5.0,,,,,,,,,,,5.0,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,
117,,,,,,,,,5.0,5.0,5.0,4.0,5.0,3.0,4.0,4.0,5.0,4.0,,5.0,6.0,,,,,,,,,7.0,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,1.0,,,,
120,,,,,,,,,,,,,,,,4.0,,,,,,,4.0,,,,,,,,,4.0,,,,,
121,,,,,,,3.0,,,,,,,,,,,,,,,5.0,4.0,7.0,,,,,,,7.0,,,,,,
122,,,,,,,,,,,,,,,,,,,,,5.0,,,,5.0,,,,,5.0,,5.0,,,,,
123,,,,,,,,,,,,,3.0,3.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,3.0,,4.0,4.0,3.0,,3.0,
126,,,,,,,,,,,,,3.0,4.0,5.0,4.0,4.0,,4.0,,,,,,4.0,,,,,,4.0,,,,,,4.0
128,,,,,,,,,,3.0,,,,4.0,,,4.0,,,4.0,,4.0,,,,,4.0,4.0,,,,,,4.0,,,
133,,,,,,,,,,,,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,,5.0,,5.0,,5.0,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,7.0,5.0,7.0,5.0,5.0,5.0,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,5.0,4.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,6.0,6.0,6.0,6.0,5.0,6.0,6.0,6.0,5.0,6.0,6.0,5.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,,,
139,,,,,,3.0,4.0,5.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,,6.0,,,,7.0,,
140,,,,,,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,6.0,6.0,,,,,,,,5.0,,,,,,
141,4.0,7.0,4.0,3.0,3.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,5.0,,,5.0,,5.0,5.0,,,5.0,5.0,4.0,,5.0,,4.0
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,4.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,,5.0,,,,,,5.0,,,5.0,,5.0,7.0,,,6.0
150,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,6.0,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,5.0,,,,,4.0,4.0,,,,,,5.0,,,,
159,,,,,,2.0,2.0,3.0,3.0,3.0,4.0,4.0,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,5.0,4.0,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,5.0,,,,5.0,,,,,,7.0,7.0,7.0,7.0,7.0,7.0,6.0,,,,,,,7.0,,,,,,,
165,,,,,,,,,,,,,5.0,5.0,5.0,5.0,5.0,5.0,6.0,5.0,,5.0,6.0,5.0,5.0,5.0,5.0,5.0,7.0,6.0,6.0,5.0,,,,,
167,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,5.0,5.0,6.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,
172,,,,,,,7.0,,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,7.0,,,
173,,,,,,3.0,3.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,,,4.0,,4.0,,,4.0,4.0,,5.0,,,5.0,,4.0,,,
175,,,,,,,,,,,5.0,4.0,3.0,6.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,,,
177,,,,,,,,,,,,4.0,,,,,4.0,,,,,,,,,7.0,,,,,,6.0,,,,,
