,n,Obs,No dummies,Small,"Small, DK1"
1988,5.0,0.8,0.6666666666666666,0.6666666666666666,0.8333333333333334
1989,5.0,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666
1990,5.0,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666
1991,5.0,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666
1992,5.0,0.6,0.6666666666666666,0.6666666666666666,0.6666666666666666
1993,6.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
Total,31.0,0.6451612903225806,0.6666666666666666,0.6666666666666666,0.6935483870967741
