wb,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
93,,,,,,2.0,2.0,,,,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,3.0,,2.0,,,2.0,2.0,,,2.0,,,2.0,1.0,,,,
96,,,,,,,2.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,
99,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,4.0,4.0,3.0,,,3.0,,4.0,,,,4.0,,4.0,,,,4.0,,4.0,
100,,,,,,1.0,1.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,,2.0,,,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,,2.0,,2.0,2.0,,,
102,2.0,3.0,2.0,3.0,,,3.0,2.0,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,,,3.0,,,3.0,,,,,,3.0,,,4.0,,
103,,,,,,,,,,,,,,,,,,,,,,2.0,,,2.0,,,,,,,2.0,,,,3.0,
105,,,,,,3.0,3.0,3.0,,3.0,2.0,3.0,3.0,2.0,3.0,2.0,2.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,,4.0,3.0
107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
109,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,
110,,,,,,,,,,,3.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,4.0,,,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
113,,,,,,,,,,,,3.0,,,,2.0,,,,3.0,,,,,,,,,,,3.0,,,,,,
115,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,
117,,,,,,,,,3.0,3.0,3.0,2.0,3.0,1.0,2.0,2.0,3.0,2.0,,3.0,3.0,,,,,,,,,4.0,,,,,,,
118,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,0.0,,,,
120,,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,,,,,,,,2.0,,,,,
121,,,,,,,1.0,,,,,,,,,,,,,,,3.0,2.0,4.0,,,,,,,4.0,,,,,,
122,,,,,,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,3.0,,3.0,,,,,
123,,,,,,,,,,,,,1.0,1.0,1.0,2.0,1.0,1.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,1.0,2.0,1.0,,2.0,2.0,1.0,,1.0,
126,,,,,,,,,,,,,1.0,2.0,3.0,2.0,2.0,,2.0,,,,,,2.0,,,,,,2.0,,,,,,2.0
128,,,,,,,,,,1.0,,,,2.0,,,2.0,,,2.0,,2.0,,,,,2.0,2.0,,,,,,2.0,,,
133,,,,,,,,,,,,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,,3.0,,3.0,
135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
136,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,
137,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
138,,,,,,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,
139,,,,,,1.0,2.0,3.0,2.0,1.0,2.0,3.0,2.0,3.0,2.0,2.0,3.0,2.0,2.0,2.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,,,,4.0,,
140,,,,,,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,3.0,,,,,,
141,2.0,4.0,2.0,1.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,,,3.0,,3.0,3.0,,,3.0,3.0,2.0,,3.0,,2.0
145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149,,,,,,,,,,,,,2.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,,3.0,,,,,,3.0,,,3.0,,3.0,4.0,,,3.0
150,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,3.0,,,,,
151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,
152,,,,,,,,,,,,,,,,,,,,,3.0,,,,,2.0,2.0,,,,,,3.0,,,,
159,,,,,,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,2.0,2.0,3.0,2.0,
161,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,,,,,,,3.0,,,,3.0,,,,,,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,,,,,,4.0,,,,,,,
165,,,,,,,,,,,,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,3.0,,,,,
167,,,,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
168,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
172,,,,,,,4.0,,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,,,
173,,,,,,1.0,1.0,2.0,2.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.0,1.0,,,2.0,,2.0,,,2.0,2.0,,3.0,,,3.0,,2.0,,,
175,,,,,,,,,,,3.0,2.0,1.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,2.0,1.0,2.0,2.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,,,
177,,,,,,,,,,,,2.0,,,,,2.0,,,,,,,,,4.0,,,,,,3.0,,,,,
179,,,,,,3.0,,3.0,,,,,2.0,3.0,3.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,,,,,,,4.0,,,4.0,,,,
182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,,,,,,,,,,,3.0,3.0,4.0,3.0,1.0,2.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,4.0,3.0,3.0,2.0,,,
186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
188,,,,,,,,,,,,,2.0,3.0,3.0,3.0,2.0,,,3.0,,,,3.0,,3.0,3.0,,,,,,,,,3.0,
192,,,,,,,,,,,,,2.0,2.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,2.0,2.0,3.0,,3.0,3.0,,3.0,,,,
195,,,,,,,2.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,,,,,,,,,3.0,,,,,2.0,,,,2.0,
197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
198,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,,,,,,,,,,,2.0,2.0,2.0,2.0,3.0,2.0,2.0,2.0,,2.0,,,,,,,,,2.0,,,,2.0,,,,
200,,,,,,2.0,2.0,1.0,1.0,0.0,2.0,2.0,2.0,1.0,2.0,1.0,2.0,,,,,,2.0,,,,,,,3.0,,,3.0,,,,
201,,,,,,,,,,,,,3.0,4.0,3.0,3.0,3.0,4.0,,3.0,,,,,3.0,,,,,,4.0,,,,,,4.0
202,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,3.0,,,,,,,
203,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,
207,,,,,,3.0,3.0,2.0,3.0,3.0,2.0,3.0,3.0,3.0,2.0,3.0,4.0,3.0,4.0,3.0,3.0,3.0,4.0,3.0,4.0,3.0,4.0,4.0,4.0,3.0,,3.0,,4.0,,4.0,
208,,,,,,,,,,,,,2.0,2.0,2.0,3.0,2.0,2.0,,,,3.0,,2.0,,,,3.0,,3.0,,,,3.0,,3.0,
210,,,,,,2.0,3.0,3.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,3.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,,4.0,,3.0,,4.0,
