,n,No dummies,alkalinity,brown,saline,deep,DK2
1989,106.0,0.49056603773584906,0.5566037735849056,0.5283018867924528,0.5471698113207547,0.5283018867924528,0.5
1990,113.0,0.3185840707964602,0.35398230088495575,0.3185840707964602,0.4247787610619469,0.2743362831858407,0.34513274336283184
1991,103.0,0.30097087378640774,0.30097087378640774,0.2912621359223301,0.2912621359223301,0.27184466019417475,0.33980582524271846
1992,95.0,0.37894736842105264,0.3894736842105263,0.3894736842105263,0.42105263157894735,0.42105263157894735,0.3894736842105263
1993,105.0,0.4380952380952381,0.41904761904761906,0.45714285714285713,0.45714285714285713,0.42857142857142855,0.42857142857142855
1994,113.0,0.24778761061946902,0.3274336283185841,0.22123893805309736,0.26548672566371684,0.25663716814159293,0.24778761061946902
1995,113.0,0.3185840707964602,0.3185840707964602,0.3274336283185841,0.2743362831858407,0.3274336283185841,0.3274336283185841
1996,100.0,0.45,0.44,0.42,0.39,0.44,0.31
1997,123.0,0.3333333333333333,0.3170731707317073,0.3008130081300813,0.3902439024390244,0.2845528455284553,0.34146341463414637
1998,126.0,0.38095238095238093,0.40476190476190477,0.3968253968253968,0.3492063492063492,0.3888888888888889,0.38095238095238093
1999,137.0,0.3795620437956204,0.3795620437956204,0.39416058394160586,0.38686131386861317,0.4306569343065693,0.40145985401459855
2000,127.0,0.3700787401574803,0.36220472440944884,0.3858267716535433,0.3543307086614173,0.3543307086614173,0.3779527559055118
2001,129.0,0.37209302325581395,0.35658914728682173,0.3333333333333333,0.3643410852713178,0.3643410852713178,0.3643410852713178
2002,127.0,0.31496062992125984,0.3228346456692913,0.31496062992125984,0.30708661417322836,0.31496062992125984,0.31496062992125984
2003,120.0,0.36666666666666664,0.375,0.35,0.375,0.36666666666666664,0.4083333333333333
2004,134.0,0.2835820895522388,0.291044776119403,0.2835820895522388,0.291044776119403,0.2835820895522388,0.291044776119403
2005,142.0,0.31690140845070425,0.30985915492957744,0.3380281690140845,0.323943661971831,0.3380281690140845,0.3380281690140845
2006,126.0,0.2698412698412698,0.2777777777777778,0.2857142857142857,0.24603174603174602,0.2619047619047619,0.2698412698412698
2007,129.0,0.24806201550387597,0.24806201550387597,0.24031007751937986,0.27906976744186046,0.2558139534883721,0.26356589147286824
2008,127.0,0.2755905511811024,0.31496062992125984,0.29133858267716534,0.2677165354330709,0.2440944881889764,0.25196850393700787
2009,133.0,0.2631578947368421,0.2857142857142857,0.2556390977443609,0.2781954887218045,0.2706766917293233,0.2706766917293233
2010,102.0,0.4411764705882353,0.3627450980392157,0.4215686274509804,0.4411764705882353,0.39215686274509803,0.45098039215686275
2011,134.0,0.47761194029850745,0.44776119402985076,0.4626865671641791,0.48507462686567165,0.4626865671641791,0.4701492537313433
2012,133.0,0.24812030075187969,0.24812030075187969,0.2781954887218045,0.46616541353383456,0.19548872180451127,0.2631578947368421
2013,139.0,0.4892086330935252,0.5035971223021583,0.5107913669064749,0.539568345323741,0.5467625899280576,0.5107913669064749
2014,141.0,0.5177304964539007,0.524822695035461,0.5035460992907801,0.5319148936170213,0.48936170212765956,0.5177304964539007
2015,128.0,0.3203125,0.328125,0.3203125,0.328125,0.3203125,0.3203125
2016,159.0,0.710691823899371,0.7232704402515723,0.7484276729559748,0.7232704402515723,0.7232704402515723,0.710691823899371
2017,166.0,0.7349397590361446,0.7228915662650602,0.7409638554216867,0.7289156626506024,0.7289156626506024,0.7289156626506024
2018,161.0,0.7080745341614907,0.7142857142857143,0.7204968944099379,0.7204968944099379,0.7267080745341615,0.7080745341614907
2019,152.0,0.23684210526315788,0.26973684210526316,0.27631578947368424,0.23026315789473684,0.27631578947368424,0.2894736842105263
2020,152.0,0.3618421052631579,0.34868421052631576,0.3618421052631579,0.3684210526315789,0.34868421052631576,0.35526315789473684
Total,4095.0,0.3938949938949939,0.39951159951159954,0.398046398046398,0.409035409035409,0.39316239316239315,0.39853479853479856
Change,,0.0,0.005616605616605652,0.004151404151404137,0.015140415140415142,-0.00073260073260073,0.004639804639804679
