,n,No dummies,No,K,B,Ø,Fj,Vf,Vu,F,D,L,Se,Sa,T,"Vu, No","Vu, K","Vu, B","Vu, Ø","Vu, Fj","Vu, Vf","Vu, F","Vu, D","Vu, L","Vu, Se","Vu, Sa","Vu, T","Vu, B, No","Vu, B, K","Vu, B, Ø","Vu, B, Fj","Vu, B, Vf","Vu, B, F","Vu, B, D","Vu, B, L","Vu, B, Se","Vu, B, Sa","Vu, B, T","Vu, B, K, No","Vu, B, K, Ø","Vu, B, K, Fj","Vu, B, K, Vf","Vu, B, K, F","Vu, B, K, D","Vu, B, K, L","Vu, B, K, Se","Vu, B, K, Sa","Vu, B, K, T","Vu, B, K, No, Ø","Vu, B, K, No, Fj","Vu, B, K, No, Vf","Vu, B, K, No, F","Vu, B, K, No, D","Vu, B, K, No, L","Vu, B, K, No, Se","Vu, B, K, No, Sa","Vu, B, K, No, T","Vu, B, K, No, Se, Ø","Vu, B, K, No, Se, Fj","Vu, B, K, No, Se, Vf","Vu, B, K, No, Se, F","Vu, B, K, No, Se, D","Vu, B, K, No, Se, L","Vu, B, K, No, Se, Sa","Vu, B, K, No, Se, T","Vu, B, K, No, Se, Vf, Ø","Vu, B, K, No, Se, Vf, Fj","Vu, B, K, No, Se, Vf, F","Vu, B, K, No, Se, Vf, D","Vu, B, K, No, Se, Vf, L","Vu, B, K, No, Se, Vf, Sa","Vu, B, K, No, Se, Vf, T","Vu, B, K, No, Se, Vf, Ø, Fj","Vu, B, K, No, Se, Vf, Ø, F","Vu, B, K, No, Se, Vf, Ø, D","Vu, B, K, No, Se, Vf, Ø, L","Vu, B, K, No, Se, Vf, Ø, Sa","Vu, B, K, No, Se, Vf, Ø, T","Vu, B, K, No, Se, Vf, Ø, Fj, F","Vu, B, K, No, Se, Vf, Ø, Fj, D","Vu, B, K, No, Se, Vf, Ø, Fj, L","Vu, B, K, No, Se, Vf, Ø, Fj, Sa","Vu, B, K, No, Se, Vf, Ø, Fj, T"
1989,59.0,0.5932203389830508,0.6610169491525424,0.5932203389830508,0.6440677966101694,0.559322033898305,0.6779661016949152,0.6101694915254238,0.6949152542372882,0.6440677966101694,0.576271186440678,0.5932203389830508,0.6271186440677966,0.559322033898305,0.6610169491525424,0.6779661016949152,0.6779661016949152,0.6779661016949152,0.6949152542372882,0.6949152542372882,0.711864406779661,0.6779661016949152,0.6779661016949152,0.6610169491525424,0.6779661016949152,0.6949152542372882,0.6779661016949152,0.6949152542372882,0.6779661016949152,0.6779661016949152,0.6610169491525424,0.711864406779661,0.6610169491525424,0.6610169491525424,0.5932203389830508,0.6610169491525424,0.6610169491525424,0.6949152542372882,0.6779661016949152,0.6610169491525424,0.6610169491525424,0.711864406779661,0.6610169491525424,0.6779661016949152,0.559322033898305,0.6779661016949152,0.6440677966101694,0.6779661016949152,0.711864406779661,0.711864406779661,0.711864406779661,0.711864406779661,0.6779661016949152,0.6271186440677966,0.6949152542372882,0.6949152542372882,0.6779661016949152,0.6779661016949152,0.6779661016949152,0.711864406779661,0.6779661016949152,0.6949152542372882,0.6271186440677966,0.6779661016949152,0.6949152542372882,0.6949152542372882,0.711864406779661,0.6949152542372882,0.711864406779661,0.6440677966101694,0.6610169491525424,0.7288135593220338,0.6949152542372882,0.711864406779661,0.6779661016949152,0.6440677966101694,0.711864406779661,0.711864406779661,0.6779661016949152,0.6949152542372882,0.6271186440677966,0.7288135593220338,0.6779661016949152
1990,58.0,0.5172413793103449,0.46551724137931033,0.5,0.5344827586206896,0.5172413793103449,0.4827586206896552,0.5,0.5,0.43103448275862066,0.5517241379310345,0.4827586206896552,0.43103448275862066,0.4827586206896552,0.46551724137931033,0.5517241379310345,0.5172413793103449,0.5344827586206896,0.5517241379310345,0.5517241379310345,0.5,0.4827586206896552,0.5862068965517241,0.5344827586206896,0.5,0.5172413793103449,0.5517241379310345,0.5344827586206896,0.5689655172413793,0.5517241379310345,0.5344827586206896,0.5344827586206896,0.5,0.5689655172413793,0.4827586206896552,0.5,0.5344827586206896,0.5344827586206896,0.5344827586206896,0.5862068965517241,0.5344827586206896,0.5344827586206896,0.5172413793103449,0.5689655172413793,0.5,0.5,0.4827586206896552,0.5344827586206896,0.5689655172413793,0.5172413793103449,0.5344827586206896,0.4827586206896552,0.5517241379310345,0.5,0.5344827586206896,0.43103448275862066,0.5344827586206896,0.5172413793103449,0.5689655172413793,0.5,0.4827586206896552,0.4827586206896552,0.46551724137931033,0.5172413793103449,0.4827586206896552,0.5344827586206896,0.5344827586206896,0.5172413793103449,0.5344827586206896,0.46551724137931033,0.46551724137931033,0.46551724137931033,0.5689655172413793,0.5344827586206896,0.5517241379310345,0.4827586206896552,0.5344827586206896,0.5,0.5,0.5517241379310345,0.4827586206896552,0.5,0.5344827586206896
1991,61.0,0.5901639344262295,0.6229508196721312,0.5737704918032787,0.47540983606557374,0.5737704918032787,0.5409836065573771,0.5573770491803278,0.5409836065573771,0.6229508196721312,0.5573770491803278,0.5573770491803278,0.5737704918032787,0.6065573770491803,0.6229508196721312,0.5245901639344263,0.5245901639344263,0.47540983606557374,0.5573770491803278,0.5081967213114754,0.5245901639344263,0.5901639344262295,0.5573770491803278,0.5573770491803278,0.5245901639344263,0.5737704918032787,0.5245901639344263,0.4918032786885246,0.4918032786885246,0.5081967213114754,0.6065573770491803,0.5245901639344263,0.5409836065573771,0.5081967213114754,0.4918032786885246,0.45901639344262296,0.5245901639344263,0.4918032786885246,0.5245901639344263,0.5081967213114754,0.5573770491803278,0.5573770491803278,0.5081967213114754,0.5081967213114754,0.5081967213114754,0.47540983606557374,0.5245901639344263,0.5245901639344263,0.4918032786885246,0.5081967213114754,0.5245901639344263,0.5081967213114754,0.5245901639344263,0.5245901639344263,0.4918032786885246,0.5245901639344263,0.5245901639344263,0.4918032786885246,0.4918032786885246,0.5081967213114754,0.5081967213114754,0.4918032786885246,0.5081967213114754,0.5409836065573771,0.4918032786885246,0.5245901639344263,0.5081967213114754,0.5573770491803278,0.5245901639344263,0.5245901639344263,0.47540983606557374,0.5245901639344263,0.5245901639344263,0.5737704918032787,0.5245901639344263,0.4918032786885246,0.5409836065573771,0.4918032786885246,0.5901639344262295,0.5409836065573771,0.5081967213114754,0.5081967213114754,0.5245901639344263
1992,63.0,0.6031746031746031,0.6349206349206349,0.6507936507936508,0.6984126984126984,0.5873015873015873,0.6825396825396826,0.6190476190476191,0.5873015873015873,0.5555555555555556,0.6825396825396826,0.5714285714285714,0.6031746031746031,0.6031746031746031,0.6349206349206349,0.6349206349206349,0.6031746031746031,0.6825396825396826,0.6190476190476191,0.7301587301587301,0.6031746031746031,0.5873015873015873,0.6666666666666666,0.6190476190476191,0.6190476190476191,0.5873015873015873,0.6349206349206349,0.6507936507936508,0.6984126984126984,0.6984126984126984,0.7301587301587301,0.6825396825396826,0.6507936507936508,0.6825396825396826,0.7142857142857143,0.6507936507936508,0.6666666666666666,0.6507936507936508,0.6666666666666666,0.7301587301587301,0.7619047619047619,0.6825396825396826,0.6507936507936508,0.6507936507936508,0.6984126984126984,0.6666666666666666,0.6507936507936508,0.6666666666666666,0.6666666666666666,0.7142857142857143,0.6666666666666666,0.6507936507936508,0.6666666666666666,0.7142857142857143,0.6825396825396826,0.6825396825396826,0.6666666666666666,0.6666666666666666,0.6825396825396826,0.6507936507936508,0.6190476190476191,0.6349206349206349,0.6984126984126984,0.6825396825396826,0.6666666666666666,0.6507936507936508,0.6190476190476191,0.6190476190476191,0.6349206349206349,0.6984126984126984,0.6507936507936508,0.6666666666666666,0.6190476190476191,0.6349206349206349,0.6507936507936508,0.6507936507936508,0.6666666666666666,0.6507936507936508,0.6190476190476191,0.6666666666666666,0.6825396825396826,0.6349206349206349,0.6349206349206349
1993,61.0,0.639344262295082,0.6229508196721312,0.639344262295082,0.5901639344262295,0.6229508196721312,0.6229508196721312,0.639344262295082,0.639344262295082,0.639344262295082,0.5901639344262295,0.6557377049180327,0.639344262295082,0.6557377049180327,0.6229508196721312,0.6229508196721312,0.6557377049180327,0.6229508196721312,0.6885245901639344,0.7049180327868853,0.639344262295082,0.639344262295082,0.6557377049180327,0.639344262295082,0.6557377049180327,0.6557377049180327,0.6229508196721312,0.639344262295082,0.6557377049180327,0.6721311475409836,0.6721311475409836,0.639344262295082,0.6557377049180327,0.6229508196721312,0.6557377049180327,0.6229508196721312,0.6229508196721312,0.639344262295082,0.6557377049180327,0.6721311475409836,0.6557377049180327,0.639344262295082,0.639344262295082,0.6721311475409836,0.6721311475409836,0.6557377049180327,0.6557377049180327,0.6557377049180327,0.6721311475409836,0.639344262295082,0.639344262295082,0.6721311475409836,0.6557377049180327,0.6229508196721312,0.639344262295082,0.6885245901639344,0.6229508196721312,0.639344262295082,0.6885245901639344,0.639344262295082,0.6229508196721312,0.6065573770491803,0.6229508196721312,0.6065573770491803,0.639344262295082,0.6229508196721312,0.6557377049180327,0.639344262295082,0.639344262295082,0.6229508196721312,0.639344262295082,0.639344262295082,0.6721311475409836,0.6229508196721312,0.6065573770491803,0.6721311475409836,0.6229508196721312,0.639344262295082,0.6557377049180327,0.6557377049180327,0.639344262295082,0.6229508196721312,0.6557377049180327
1994,63.0,0.5079365079365079,0.5396825396825397,0.5238095238095238,0.5714285714285714,0.5396825396825397,0.6031746031746031,0.5714285714285714,0.6190476190476191,0.5714285714285714,0.5555555555555556,0.5873015873015873,0.5714285714285714,0.5714285714285714,0.5396825396825397,0.6507936507936508,0.5873015873015873,0.6349206349206349,0.5396825396825397,0.6666666666666666,0.6507936507936508,0.5873015873015873,0.6507936507936508,0.5555555555555556,0.6190476190476191,0.6349206349206349,0.6507936507936508,0.6190476190476191,0.6349206349206349,0.5873015873015873,0.6349206349206349,0.6825396825396826,0.6190476190476191,0.6190476190476191,0.5555555555555556,0.6190476190476191,0.6031746031746031,0.6190476190476191,0.6031746031746031,0.5714285714285714,0.6666666666666666,0.6825396825396826,0.5873015873015873,0.6031746031746031,0.5714285714285714,0.6507936507936508,0.6031746031746031,0.6031746031746031,0.6190476190476191,0.6666666666666666,0.6825396825396826,0.6349206349206349,0.5714285714285714,0.5396825396825397,0.6349206349206349,0.6349206349206349,0.6031746031746031,0.6507936507936508,0.6825396825396826,0.6984126984126984,0.6190476190476191,0.6190476190476191,0.5555555555555556,0.5873015873015873,0.6349206349206349,0.7142857142857143,0.6825396825396826,0.6825396825396826,0.6666666666666666,0.6190476190476191,0.6349206349206349,0.6825396825396826,0.7142857142857143,0.6825396825396826,0.6825396825396826,0.6031746031746031,0.6349206349206349,0.6984126984126984,0.7142857142857143,0.6666666666666666,0.6031746031746031,0.6507936507936508,0.7142857142857143
1995,60.0,0.48333333333333334,0.5,0.45,0.5166666666666667,0.5166666666666667,0.45,0.5,0.45,0.5,0.43333333333333335,0.5166666666666667,0.4666666666666667,0.4166666666666667,0.5,0.43333333333333335,0.43333333333333335,0.4666666666666667,0.4166666666666667,0.43333333333333335,0.4166666666666667,0.48333333333333334,0.4166666666666667,0.43333333333333335,0.5166666666666667,0.4166666666666667,0.43333333333333335,0.4666666666666667,0.4666666666666667,0.45,0.4166666666666667,0.48333333333333334,0.5166666666666667,0.48333333333333334,0.48333333333333334,0.5333333333333333,0.45,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.45,0.48333333333333334,0.5,0.4666666666666667,0.5166666666666667,0.5166666666666667,0.4666666666666667,0.4666666666666667,0.43333333333333335,0.4,0.4666666666666667,0.5,0.45,0.5,0.48333333333333334,0.45,0.4666666666666667,0.45,0.4,0.5,0.5333333333333333,0.4666666666666667,0.6,0.5,0.4666666666666667,0.5166666666666667,0.45,0.5,0.5,0.5833333333333334,0.5166666666666667,0.5166666666666667,0.48333333333333334,0.5333333333333333,0.5833333333333334,0.55,0.4666666666666667,0.48333333333333334,0.5166666666666667,0.4666666666666667,0.5833333333333334,0.5,0.5166666666666667
1996,61.0,0.5573770491803278,0.47540983606557374,0.5245901639344263,0.5737704918032787,0.5573770491803278,0.4918032786885246,0.5245901639344263,0.6229508196721312,0.5081967213114754,0.5573770491803278,0.5573770491803278,0.5901639344262295,0.5573770491803278,0.47540983606557374,0.5901639344262295,0.6229508196721312,0.5573770491803278,0.639344262295082,0.5081967213114754,0.639344262295082,0.6229508196721312,0.6065573770491803,0.4918032786885246,0.5409836065573771,0.6065573770491803,0.5901639344262295,0.5409836065573771,0.5573770491803278,0.5737704918032787,0.6065573770491803,0.5573770491803278,0.6557377049180327,0.6721311475409836,0.5737704918032787,0.5573770491803278,0.6065573770491803,0.5409836065573771,0.5901639344262295,0.5081967213114754,0.5737704918032787,0.5573770491803278,0.6557377049180327,0.6229508196721312,0.5737704918032787,0.5573770491803278,0.6557377049180327,0.5901639344262295,0.5901639344262295,0.639344262295082,0.6229508196721312,0.6557377049180327,0.6721311475409836,0.6721311475409836,0.6557377049180327,0.6721311475409836,0.6557377049180327,0.639344262295082,0.6885245901639344,0.6885245901639344,0.639344262295082,0.639344262295082,0.6885245901639344,0.6721311475409836,0.6885245901639344,0.6721311475409836,0.6721311475409836,0.6885245901639344,0.6721311475409836,0.7049180327868853,0.6557377049180327,0.6885245901639344,0.6229508196721312,0.6721311475409836,0.6557377049180327,0.6885245901639344,0.6721311475409836,0.6885245901639344,0.6557377049180327,0.6721311475409836,0.6721311475409836,0.6721311475409836,0.6557377049180327
1997,60.0,0.6166666666666667,0.5333333333333333,0.5833333333333334,0.6,0.6166666666666667,0.5333333333333333,0.6333333333333333,0.55,0.5333333333333333,0.6333333333333333,0.5333333333333333,0.55,0.55,0.5333333333333333,0.5166666666666667,0.5333333333333333,0.5833333333333334,0.5666666666666667,0.5833333333333334,0.6166666666666667,0.5666666666666667,0.5666666666666667,0.55,0.6166666666666667,0.55,0.5166666666666667,0.5666666666666667,0.5833333333333334,0.5666666666666667,0.6,0.5833333333333334,0.5833333333333334,0.5666666666666667,0.55,0.6333333333333333,0.55,0.5666666666666667,0.5833333333333334,0.55,0.6,0.5666666666666667,0.5833333333333334,0.5833333333333334,0.5666666666666667,0.55,0.55,0.5833333333333334,0.6,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.6,0.5333333333333333,0.65,0.6333333333333333,0.5666666666666667,0.6333333333333333,0.6166666666666667,0.6,0.5666666666666667,0.5833333333333334,0.6,0.6,0.6333333333333333,0.6166666666666667,0.6,0.5333333333333333,0.5666666666666667,0.5666666666666667,0.5833333333333334,0.6,0.6,0.55,0.5666666666666667,0.5666666666666667,0.6166666666666667,0.6,0.5833333333333334,0.6,0.5333333333333333,0.5166666666666667,0.5833333333333334
1998,53.0,0.6415094339622641,0.5849056603773585,0.6415094339622641,0.6226415094339622,0.6226415094339622,0.6415094339622641,0.6037735849056604,0.6415094339622641,0.6415094339622641,0.6037735849056604,0.6226415094339622,0.6415094339622641,0.6415094339622641,0.5849056603773585,0.6415094339622641,0.660377358490566,0.6226415094339622,0.6415094339622641,0.660377358490566,0.660377358490566,0.6226415094339622,0.6415094339622641,0.6226415094339622,0.660377358490566,0.660377358490566,0.6415094339622641,0.6226415094339622,0.6792452830188679,0.6226415094339622,0.660377358490566,0.660377358490566,0.6226415094339622,0.660377358490566,0.6415094339622641,0.6792452830188679,0.5849056603773585,0.6226415094339622,0.6226415094339622,0.6792452830188679,0.660377358490566,0.6792452830188679,0.6415094339622641,0.660377358490566,0.6415094339622641,0.6792452830188679,0.6415094339622641,0.6226415094339622,0.6226415094339622,0.660377358490566,0.5849056603773585,0.6415094339622641,0.6415094339622641,0.6792452830188679,0.6226415094339622,0.6037735849056604,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.660377358490566,0.6037735849056604,0.6037735849056604,0.660377358490566,0.6037735849056604,0.6226415094339622,0.6226415094339622,0.6037735849056604,0.6415094339622641,0.6037735849056604,0.660377358490566,0.6415094339622641,0.6415094339622641,0.6037735849056604,0.6415094339622641,0.6226415094339622,0.660377358490566,0.6226415094339622,0.6226415094339622,0.6226415094339622,0.5660377358490566,0.6037735849056604,0.6037735849056604,0.6037735849056604
