,coastal,lakes,streams,income,age,households,total
1990,5223.684570477915,5223.684570477915,5223.684570477915,5223.684570477915,5223.684570477915,5223.684570477915,5223.684570477915
1991,5110.749710030005,5233.901032516145,5260.652484795906,5241.470818978414,5224.902607200472,5278.523722152092,5230.779871857757
1992,5144.296533484754,5252.093616239692,5281.089912728734,5247.566724921169,5224.902607200472,5330.823667146769,5362.985486117809
1993,5172.260369478604,5232.671087450279,5282.16975573492,5245.004422007994,5224.876760711635,5372.808553138343,5412.481070060558
1994,5151.020947618103,5220.425356322911,5291.392457734257,5441.138538325945,5227.526677082448,5410.162175783746,5630.051273745806
1995,5090.201441648001,5220.69219196039,5288.005475821061,5510.872600039348,5227.526677082448,5455.100338148387,5680.2343064865045
1996,5096.289250254269,5200.479683570236,5278.38334335908,5555.31717990802,5224.876760711635,5497.885689136574,5740.38129015254
1997,5069.5429596824215,5160.213554050011,5257.964652159405,5625.0797205636245,5227.526677082448,5540.339502417669,5758.940004401975
1998,5027.553275485363,5132.105666700201,5238.0280750769825,5733.646753402775,5227.526677082448,5580.729020858508,5804.713292609781
1999,4997.976117764358,5122.211629953334,5198.851261019294,5759.8757864317495,5227.500830593612,5623.097412155145,5781.771549311534
2000,4950.673098953383,5126.203701615881,5148.0070143092125,5852.457117215825,5227.558562850866,5650.951184323918,5789.519746420122
2001,4906.7856905375465,5122.073805240513,5088.274806213928,5933.515788276634,5227.549381150349,5678.608913068344,5765.472806816075
2002,4865.427531299734,5104.223496553799,5065.79161948407,5942.500859882817,5227.584409339703,5708.756075818375,5700.798451409137
2003,4769.887001168803,5085.830719981518,5046.359551887623,5912.020150270004,5228.737226958122,5735.694116482489,5538.358208746696
2004,4776.132099467681,5086.232130920096,5017.470762950272,6017.789789619989,5228.737226958122,5768.631925577843,5641.13342558843
2005,4771.619582353109,5040.112561077829,5012.645689345454,6124.834030775005,5236.275266935601,5814.755231999363,5721.630665220873
2006,4822.660531082757,5025.535695419225,5001.874112409001,6280.143074618347,5237.533065694431,5860.532351555257,5946.36402587954
2007,4756.6536184964625,4971.294797546405,4977.984051425436,6458.778777906869,5242.568756259665,5897.202696717719,5955.586446700368
2008,4827.438761996949,4957.568402628485,4969.627656922259,6306.90668667039,5246.939476079082,5936.33645502472,5917.360882278394
2009,4818.297163744519,4920.5644660815,4976.210229289338,6150.146866172557,5246.939476079082,5981.338983453139,5758.946202612648
2010,4693.644888150329,4896.304805469759,4953.016379693153,6310.570656930591,5246.939476079082,6009.825192549653,5696.025985994191
2011,4683.281156491736,4904.193227370026,4949.196554556868,6207.8990712997465,5266.623223489169,6041.435627464181,5642.543634227919
2012,4643.675945446097,4941.0303079734895,4921.944997695199,6212.768575205675,5317.291364188675,6065.3524150799885,5670.256904222333
2013,4655.105027048285,4933.466864262424,4893.79600660503,6283.342041565122,5328.958660418665,6104.385909566419,5752.2779370186745
2014,4651.811745813826,4919.377701454286,4861.728482659673,6369.721511178009,5341.129269057062,6138.500525990182,5805.620777861832
2015,4683.067534077059,4921.521777800637,4849.537468825065,6571.43677457165,5374.518988681742,6175.984485914172,6099.1264359841625
2016,4665.256031601245,4910.249090384038,4824.633789958105,6661.136327510366,5401.855075378495,6218.438468620892,6167.084707365745
2017,4711.218924764384,4888.01176912092,4806.1175771288345,6755.503559106066,5479.370517791227,6255.221767922246,6388.000922880524
2018,4667.471760781926,4882.502737997597,4776.107714905941,6823.3602744781665,5505.882273683691,6299.825389086855,6395.466252998313
2019,4645.709999088767,4884.055259890964,4759.291305938282,6890.162905755147,5541.779757462366,6344.429010251464,6479.072913666748
2020,4787.114441935381,4890.335072455851,4743.379428300535,6982.844666684008,5590.766425339144,6389.032631416074,6890.62128579928
"g (million DKK, 2023 prices)",-436.5701285425339,-333.3494980220639,-480.3051421773798,1759.160096206093,367.08185486122875,1165.3480609381586,1666.9367153213643
g (%),-8.357513219880198,-6.3815012856254025,-9.1947577557011,33.67661413072549,7.027259205806993,22.308928596573757,31.911128875242486
g rate (%),-0.29049455354225984,-0.2195658880010285,-0.3209942685216731,0.9722067536471997,0.22663434480476496,0.6735242403315169,0.9274687271106501
