wb,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
53,1,0,1,0,0,1,1,1,1,2,1,1,2,4,2,2,2,3,1,2,3,2,2,2,1,2,2,4,2,2,2,1
54,1,0,1,0,1,1,1,1,1,2,1,1,1,1,0,1,2,0,1,1,2,0,1,2,1,1,2,0,1,0,1,1
56,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,1,2,0,1,1
58,2,2,2,1,1,2,2,3,2,3,3,2,2,1,2,2,3,4,4,2,4,3,4,2,2,2,2,0,2,0,1,1
59,1,0,1,0,1,1,1,1,1,2,1,1,2,1,2,2,2,2,1,2,2,4,2,2,4,2,2,2,2,0,1,1
63,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,2,1,1,1,1,0,0,1,1,0,0,0,0
65,1,0,1,0,3,1,1,1,1,2,1,1,2,1,1,1,2,2,1,2,2,2,2,2,1,1,3,4,2,3,2,0
67,1,0,1,0,1,1,1,1,1,2,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,4,1
68,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,2,0,1,1
69,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1,1,0,1,1,1,1,0,0,4,4,1
71,1,2,0,0,0,1,0,2,0,2,0,0,2,0,4,2,2,4,0,1,1,1,2,1,0,1,1,1,2,0,0,1
74,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,1,1,3,1,0,4,1,0,1,1,2,1
75,1,0,1,0,1,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,2,1,0,2,1,1,2,0,0,0,1,2
77,1,0,1,1,1,0,1,1,1,2,2,1,1,1,0,1,2,0,2,2,2,1,2,2,1,0,1,2,1,0,1,0
78,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,1,1,1,1,2,3,0
80,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,2,2,2,2,1,1,2,2,2,0,1,1
84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,1,1,4,1,1,0,1,1,1,1,0,0,0
85,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,2,1,2,1,2,1,0,0,0,0,2
89,1,0,1,3,1,1,1,2,1,3,1,1,2,1,2,4,3,2,4,2,2,4,2,2,1,2,2,4,4,0,2,2
90,2,2,0,0,0,1,2,2,2,3,2,1,2,2,2,2,2,4,1,4,1,1,0,3,0,0,3,0,2,0,4,0
91,1,0,1,0,1,1,1,1,1,2,1,1,2,1,3,2,2,2,1,2,2,2,2,1,1,1,2,2,2,4,4,1
92,2,0,0,0,0,0,1,1,0,1,1,0,2,2,1,2,2,2,0,3,1,1,3,1,0,3,1,0,3,4,4,1
93,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,2,1,2,0,1,1,1,0,2,0,1,1,1,1,0,1,2
96,1,0,1,0,1,2,1,2,1,3,1,1,2,1,2,2,2,2,3,2,2,2,1,2,1,2,2,1,2,0,1,4
98,1,0,1,0,1,2,1,1,1,1,1,1,2,1,2,1,3,3,1,2,2,2,2,2,1,1,2,2,2,0,1,4
