t,v,coastal,lakes,streams,demographics,total
1990,1,3979.148325639896,276.43635434539203,-2663.8694021400675,136.0468562019405,1727.762134047161
1990,2,0.0,287.5625485215722,-1005.6437697601132,-74.48331589975282,-792.5645371382939
1990,6,7091.081069237217,-10570.046151057215,-13434.882977832398,-3215.8564181235815,-20129.704477775977
1990,16,-76.32325725863464,32.45215073997351,-63.109947957101035,-7.902618860127291,-114.88367333588945
1990,17,21.430925288075446,-3.3993611918158986,-10.76429069045056,0.9364620230704954,8.203735428879483
1990,18,14.512123906453654,,,1.380211632155758,15.892335538609412
1990,24,256.7303954720147,114.81686283579047,-98.31242654273063,16.68854985657589,289.92338162165044
1990,25,87.06129490400825,25.680614598752186,-72.90535063070908,2.4486120141273915,42.28517088617875
1990,28,133.62135341702148,77.13849519786861,-111.35701214455133,7.522215697346013,106.92505216768475
1990,29,229.4996571847296,,-181.50848799030095,4.031548052324467,52.02271724675313
1990,34,201.62376800070075,-85.89503295403095,-192.85011535241387,-5.969800025804545,-83.09118033154861
1990,35,1364.9216418885308,-450.84025657980715,-861.2127229017543,5.434403059971601,58.30306546694089
1990,36,33.33534590727488,,-18.855952866648057,1.9794794833697722,16.458872523996593
1990,37,123.31428966226419,-13.99845965752401,-89.66350382298853,1.8651284070552805,21.517454588806928
1990,38,314.6184397649624,38.78748236506309,-303.72059402252415,4.076889088425219,53.76221719592655
1990,44,9.468855733006873,-1.4411097123961976,-20.85666241938242,-1.443360571093022,-14.272276969864768
1990,45,57.31617569616459,-83.15836273506211,-193.0963247215498,-15.838609259992126,-234.77712102043944
1990,46,-215.12275539819632,-39.91028947904794,-151.52843818019286,-37.39179468511304,-443.9532777425502
1990,47,24.92289959865894,16.79345943892607,-12.655252231463399,3.1908213961963483,32.251928202317956
1990,48,218.43268424404914,-16.806569520063753,-83.34326529965062,10.571233113520805,128.85408253785556
1990,49,-7.194935801412761,,-9.037681679077222,-1.2355018789836123,-17.468119359473597
1990,56,-310.2790275975322,-50.34771850044662,-191.98238504898495,-45.58187743863323,-598.191008585597
1990,57,-1.187200895245261,,,-0.1546294470659466,-1.3418303423112077
1990,59,34.31415296291757,5.23652281901328,-20.01870326689548,2.5755791659161105,22.10755168095148
1990,62,2.6871644843750206,,,0.4843223609558738,3.1714868453308944
1990,68,21.703301758534717,-2.378635203802312,,2.37838437209896,21.703050926831366
1990,72,-6.7861102450285,8.573722888058205,-23.877055768972717,-2.136331827665309,-24.225774953608322
1990,74,-132.31553797700133,,-61.793273639217944,-21.619383015247053,-215.72819463146632
1990,80,42.384843297419735,28.80496309061988,-39.974678867260195,3.7614737128968443,34.97660123367626
1990,82,12.598739665900741,-4.805792186864689,16.201800065250804,4.80262047270671,28.797368016993566
1990,83,-99.00782249558199,-9.916333633926964,27.389562726344355,-7.524374690027685,-89.05896809319229
1990,84,-54.96853503996329,,,-5.067944660332991,-60.03647970029628
1990,85,-71.63587528383567,,-39.124334995214255,-6.4109911877788335,-117.17120146682876
1990,86,0.0,0.0,-90.28675748595414,-6.465361150837808,-96.75211863679195
1990,87,-137.4546844798998,37.65734771479936,55.643568689778974,-4.601239171399321,-48.7550072467208
1990,89,3.3969683615429305,3.764839028154298,-5.848464647677521,0.1691425064399903,1.4824852484596978
1990,90,0.0,58.36752257741222,54.24267685557976,13.608808643813575,126.21900807680555
1990,92,0.0,-12.452144371516827,-53.82753304182557,-5.006458997445208,-71.2861364107876
1990,93,2602.9630955300477,-766.8107769940168,-1059.8778625536474,76.00541852157471,852.2798745039581
1990,95,-17.924701322358093,24.057735048934187,-38.43290891499473,-2.4671371311356296,-34.76701231955426
1990,96,31.788830040786372,13.167276196667968,-128.17402386743294,-7.889768273937619,-91.1076859039162
1990,101,-23.92922378383012,17.906571629256675,-17.24265408527257,-2.793114866522096,-26.05842110636811
1990,102,-87.8079955217471,-123.56661125093612,91.09878581834235,-10.87353406982919,-131.14935502417006
1990,103,0.0,3.6516846361117747,-53.31847343074967,-3.9857635302708516,-53.65255232490875
1990,104,64.4787191582343,40.36373783043255,-52.432344433755745,4.851729533467669,57.26184208837876
1990,105,221.3355932811555,62.57309566678207,-109.37119353188085,16.66907016215964,191.20656557821633
1990,106,-112.44668014664211,-120.12404792550126,-151.90606186549869,-41.03082819143856,-425.5076181290806
1990,107,-13.525832737708054,8.724499716446054,-50.0280075014059,-6.364165683446842,-61.19350620611475
1990,108,4.145914904080592,,-8.336077631419073,-0.5245763649500432,-4.714739092288524
1990,109,-40.775899783233584,12.459666281681908,-28.440032286696916,-8.23638607057152,-64.99265185882011
1990,110,71.82536104776938,-20.593863663504766,-63.21861360901315,-1.1404777638890664,-13.1275939886376
1990,111,645.732440468898,-134.24573384136684,-354.66163079471585,14.948884618795887,171.77396045161117
1990,113,-62.75273400540603,-46.07493814403842,-29.129709600393788,-4.716063511259932,-142.67344526109818
1990,114,144.07819830961614,-25.743175859139175,-168.36527690831244,-5.333516497550022,-55.36377095538549
1990,119,33.55909216851136,13.77385287636177,-37.4392024478505,1.331218886630431,11.224961483653068
1990,120,260.851329714378,48.32142277799988,-328.8955221497068,-2.041103302207091,-21.763872959536002
1990,121,1223.5992909624126,-715.9505546226809,-726.761473288556,-22.85806390391656,-241.9708008527408
1990,122,-298.73160183516916,61.76434595973888,137.14577931044695,-12.447317554171804,-112.26879411915513
1990,123,-624.856802081124,-307.10114788699656,-50.6101518567684,-134.8758944322185,-1117.4439962571075
1990,124,0.0,215.95165450170185,-205.98783918391354,1.2006095784959712,11.164424896284288
