,Sparse subset,Basis analysis,Observed subset,All in VP3
Small,2.685501066098081,2.6594553321455843,2.65630619059851,2.6594553321455843
Medium,2.5184331797235022,2.58646188850967,2.5843339050886223,2.58646188850967
Large,2.6538461538461537,3.0948905109489053,3.0970149253731343,3.0948905109489053
Soft bottom,,3.0,,3.0
Natural,2.6934481109516977,2.6798148148148146,2.677485543741839,2.6798148148148146
DK2,1.89937106918239,2.1054945054945056,2.0945494994438265,2.1054945054945056
All,2.654109589041096,2.647725321888412,2.6447368421052633,2.647725321888412
n,2565.0,5825.0,6151.0,6703.0
