v,t,N,age,D age,y,ln y
87,2009,5959.0,41.91299009,0,5.050181014313596,1.6194240870634065
87,2010,5957.0,42.31725887,0,5.083198327133976,1.6259406554360303
87,2011,5942.0,42.6023403,0,5.024892599386861,1.614404080460382
87,2012,5927.0,43.10658882,0,5.086745112268839,1.6266381588783636
87,2013,5953.0,43.55725529,0,4.997895485206061,1.6090169208707987
87,2014,5955.0,44.02854653,0,4.979515004867471,1.6053324977131567
87,2015,5909.0,44.50639898,0,5.293788445036,1.6665341417363195
87,2016,5923.0,44.77126537,0,5.223534604612164,1.6531743000676167
87,2017,5921.0,44.96733074,0,5.253185005964497,1.6588345604577754
87,2018,5949.0,45.12332388,1,5.30463243,1.6685804822008032
87,2019,5977.0,45.27931702,1,5.355280670749513,1.6780831153645852
87,2020,6005.0,45.43531016,1,5.42605787068085,1.691212879620493
89,1990,428.0,40.15315045,0,4.456576673925445,1.4943809094053895
89,1991,439.0,40.29155519,0,4.393513216196202,1.480129184074012
89,1992,455.0,40.18742885,0,4.449603770635659,1.4928150519072318
89,1993,460.0,40.17528723,0,4.394399886765697,1.480330977278409
89,1994,469.0,40.48736554,0,4.622241097906908,1.530879673604443
89,1995,470.0,40.53750317,0,4.630355531117647,1.5326336537283762
89,1996,468.0,40.24717796,0,4.760981851766907,1.5604539183519148
89,1997,473.0,40.55371867,0,4.743396836923944,1.5567535113111333
89,1998,466.0,40.64239581,0,4.841944208398341,1.577316336020392
89,1999,474.0,40.97637734,0,4.821994538326586,1.5731876471010557
89,2000,468.0,41.06411646,0,4.91778673304462,1.5928585782837064
89,2001,478.0,41.39902215,0,4.928372688794872,1.5950088501563313
89,2002,477.0,41.57313255,0,4.929867877336671,1.5953121879666095
89,2003,492.0,41.95883101,0,4.884730870215687,1.5861141908789462
89,2004,494.0,42.0943634,0,5.013266718880001,1.6120877423078583
89,2005,507.0,41.99712808,0,5.021118195433334,1.613652656993254
89,2006,505.0,42.05983142,0,5.323089071460282,1.6720537873702295
89,2007,504.0,42.28859742,0,5.434076207040184,1.6926895350206854
89,2008,508.0,42.46755331,0,5.477209832503886,1.7005958166441042
89,2009,509.0,42.48270644,0,5.311179836006579,1.6698140019113465
89,2010,503.0,43.00992024,0,5.406496047935692,1.6876012024193148
89,2011,508.0,43.4823159,0,5.313023492817518,1.6701610692202795
89,2012,508.0,43.40887305,0,5.4394215482830965,1.6936727221778978
89,2013,506.0,43.72433092,0,5.478072998561616,1.7007533965209227
89,2014,501.0,43.94017922,0,5.555003425479922,1.714699039739454
89,2015,504.0,44.11044067,0,5.650131300576,1.7316787839283272
89,2016,506.0,44.62612508,0,5.725804333152544,1.7449830344456296
89,2017,510.0,44.98283807,0,5.716870996901381,1.7434216272032779
89,2018,516.0,44.91841998,0,5.822953610000001,1.7618076261394089
89,2019,522.0,44.854001890000006,0,5.927388337846602,1.7795837007954403
89,2020,528.0,44.78958380000001,0,6.053540992789168,1.8006433888928195
90,1990,5360.0,39.12291403,0,4.247658484807132,1.4463678863592353
90,1991,5438.0,39.05787432,0,4.261763926443039,1.4496831418192462
90,1992,5462.0,39.12978059,0,4.337279673848062,1.4672473483282091
90,1993,5498.0,39.18509291,0,4.3140095639663105,1.461867764924709
90,1994,5530.0,39.15568,0,4.486668307858859,1.501110401341613
90,1995,5549.0,39.27190725,0,4.5761860938911765,1.5208659206219253
90,1996,5598.0,39.13066401,0,4.639125493427337,1.5345258772311188
90,1997,5639.0,39.17260747,0,4.682808551498591,1.543898047772433
90,1998,5657.0,39.09077369,0,4.721822385300139,1.552194823661125
90,1999,5665.0,39.2297267,0,4.669239200882591,1.540996146392626
90,2000,5697.0,39.21605392,0,4.744283320679789,1.5569403818092316
90,2001,5700.0,39.3550968,0,4.814337314284615,1.5715984063462263
90,2002,5698.0,39.42098013,0,4.856447463849812,1.5803071961037671
90,2003,5778.0,39.5922019,0,4.840136123151962,1.5769428449512246
90,2004,5860.0,39.56483298,0,4.962950185318788,1.6020003593433223
90,2005,5959.0,39.75139201,0,5.011143668883334,1.6116641662677154
90,2006,6044.0,39.8597838,0,5.191494709813085,1.6470216537515265
90,2007,6060.0,40.03195721,0,5.230638194167624,1.6545332962857724
90,2008,6113.0,40.00972063,0,5.256102016568258,1.6593896905388967
90,2009,6155.0,40.2664989,0,5.112371419888158,1.6316633709085242
90,2010,6175.0,40.51669226,0,5.204233518763131,1.6494724325803032
90,2011,6157.0,40.8127078,0,5.195432004437956,1.6477797788296693
90,2012,6160.0,41.30106674,0,5.131098105556008,1.6353196919399726
90,2013,6121.0,41.67098794,0,5.16431483829899,1.6417724390382038
90,2014,6132.0,42.11474278,0,5.222855772180724,1.6530443350925563
90,2015,6148.0,42.50924128,0,5.29379173281,1.6665347627987237
90,2016,6174.0,42.77855654,0,5.285505628801596,1.6649682871775975
90,2017,6225.0,43.13351818,0,5.403399739147929,1.6870283367907413
90,2018,6246.0,43.53705959,0,5.464179348,1.6982139453022818
90,2019,6267.0,43.940600999999994,0,5.52401480758835,1.7091049161351166
90,2020,6288.0,44.34414240999999,0,5.604525348139266,1.7235743692878172
92,1990,1983.0,37.66735859,0,4.536295920473258,1.512110802497104
92,1991,2026.0,37.88464076,0,4.655959774452532,1.5381480708841981
92,1992,2034.0,38.21556986,0,4.640918629286823,1.5349123270923672
92,1993,2041.0,38.52157914,0,4.583177674584993,1.522392572959023
92,1994,2055.0,38.92451103,0,4.748070594177178,1.5577383448292201
92,1995,2041.0,39.04413246,0,4.796278029179412,1.5678402065399344
92,1996,2067.0,38.91615295,0,4.776474770330935,1.5637027786729283
92,1997,2079.0,38.93179329,0,4.819670062949297,1.572705474049316
92,1998,2095.0,39.00403701,0,4.9660448782213,1.602623724141657
92,1999,2101.0,39.14998083,0,4.828599796045884,1.5745565283371477
92,2000,2101.0,39.41254576,0,4.862378568493438,1.581527735572257
92,2001,2120.0,39.65350631,0,4.939495290369231,1.5972631580388803
92,2002,2166.0,39.9775483,0,4.881705980240301,1.585494744888883
92,2003,2161.0,40.1874828,0,4.8244203507156875,1.5736905930075173
92,2004,2170.0,40.58304121,0,4.951798800174545,1.5997509045436558
92,2005,2161.0,41.02286637,0,5.019853966833333,1.6134008430082631
92,2006,2212.0,41.15597864,0,5.240715421350468,1.6564580198055445
92,2007,2237.0,41.34703517,0,5.221566862326062,1.6527975220505513
