,n,Obs,No dummies,Saline,"Saline, Brown","Saline, Brown, Alkalinity"
1989,106.0,0.8113207547169812,0.973630831643002,0.9574036511156186,0.9533468559837728,0.9594320486815415
1990,113.0,0.8495575221238938,0.9827586206896551,0.9766734279918864,0.9776876267748479,0.9817444219066938
1991,103.0,0.8058252427184466,0.9797160243407708,0.9797160243407708,0.9797160243407708,0.9685598377281948
1992,95.0,0.8421052631578947,0.9847870182555781,0.9847870182555781,0.9827586206896551,0.9766734279918864
1993,105.0,0.7238095238095238,0.9391480730223124,0.9411764705882353,0.9432048681541582,0.9705882352941176
1994,113.0,0.8495575221238938,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551
1995,113.0,0.7876106194690266,0.9756592292089249,0.9756592292089249,0.9756592292089249,0.9756592292089249
1996,100.0,0.79,0.9695740365111561,0.973630831643002,0.973630831643002,0.9787018255578094
1997,123.0,0.8130081300813008,0.973630831643002,0.9705882352941176,0.9695740365111561,0.9705882352941176
1998,126.0,0.746031746031746,0.9452332657200812,0.9553752535496958,0.9513184584178499,0.9381338742393509
1999,137.0,0.8175182481751825,0.960446247464503,0.9563894523326572,0.9442190669371197,0.9533468559837728
2000,127.0,0.7716535433070866,0.8681541582150102,0.8488843813387424,0.8640973630831643,0.8793103448275862
2001,129.0,0.813953488372093,0.9574036511156186,0.9563894523326572,0.949290060851927,0.9462474645030426
2002,127.0,0.8188976377952756,0.9766734279918864,0.9766734279918864,0.9766734279918864,0.9766734279918864
2003,120.0,0.8,0.9523326572008114,0.9462474645030426,0.9462474645030426,0.9117647058823529
2004,134.0,0.7313432835820896,0.9574036511156186,0.9594320486815415,0.9574036511156186,0.9574036511156186
2005,142.0,0.6690140845070423,0.9290060851926978,0.9310344827586207,0.9279918864097363,0.920892494929006
2006,126.0,0.753968253968254,0.9665314401622718,0.9685598377281948,0.960446247464503,0.9350912778904665
2007,129.0,0.7131782945736435,0.960446247464503,0.9442190669371197,0.9523326572008114,0.947261663286004
2008,127.0,0.6850393700787402,0.9594320486815415,0.9594320486815415,0.9594320486815415,0.9594320486815415
2009,133.0,0.5864661654135338,0.8985801217038539,0.8945233265720081,0.8945233265720081,0.896551724137931
2010,102.0,0.6372549019607843,0.7758620689655172,0.7322515212981744,0.7322515212981744,0.8012170385395537
2011,134.0,0.6791044776119403,0.768762677484787,0.7545638945233266,0.7494929006085193,0.7535496957403651
2012,133.0,0.6165413533834586,0.8245436105476673,0.7210953346855984,0.7231237322515213,0.7322515212981744
2013,139.0,0.7841726618705036,0.8529411764705882,0.8387423935091278,0.8488843813387424,0.8498985801217038
2014,141.0,0.6879432624113475,0.7200811359026369,0.7170385395537525,0.716024340770791,0.7170385395537525
2015,128.0,0.6328125,0.9513184584178499,0.949290060851927,0.9503042596348884,0.949290060851927
2016,159.0,0.6477987421383647,0.7352941176470589,0.7383367139959433,0.7332657200811359,0.7342799188640974
2017,166.0,0.6325301204819277,0.718052738336714,0.7170385395537525,0.7170385395537525,0.718052738336714
2018,161.0,0.7329192546583851,0.7261663286004056,0.7251521298174443,0.7241379310344828,0.7261663286004056
2019,152.0,0.6644736842105263,0.7971602434077079,0.7920892494929006,0.7900608519269777,0.7880324543610547
2020,152.0,0.6118421052631579,0.755578093306288,0.7596348884381339,0.7545638945233266,0.757606490872211
Total,4095.0,0.7286935286935287,0.8884175774642306,0.8812525540720267,0.8804409473780671,0.8816725983054584
