,Sparse subset,Observed subset,All in VP3
Small,0.7645461598138091,0.6499756137213462,0.6556765627331046
Medium,0.18076027928626842,0.292635343846529,0.2827092346710428
Large,0.01047323506594259,0.021947650788489675,0.022676413546173356
Soft bottom,0.04422032583397983,0.03544139164363518,0.03893778904967925
Natural,0.895655546935609,0.9270037392293936,0.9115321497836789
DK2,0.07796741660201707,0.16387579255405624,0.1654483067283306
basis,2.6574350234341715,2.6447368421052633,2.647725321888412
n,2578.0,6151.0,6703.0
