,n,Obs,No dummies,Alkalinity,Brown,Saline,Deep,DK2,"Saline, Alkalinity","Saline, Brown","Saline, Deep","Saline, DK2","Saline, Brown, Alkalinity","Saline, Brown, Deep","Saline, Brown, DK2","Saline, Brown, Alkalinity, Deep","Saline, Brown, Alkalinity, DK2"
1989,106.0,0.8113207547169812,0.973630831643002,0.9695740365111561,0.9634888438133874,0.9574036511156186,0.9614604462474645,0.9675456389452333,0.9594320486815415,0.9533468559837728,0.9563894523326572,0.9665314401622718,0.9594320486815415,0.9584178498985801,0.9574036511156186,0.9533468559837728,0.9645030425963489
1990,113.0,0.8495575221238938,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9766734279918864,0.9827586206896551,0.9827586206896551,0.9807302231237323,0.9776876267748479,0.973630831643002,0.9807302231237323,0.9817444219066938,0.9817444219066938,0.9827586206896551,0.9827586206896551,0.9817444219066938
1991,103.0,0.8058252427184466,0.9797160243407708,0.9797160243407708,0.9797160243407708,0.9797160243407708,0.9797160243407708,0.9797160243407708,0.9787018255578094,0.9797160243407708,0.9797160243407708,0.9797160243407708,0.9685598377281948,0.9797160243407708,0.9797160243407708,0.9797160243407708,0.9716024340770791
1992,95.0,0.8421052631578947,0.9847870182555781,0.9847870182555781,0.9847870182555781,0.9847870182555781,0.9726166328600405,0.9766734279918864,0.9837728194726166,0.9827586206896551,0.973630831643002,0.9837728194726166,0.9766734279918864,0.9705882352941176,0.9675456389452333,0.9655172413793104,0.9827586206896551
1993,105.0,0.7238095238095238,0.9391480730223124,0.936105476673428,0.9320486815415822,0.9411764705882353,0.934077079107505,0.9421906693711968,0.9381338742393509,0.9432048681541582,0.934077079107505,0.9432048681541582,0.9705882352941176,0.9350912778904665,0.9320486815415822,0.9279918864097363,0.9705882352941176
1994,113.0,0.8495575221238938,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551,0.9827586206896551
1995,113.0,0.7876106194690266,0.9756592292089249,0.9756592292089249,0.9756592292089249,0.9756592292089249,0.9756592292089249,0.9716024340770791,0.9756592292089249,0.9756592292089249,0.9756592292089249,0.9756592292089249,0.9756592292089249,0.9756592292089249,0.973630831643002,0.9756592292089249,0.9756592292089249
1996,100.0,0.79,0.9695740365111561,0.9695740365111561,0.9695740365111561,0.973630831643002,0.9705882352941176,0.973630831643002,0.9787018255578094,0.973630831643002,0.9705882352941176,0.9787018255578094,0.9787018255578094,0.9705882352941176,0.9716024340770791,0.9716024340770791,0.9787018255578094
1997,123.0,0.8130081300813008,0.973630831643002,0.9746450304259635,0.9746450304259635,0.9705882352941176,0.9766734279918864,0.9746450304259635,0.9716024340770791,0.9695740365111561,0.9746450304259635,0.9726166328600405,0.9705882352941176,0.9746450304259635,0.9756592292089249,0.9746450304259635,0.9695740365111561
1998,126.0,0.746031746031746,0.9452332657200812,0.9452332657200812,0.9371196754563894,0.9553752535496958,0.9411764705882353,0.9543610547667343,0.9553752535496958,0.9513184584178499,0.947261663286004,0.9421906693711968,0.9381338742393509,0.9442190669371197,0.9462474645030426,0.9300202839756593,0.9462474645030426
