v,t,income,age,N
89,1991,271692.7938,40.29155519,439
92,1991,287922.3657,37.88464076,2026
93,1991,263176.8003,37.66118753,101566
95,1991,227997.9059,44.21383422,2029
96,1991,279356.1055,39.54812607,4398
101,1991,303278.224,35.94648446,1192
102,1991,260527.0048,39.05891572,8365
103,1991,276431.7703,37.53737261,2555
104,1991,291845.4325,35.54200444,2838
105,1991,266122.0101,38.67195253,8114
106,1991,255086.2214,38.93894038,13232
107,1991,259384.4088,37.24326046,3021
108,1991,271227.8317,38.04670309,562
109,1991,271114.6038,38.30336068,2491
110,1991,294045.5215,37.33411337,3398
111,1991,266615.2538,37.03803359,25050
113,1991,307282.8609,36.98534456,2357
114,1991,255212.6291,38.66851703,9180
119,1991,271407.7729,38.30608374,1490
120,1991,272581.8015,36.96940215,29514
122,1991,308602.5687,36.80409856,10280
123,1991,276791.2935,38.23658219,27459
124,1991,273736.7756,37.77307365,26606
125,1991,374080.9982,34.7392156,1998
127,1991,278614.48,39.99318726,624
128,1991,274800.1977,37.10696912,32795
129,1991,255481.8749,38.54725797,2735
131,1991,281881.4254,36.41879589,43910
132,1991,283377.1856,36.57582911,50278
133,1991,326176.1058,34.61767582,1181
136,1991,277447.2906,37.1889336,124726
137,1991,261453.1218,38.20998774,2507
138,1991,259436.4841,38.74259597,2300
139,1991,221203.3896,38.10240964,77
140,1991,272038.7298,38.4829417,15638
141,1991,285722.2596,39.28301751,2685
142,1991,213257.9408,44.99171271,47
144,1991,259190.9767,42.17602626,502
145,1991,319287.5433,34.37366446,23943
146,1991,294052.4952,37.37089057,5761
147,1991,269261.2962,36.52161667,103353
154,1991,243242.5214,40.15521964,1033
232,1991,263241.6446,38.22733398,11727
235,1991,263444.4763,37.77279553,108134
238,1991,264249.3721,37.55836044,5999
157,1991,262056.6909,37.64446698,27510
158,1991,266096.1428,37.48556664,19042
159,1991,258610.8055,38.20590204,8787
160,1991,262035.0739,38.53944152,6024
200,1991,326377.5919,38.12316915,24546
204,1991,271850.8487,38.00533993,36977
206,1991,256591.5101,39.73607251,7211
207,1991,236808.8378,41.40092713,10585
208,1991,248634.7079,40.4845027,5607
209,1991,256676.7948,41.00013287,5273
212,1991,254266.8558,40.53447805,3817
231,1991,270041.8461,38.54676972,24726
219,1991,268562.1871,40.67348189,6926
221,1991,265620.2867,37.87184571,30186
222,1991,254341.6815,38.99221704,11403
225,1991,270705.3297,37.44595758,26369
130,1991,281902.1652,36.36947716,920
236,1991,261012.921,38.69477656,13743
233,1991,262628.378,38.0947784,21033
234,1991,250256.4523,39.18474166,10254
224,1991,260457.3472,39.50306059,7825
217,1991,261642.4927,39.54823686,5734
201,1991,333199.2755,35.03837026,116046
90,1991,263545.4796,39.05787432,5438
165,1991,294945.7525,37.04110144,30235
216,1991,262984.8975,38.65912152,9571
48,1991,256004.7097,41.31749292,5286
46,1991,283809.4089,38.93272847,5530
121,1991,279941.0566,36.54056612,69358
214,1991,257017.8284,39.39704393,25498
1,1992,371195.2311,36.29811343,75501
2,1992,333709.4258,37.11291655,39200
6,1992,280029.9315,40.38769386,553649
16,1992,289958.9077,39.14808862,2683
17,1992,282937.8318,37.54521147,455
18,1992,288524.8063,39.93538016,272
24,1992,291558.6095,39.23490397,7770
25,1992,272775.7195,40.04355131,2460
28,1992,288196.4487,39.10416585,6048
29,1992,278890.0074,39.52302812,7969
34,1992,248418.3688,41.94066523,10500
35,1992,285609.0576,38.31257979,53216
36,1992,310124.3196,37.31339756,806
37,1992,285418.9279,36.42607796,3448
38,1992,255783.6263,40.6905751,14264
44,1992,251403.3752,41.23742083,1100
45,1992,252200.5569,42.14137348,9659
47,1992,277962.9441,39.66417479,3957
49,1992,245443.6761,42.95898009,794
56,1992,253608.7009,39.74862268,19527
57,1992,232254.4528,45.16951081,43
59,1992,276666.1551,38.59773275,1263
62,1992,272293.5801,39.83836207,125
68,1992,231588.2009,42.16414513,510
72,1992,226190.8486,45.35290182,1207
74,1992,287058.0045,37.50005962,4665
80,1992,282163.8788,39.03712868,2038
82,1992,262318.8398,37.73999785,1086
83,1992,304221.2142,37.35365502,7253
84,1992,295332.2746,39.09759257,1640
85,1992,302452.6066,36.2329711,1625
86,1992,272203.7011,40.10415803,4779
87,1992,279201.968,40.19591912,5356
89,1992,280821.373,40.18742885,455
92,1992,292895.5495,38.21556986,2034
93,1992,269691.8513,37.66105621,102987
95,1992,234529.2658,44.35127141,2031
96,1992,285023.2137,39.76492704,4444
101,1992,316145.288,36.41450404,1199
102,1992,267577.3921,39.11073924,8493
103,1992,289630.6499,37.62733963,2571
104,1992,303427.8062,35.90986337,2947
105,1992,274201.9838,38.90606112,8241
106,1992,265136.7223,39.00618421,13411
107,1992,267551.5021,37.16374989,3045
108,1992,286072.932,38.35237213,565
109,1992,279340.9407,38.33569806,2498
110,1992,304368.3228,37.60044048,3460
111,1992,274145.3612,37.20119582,25328
113,1992,307852.9779,37.25196265,2359
114,1992,265277.0855,38.88775101,9269
119,1992,281303.285,38.500531,1485
120,1992,280840.3519,37.16493878,29784
122,1992,318397.3408,37.01339071,10397
123,1992,286015.9953,38.29648478,27843
124,1992,281331.1749,37.86919494,27025
125,1992,375019.8634,34.94939356,2020
127,1992,284262.5176,40.46455253,640
128,1992,280376.9398,37.20563015,33151
129,1992,264117.8634,38.46078224,2737
131,1992,289408.5759,36.59684712,44442
132,1992,289928.9303,36.69012715,50718
133,1992,324384.4982,34.94280904,1206
136,1992,284430.6686,37.332024,126347
137,1992,271971.1047,38.27851551,2521
138,1992,265340.813,39.08516663,2327
139,1992,227462.4935,38.14371257,77
140,1992,277807.7855,38.5834153,15872
141,1992,290863.1451,39.74916751,2732
142,1992,223317.5272,44.84741082,45
144,1992,272369.1185,42.61863012,499
145,1992,325476.8708,34.64238437,24471
146,1992,302994.1858,37.66293632,5796
147,1992,276077.9762,36.42198637,105092
154,1992,243211.548,40.6937983,1043
232,1992,271106.7514,38.2888468,11777
235,1992,270626.931,37.86482132,109141
238,1992,271715.0917,37.62167387,6062
157,1992,268986.5296,37.7859859,27761
158,1992,272823.5727,37.66025893,19226
159,1992,265433.8762,38.28552234,8824
160,1992,267353.2039,38.60367252,6024
200,1992,329655.4613,38.41165875,25219
204,1992,278204.7889,38.12632455,37376
206,1992,259065.9787,39.98186094,7325
207,1992,242046.7083,41.66327592,10608
208,1992,252974.1173,40.80521939,5617
209,1992,262641.7729,41.2593609,5302
212,1992,262742.8651,40.67179132,3844
231,1992,275867.7169,38.66973245,25062
219,1992,277874.6016,40.70404806,6996
221,1992,272032.7677,38.01642014,30581
222,1992,261080.0448,39.09642646,11498
225,1992,279437.8467,37.71998937,26508
130,1992,285671.9768,36.58427005,929
236,1992,269664.81,38.81236323,13816
233,1992,269565.8832,38.25320351,21278
234,1992,260022.1237,39.29966383,10300
224,1992,267217.7773,39.57472062,7894
217,1992,269064.6644,39.64969816,5790
201,1992,338407.2303,35.27922185,117271
90,1992,273732.4256,39.12978059,5462
165,1992,300398.4427,37.31122633,30754
216,1992,273064.5505,38.84486343,9581
48,1992,262294.9125,41.72137825,5344
46,1992,286994.6909,39.11729041,5614
121,1992,288476.4849,36.68053831,70053
214,1992,263669.2149,39.50897036,25819
1,1993,372738.0211,36.53314128,76730
2,1993,338160.306,37.28696794,39453
6,1993,283177.3033,40.23604181,555092
16,1993,300310.8263,39.27603007,2690
17,1993,290610.0055,37.3971265,460
18,1993,286649.7725,40.45548734,267
24,1993,293750.2471,39.41647058,7942
25,1993,278370.307,40.05718564,2537
28,1993,292111.304,39.2878158,6145
29,1993,284204.1039,39.65591302,8013
34,1993,250808.8803,42.12846583,10581
35,1993,289358.2616,38.3811506,53721
36,1993,314349.6267,37.5885079,831
37,1993,288814.3229,36.63966164,3474
38,1993,260153.0724,40.76796863,14333
44,1993,259058.5809,41.28498748,1120
45,1993,257063.4751,42.27222707,9743
47,1993,286406.6831,39.80571146,3980
49,1993,251616.8114,43.0055714,810
56,1993,257062.4176,40.03544154,19594
57,1993,235727.7895,44.98016336,42
59,1993,281294.8758,38.92117939,1262
62,1993,286104.2833,40.59381898,125
68,1993,232273.6914,42.74846089,509
72,1993,227553.7075,45.77559981,1189
74,1993,291327.2266,37.57239583,4726
80,1993,285724.9145,39.11800563,2050
82,1993,269430.1965,37.79842227,1073
83,1993,304133.8134,37.50549377,7320
84,1993,298759.4077,39.43386215,1656
85,1993,299209.9585,36.56631338,1651
86,1993,272975.7844,40.12476576,4832
87,1993,280244.0557,40.20081607,5389
89,1993,280777.2139,40.17528723,460
92,1993,292839.0432,38.52157914,2041
93,1993,273008.5549,37.67857069,104079
95,1993,237035.818,44.74758452,2053
96,1993,287293.5136,39.88569767,4424
101,1993,329304.7963,36.87805324,1197
102,1993,271005.0016,39.27366004,8611
103,1993,287089.7935,37.96394503,2591
104,1993,307499.7544,35.95901556,2991
105,1993,278710.5623,38.96033453,8334
106,1993,271451.108,39.06051693,13604
107,1993,272949.5487,37.26177662,3035
108,1993,287449.2271,38.58509002,558
109,1993,290548.4081,38.28091699,2502
110,1993,310448.3241,37.84512171,3471
111,1993,279123.4476,37.23603176,25493
113,1993,311911.6955,37.5443935,2385
114,1993,270605.9153,39.045169,9322
119,1993,288521.2784,38.64473029,1499
120,1993,285790.7014,37.28653736,29970
122,1993,324047.4929,37.2455004,10569
123,1993,286307.5541,38.24774035,28176
124,1993,284834.8939,37.87187697,27359
125,1993,385147.1589,35.30016673,2025
127,1993,289488.3058,40.78514491,635
128,1993,283255.1143,37.31388221,33318
129,1993,262376.3825,38.46188433,2757
131,1993,293569.845,36.71663382,44895
132,1993,294209.8507,36.86137148,51215
133,1993,311613.0894,35.46902311,1209
136,1993,289054.4841,37.43302591,127960
137,1993,271430.9823,38.83985307,2548
138,1993,268163.9046,39.06380418,2345
139,1993,227143.1538,38.74404762,78
140,1993,280438.5022,38.78625759,16039
141,1993,296396.5807,39.82791344,2737
142,1993,226016.1791,44.53932327,45
144,1993,255035.6049,42.78961864,509
