ObservationsstedNr,X_UTM32,Y_UTM32
12000010,489549,6294301
12000011,488501,6292966
12000012,487501,6292979
12000013,475339,6290465
12000014,477016,6290112
12000015,473509,6290323
12000016,473311,6290298
12000017,487533,6296235
12000018,479366,6294985
12000019,484346,6296652
12000020,476705,6286401
12000021,477138,6288015
12000022,483510,6304877
12000023,483326,6303464
12000024,489588,6307372
12000025,491500,6304976
12000026,493776,6308115
12000027,494490,6307644
12000028,481421,6304510
12000029,479961,6296447
12000030,484887,6297834
12000031,487947,6291900
12000032,477894,6293614
12000033,482489,6297259
12000034,479878,6297791
12000035,485174,6296721
12000036,484362,6297105
12000037,485042,6297849
12000038,481365,6285474
12000039,483781,6287977
12000040,480678,6284626
12000041,483972,6287578
12000042,482936,6286263
12000043,479091,6286839
12000044,479136,6286960
12000045,478538,6288007
12000046,479751,6287084
12000047,481602,6295612
12000048,480923,6284558
12000049,494111,6311346
12000050,493415,6310182
12000051,483068,6283911
12000052,482754,6283335
12000053,483126,6283618
12000054,483386,6283730
12000055,479776,6287717
12000056,478729,6300258
12000057,479847,6301328
12000058,486695,6303417
12000059,489262,6302640
12000060,488758,6302582
12000061,483185,6303491
12000062,482539,6302078
12000063,482057,6298910
12000064,481314,6298078
12000065,475006,6292774
12000066,476765,6291447
12000067,476130,6291079
12000068,473509,6292516
12000069,481854,6297061
12000070,481307,6295406
12000071,476772,6291069
12000072,478910,6299565
12000073,488248,6301378
12000074,473992,6289384
12000075,478503,6280931
12000076,480770,6285860
12000077,481920,6288230
12000078,483493,6290768
12000079,486882,6286152
12000080,475992,6292374
12000081,476893,6293791
12000082,478118,6294136
12000083,476518,6293939
12000084,488966,6288162
12000085,478675,6302317
12000086,486481,6290199
12000087,475275,6287713
12000089,481497,6295992
12000093,483468,6304563
12000099,480813,6285912
12000100,477296,6293747
12000145,488033,6291613
12000195,482492,6297261
12000441,489792,6291242
13000005,524242,6287948
13000006,519631,6283587
13000008,515962,6304612
13000009,518519,6305182
13000010,512897,6299310
13000011,531768,6289135
13000012,531829,6289411
13000013,533127,6290935
13000015,533502,6291711
13000016,531799,6289443
13000019,517582,6297341
13000034,520608,6280220
13000035,522538,6278922
13000036,519884,6280269
13000037,520611,6280460
13000038,522113,6281082
13000039,519680,6281009
13000040,517818,6269858
13000041,521079,6271142
13000042,520753,6270936
13000044,518084,6270945
13000045,520145,6274645
13000046,519236,6275304
13000047,520773,6275832
13000048,520754,6275880
13000049,519184,6275926
13000050,522178,6270195
13000052,535947,6289589
13000053,513385,6293537
13000055,519457,6283391
13000059,528636,6287773
13000061,524850,6284443
13000062,521449,6285173
13000065,512906,6302960
13000105,523928,6303952
13000116,517780,6306578
13000117,518853,6303615
14000016,566939,6311563
14000017,551473,6300969
14000020,562318,6295464
14000022,562867,6307797
14000031,559473,6306758
14000032,563429,6299614
14000034,550396,6298945
14000035,547455,6294930
14000036,548193,6292872
14000040,562672,6298378
14000041,550001,6300386
14000042,550426,6299715
14000047,550429,6303859
15000002,567615,6281889
15000022,561152,6272592
15000023,561357,6273057
15000024,568586,6279142
15000028,560621,6279708
15000029,566259,6275588
15000030,567723,6281729
15000031,569763,6277130
15000032,575059,6295316
15000033,557458,6288512
15000034,552307,6279107
15000035,561946,6282793
15000036,557498,6292400
15000042,548248,6276757
15000043,567010,6281441
15000044,548296,6277710
15000045,556737,6280742
15000046,572722,6289599
15000047,563753,6284088
15000048,574868,6289853
