ObservationsstedNr,X_UTM32,Y_UTM32
1000529,476977,6322098
1000530,507910,6176686
1000531,594830,6401321
1000532,467239,6316623
1000533,467239,6316623
1000534,467245,6316448
1000535,467245,6316448
1000536,467118,6316542
1000537,467118,6316542
1000538,466990,6316605
1000539,466990,6316605
1000540,468548,6317916
1000541,468548,6317916
1000542,476877,6327939
1000543,476877,6327939
1000544,477065,6327927
1000545,477065,6327927
1000546,464255,6312238
1000547,464255,6312238
1000548,468356,6317928
1000549,464134,6312185
1000550,468356,6317928
1000551,464134,6312185
1000552,463986,6312262
1000553,463986,6312262
1000554,464467,6312174
1000555,464467,6312174
1000556,468394,6317734
1000557,468394,6317734
1000558,468518,6317647
1000559,468518,6317647
1000560,476317,6327876
1000561,476317,6327876
1000562,477158,6327494
1000563,477158,6327494
1000564,477112,6327409
1000565,477112,6327409
1000566,475968,6327229
1000567,475968,6327229
1000568,476967,6326555
1000569,476967,6326555
1000570,507910,6176686
1000571,507910,6176686
1000572,495532,6332315
1000573,495532,6332315
1000574,495299,6332167
1000575,495299,6332167
1000576,507910,6176686
1000577,507910,6176686
1000578,496523,6333009
1000579,496523,6333009
1000580,496693,6332953
1000581,496693,6332953
1000582,496720,6333174
1000583,496720,6333174
1000584,497215,6333506
1000585,497215,6333506
1000586,495841,6332035
1000587,495841,6332035
1000588,495883,6332483
1000589,495883,6332483
1000590,496330,6332920
1000591,496330,6332920
1000592,503631,6328477
1000593,520335,6333015
1000594,507910,6176686
1000595,520141,6333169
1000596,520141,6333169
1000597,521488,6334491
1000598,507910,6176686
1000599,520484,6334186
1000600,520484,6334186
1000601,521731,6334533
1000602,521731,6334533
1000603,521204,6334546
1000604,521204,6334546
1000605,521476,6334517
1000606,521476,6334517
1000607,520408,6333954
1000608,520408,6333954
1000609,521435,6334488
1000610,521435,6334488
1000611,523280,6334146
1000612,523280,6334146
1000613,523211,6334155
1000614,523211,6334155
1000615,523367,6334195
1000616,523367,6334195
1000617,524133,6333791
1000618,524133,6333791
1000619,523091,6334222
1000620,523091,6334222
1000621,524441,6332879
1000622,524441,6332879
1000623,523642,6334066
1000624,523642,6334066
1000625,523874,6334603
1000626,523874,6334603
1000627,523607,6334106
1000628,523607,6334106
1000629,523028,6333744
1000630,523028,6333744
1000631,523746,6334030
1000632,523746,6334030
1000633,523560,6334132
1000634,523560,6334132
1000635,524648,6332481
1000636,524648,6332481
1000637,524222,6333736
1000638,524222,6333736
1000639,524062,6333878
1000640,524062,6333878
1000641,524082,6334933
1000642,524082,6334933
1000643,524198,6335025
1000644,524198,6335025
1000645,524248,6335032
1000646,524248,6335032
1000647,524855,6335300
1000648,524855,6335300
1000649,519443,6333737
1000650,519443,6333737
1000651,515002,6332944
1000652,515002,6332944
1000653,514667,6332976
1000654,514667,6332976
1000655,514387,6332948
1000656,514387,6332948
1000657,514735,6332979
1000658,514735,6332979
1000659,516315,6333165
1000660,516315,6333165
1000661,514959,6332991
1000662,514959,6332991
1000663,514868,6332940
1000664,514868,6332940
1000665,512494,6332849
1000666,503044,6328887
1000668,507910,6176686
1000669,564078,6382769
1000670,473539,6318549
1000671,473315,6319279
1000672,472467,6319053
1000673,474517,6322650
1000674,474517,6322650
1000675,507910,6176686
1000676,515094,6332888
1000677,507910,6176686
1000678,465929,6311879
1000679,465929,6311879
1000680,468185,6317132
1000681,459114,6303475
1000682,463257,6307842
1000683,490916,6329768
1000684,458199,6303482
1000685,456519,6299577
1000686,502985,6327133
1000687,502985,6327133
1000688,515851,6333030
1000689,515094,6332888
2000001,507910,6176686
2000002,507910,6176686
2000003,583464,6389672
2000004,582918,6389492
2000007,621744,6346537
2000008,582504,6348669
2000009,575979,6358027
2000104,619133,6346298
2000108,620960,6345641
2000109,593314,6344720
2000110,575979,6358027
2000111,582504,6348669
2000112,585820,6373714
2000113,585820,6373714
2000114,576987,6360361
2000115,576987,6360361
2000116,581810,6375351
2000117,581810,6375351
2000118,584896,6359412
2000119,584896,6359412
2000131,507910,6176686
2000132,621744,6346537
2000133,615682,6346793
2000134,620085,6346380
2000135,507910,6176686
2000136,507910,6176686
2000137,507910,6176686
2000138,507910,6176686
2000139,507910,6176686
2000140,579666,6371933
2000141,507910,6176686
2000142,579580,6372391
2000143,579638,6372394
2000144,507910,6176686
2000145,587724,6362755
2000146,507910,6176686
2000147,507910,6176686
2000148,507910,6176686
2000149,507910,6176686
2000150,579796,6371952
2000151,579892,6372023
2000152,507910,6176686
2000153,507910,6176686
2000154,507910,6176686
2000155,590504,6371025
2000156,590608,6371038
2000157,587109,6393545
2000158,507910,6176686
2000159,507910,6176686
2000160,507910,6176686
2000161,507910,6176686
2000162,507910,6176686
2000163,579180,6379289
2000164,578636,6380307
2000165,578743,6380387
2000166,580023,6380817
2000167,507910,6176686
2000168,507910,6176686
2000169,507910,6176686
2000170,507910,6176686
2000171,507910,6176686
2000172,507910,6176686
2000173,507910,6176686
2000174,507910,6176686
2000175,507910,6176686
2000176,584004,6388276
2000177,619496,6352919
2000178,630971,6354962
2000179,630503,6352902
2000180,623008,6353038
2000181,622542,6354487
2000182,507910,6176686
2000183,596717,6400698
2000184,582977,6389529
2000185,583464,6389672
2000186,614362,6349301
2000187,613666,6348563
2000188,584943,6373858
2000189,584943,6373858
2000190,630971,6354962
2000191,618567,6352751
2000192,618567,6352751
2000685,594276,6401606
2000686,594276,6401605
2000687,594715,6401697
2000688,594715,6401696
2000689,586236,6393371
2000690,586236,6393371
2000691,587227,6394194
2000692,587227,6394194
2000693,586987,6393393
2000694,586987,6393393
2000695,587096,6393374
2000696,587096,6393373
2000697,586653,6393230
2000698,586653,6393230
2000699,588419,6394622
2000700,588419,6394622
2000701,619272,6345996
2000702,619272,6345996
2000703,621525,6343864
2000704,621525,6343864
2000705,625283,6350164
2000706,625283,6350164
2000707,613865,6346825
2000708,613865,6346824
2000709,620212,6344780
2000710,620212,6344780
2000711,619572,6343596
2000712,619572,6343596
2000713,620250,6345078
2000714,620250,6345077
2000715,631909,6353563
2000716,631909,6353563
2000717,619133,6346298
2000718,619133,6346298
2000719,616369,6346492
2000720,616369,6346491
2000721,620753,6346152
2000722,620753,6346151
2000723,621652,6346382
2000724,621652,6346382
2000725,631733,6353025
2000726,631733,6353025
2000727,625212,6350439
2000728,625212,6350439
2000729,624489,6345892
2000730,624489,6345892
2000731,614251,6349101
2000732,614251,6349101
2000733,619320,6343805
2000734,619320,6343804
2000735,625985,6348117
2000736,625985,6348116
2000737,621448,6344811
2000738,621448,6344811
2000739,620977,6344331
2000740,620977,6344331
2000741,621143,6345565
2000742,621143,6345565
2000743,621625,6346434
2000744,621625,6346434
2000745,621462,6344852
2000746,621462,6344851
2000747,620939,6344810
2000748,620939,6344809
2000749,625298,6350185
2000750,625298,6350184
2000751,621432,6344526
2000752,621432,6344525
2000753,626033,6349420
2000754,626033,6349420
2000755,620213,6345617
2000756,620213,6345617
2000757,624376,6346844
2000758,624376,6346843
2000759,631204,6354258
2000760,631204,6354258
2000761,621727,6346336
2000762,621727,6346336
2000763,620214,6344610
2000764,620214,6344610
2000765,620846,6342216
2000766,620846,6342216
2000767,620462,6344919
2000768,620462,6344919
2000769,630911,6353156
2000770,630911,6353155
2000771,621355,6346389
2000772,621355,6346389
2000773,630868,6353141
2000774,630868,6353140
2000775,613637,6347253
2000776,613637,6347252
2000777,624025,6347262
2000778,624025,6347262
2000779,625958,6348354
2000780,625958,6348354
2000781,620960,6345641
2000782,620960,6345641
2000783,625140,6354280
2000784,625140,6354279
2000785,583424,6373380
2000786,507910,6176686
2000787,584902,6374765
2000788,507910,6176686
2000789,581543,6378200
2000790,507910,6176686
2000791,580607,6377595
2000792,507910,6176686
2000793,507910,6176686
2000794,507910,6176686
2000795,507910,6176686
2000796,507910,6176686
2000797,583560,6373684
2000798,507910,6176686
2000799,584327,6381092
2000800,507910,6176686
2000801,585572,6373340
2000802,507910,6176686
2000803,582978,6377125
2000804,507910,6176686
2000805,583820,6380539
2000806,507910,6176686
2000807,583625,6380436
2000808,507910,6176686
2000809,585742,6372986
2000810,507910,6176686
2000811,507910,6176686
2000812,507910,6176686
2000813,582151,6375852
2000814,507910,6176686
2000815,584658,6376042
2000816,507910,6176686
2000817,507910,6176686
2000818,507910,6176686
2000819,582934,6379066
2000820,507910,6176686
2000821,580245,6379502
2000822,507910,6176686
2000823,583613,6377164
2000824,507910,6176686
2000825,584050,6378793
2000826,507910,6176686
2000827,581470,6377564
